ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	EconomicParameters	ui-label	ruleNum	ruleNum	№	№
UiSchema	EconomicParameters	ui-label	partner	partner	partner	Партнёр
UiSchema	EconomicParameters	ui-label	insuranceProduct	insuranceProduct	insuranceProduct	Продукт
UiSchema	EconomicParameters	ui-label	enterValuesDate	enterValuesDate	enterValuesDate	Дата внесения значений
UiSchema	EconomicParameters	ui-label	policyIssueDateStart	policyIssueDateStart	policyIssueDateStart	Дата заключения договора c
UiSchema	EconomicParameters	ui-label	policyIssueDateEnd	policyIssueDateEnd	policyIssueDateEnd	Дата заключения договора по
UiSchema	EconomicParameters	ui-label	basicInvestmentParameters	basicInvestmentParameters	basicInvestmentParameters	Активы
UiSchema	EconomicParameters	ui-label	strategyDescription	strategyDescription	strategyDescription	Активы
UiSchema	EconomicParameters	ui-label	paymentFrequency	paymentFrequency	paymentFrequency	Периодичность оплаты премии
UiSchema	EconomicParameters	ui-label	guaranteedIncome	guaranteedIncome	guaranteedIncome	Выплата с гар. доходом
UiSchema	EconomicParameters	ui-label	ratesOfReturn	ratesOfReturn	ratesOfReturn	Ставка доходности
UiSchema	EconomicParameters	ui-label	insuranceTermFrom	insuranceTermFrom	insuranceTermFrom	Срок страхования с
UiSchema	EconomicParameters	ui-label	insuranceTermTo	insuranceTermTo	insuranceTermTo	Срок страхования по
UiSchema	EconomicParameters	ui-label	currency	currency	currency	Валюта
UiSchema	EconomicParameters	ui-label	optionPrice	optionPrice	optionPrice	Цена опциона
UiSchema	EconomicParameters	ui-label	fixRate	fixRate	fixRate	Ставка купона
UiSchema	EconomicParameters	ui-label	participationCoeff	participationCoeff	participationCoeff	КУ
UiSchema	EconomicParameters	ui-label	strategyConfiguration	strategyConfiguration	strategyConfiguration	Конфигурация стратегии
UiSchema	EconomicParameters	ui-label	segment	segment	segment	Сегмент
UiSchema	EconomicParameters	ui-label	isin	isin	isin	ISIN
UiSchema	EconomicParameters	ui-label	rko	rko	rko	РКО
UiSchema	EconomicParameters	ui-label	motivationFromMargin	motivationFromMargin	motivationFromMargin	Мотивация из маржи
UiSchema	EconomicParameters	ui-label	motivationFromProductEconomic	motivationFromProductEconomic	motivationFromProductEconomic	Мотивация из экономики продукта
UiSchema	EconomicParameters	ui-label	skMargin	skMargin	skMargin	Маржа СК
UiSchema	EconomicParameters	ui-label	fundingRateSwaps	fundingRateSwaps	fundingRateSwaps	Ставка фондирования / Свопы
UiSchema	EconomicParameters	ui-label	laps	laps	laps	Лапсы
UiSchema	EconomicParameters	ui-label	hedge	hedge	hedge	Хедж
UiSchema	EconomicParameters	ui-label	clientID	clientID	clientID	ИЧ клиента
UiSchema	EconomicParameters	ui-label	shareRF	shareRF	shareRF	Доля РФ
UiSchema	EconomicParameters	ui-label	shareGF	shareGF	shareGF	Доля ГФ
UiSchema	EconomicParameters	ui-label	rvd	rvd	rvd	РВД
UiSchema	EconomicParameters	ui-label	fundingVersionSubFundID	fundingVersionSubFundID	fundingVersionSubFundID	Версия фандинга/идентификатор субфонда
UiSchema	EconomicParameters	ui-label	memorandumPkDate	memorandumPkDate	memorandumPkDate	Дата ПК / Служебной записки
UiSchema	EconomicParameters	ui-label	pkNumber	pkNumber	pkNumber	Номер ПК
UiSchema	EconomicParameters	ui-label	analyticalAdjustment	analyticalAdjustment	analyticalAdjustment	Аналитическая корректировка
UiSchema	EconomicParameters	ui-label	expectedReturnPercentAK	expectedReturnPercentAK	expectedReturnPercentAK	% ожидаемого возврата (для АК)
UiSchema	EconomicParameters	ui-label	insurance	insurance	insurance	Страховка
UiSchema	EconomicParameters	ui-label	riskTransferProduct	riskTransferProduct	riskTransferProduct	Продукт с передачей риска
UiSchema	EconomicParameters	ui-label	comments	comments	comments	Комментарий
UiSchema	EconomicParameters	ui-label	economicParametersCopyRow	economicParametersCopyRow	economicParametersCopyRow	Копировать
UiSchema	EconomicParameters	ui-label	economicParametersUpdateContractEntities	economicParametersUpdateContractEntities	economicParametersUpdateContractEntities	Обновить параметры экономики на договорах
UiSchema	EconomicParameters	ui-label	agentAgreement	agentAgreement	agentAgreement	Агентский договор
UiSchema	EconomicParameters	ui-label	commRate	commRate	Commission Rate %	Ставка КВ %
