ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DataSchema	EconomicParametersContractEntity	field-title	segment	segment	segment	Сегмент
DataSchema	EconomicParametersContractEntity	field-title	isin	isin	isin	ISIN
DataSchema	EconomicParametersContractEntity	field-title	rko	rko	rko	РКО
DataSchema	EconomicParametersContractEntity	field-title	skMargin	skMargin	skMargin	Маржа СК
DataSchema	EconomicParametersContractEntity	field-title	fundingRateSwaps	fundingRateSwaps	fundingRateSwaps	Ставка фондирования / Свопы
DataSchema	EconomicParametersContractEntity	field-title	laps	laps	laps	Лапсы
DataSchema	EconomicParametersContractEntity	field-title	hedge	hedge	hedge	Хедж
DataSchema	EconomicParametersContractEntity	field-title	clientID	clientID	clientID	ИЧ клиента
DataSchema	EconomicParametersContractEntity	field-title	shareRF	shareRF	shareRF	Доля РФ
DataSchema	EconomicParametersContractEntity	field-title	shareGF	shareGF	shareGF	Доля ГФ
DataSchema	EconomicParametersContractEntity	field-title	rvd	rvd	rvd	РВД
DataSchema	EconomicParametersContractEntity	field-title	fundingVersionSubFundID	fundingVersionSubFundID	fundingVersionSubFundID	Версия фандинга/идентификатор субфонда
DataSchema	EconomicParametersContractEntity	field-title	memorandumPkDate	memorandumPkDate	memorandumPkDate	Дата ПК / Служебной записки
DataSchema	EconomicParametersContractEntity	field-title	pkNumber	pkNumber	pkNumber	Номер ПК
DataSchema	EconomicParametersContractEntity	field-title	analyticalAdjustment	analyticalAdjustment	analyticalAdjustment	Аналитическая корректировка
DataSchema	EconomicParametersContractEntity	field-title	expectedReturnPercentAK	expectedReturnPercentAK	expectedReturnPercentAK	% ожидаемого возврата (для АК)
DataSchema	EconomicParametersContractEntity	field-title	insurance	insurance	insurance	Страховка
DataSchema	EconomicParametersContractEntity	field-title	riskTransferProduct	riskTransferProduct	riskTransferProduct	Продукт с передачей риска
DataSchema	EconomicParametersContractEntity	field-title	comments	comments	comments	Комментарий
UiSchema	EconomicParametersContractEntity	ui-label	segment	segment	segment	Сегмент
UiSchema	EconomicParametersContractEntity	ui-label	isin	isin	isin	ISIN
UiSchema	EconomicParametersContractEntity	ui-label	rko	rko	rko	РКО
UiSchema	EconomicParametersContractEntity	ui-label	motivationFromMargin	motivationFromMargin	motivationFromMargin	Мотивация из маржи
UiSchema	EconomicParametersContractEntity	ui-label	motivationFromProductEconomic	motivationFromProductEconomic	motivationFromProductEconomic	Мотивация из экономики продукта
UiSchema	EconomicParametersContractEntity	ui-label	skMargin	skMargin	skMargin	Маржа СК
UiSchema	EconomicParametersContractEntity	ui-label	fundingRateSwaps	fundingRateSwaps	fundingRateSwaps	Ставка фондирования / Свопы
UiSchema	EconomicParametersContractEntity	ui-label	laps	laps	laps	Лапсы
UiSchema	EconomicParametersContractEntity	ui-label	hedge	hedge	hedge	Хедж
UiSchema	EconomicParametersContractEntity	ui-label	clientID	clientID	clientID	ИЧ клиента
UiSchema	EconomicParametersContractEntity	ui-label	shareRF	shareRF	shareRF	Доля РФ
UiSchema	EconomicParametersContractEntity	ui-label	shareGF	shareGF	shareGF	Доля ГФ
UiSchema	EconomicParametersContractEntity	ui-label	rvd	rvd	rvd	РВД
UiSchema	EconomicParametersContractEntity	ui-label	fundingVersionSubFundID	fundingVersionSubFundID	fundingVersionSubFundID	Версия фандинга/идентификатор субфонда
UiSchema	EconomicParametersContractEntity	ui-label	memorandumPkDate	memorandumPkDate	memorandumPkDate	Дата ПК / Служебной записки
UiSchema	EconomicParametersContractEntity	ui-label	pkNumber	pkNumber	pkNumber	Номер ПК
UiSchema	EconomicParametersContractEntity	ui-label	analyticalAdjustment	analyticalAdjustment	analyticalAdjustment	Аналитическая корректировка
UiSchema	EconomicParametersContractEntity	ui-label	expectedReturnPercentAK	expectedReturnPercentAK	expectedReturnPercentAK	% ожидаемого возврата (для АК)
UiSchema	EconomicParametersContractEntity	ui-label	insurance	insurance	insurance	Страховка
UiSchema	EconomicParametersContractEntity	ui-label	riskTransferProduct	riskTransferProduct	riskTransferProduct	Продукт с передачей риска
UiSchema	EconomicParametersContractEntity	ui-label	comments	comments	comments	Комментарий
UiSchema	EconomicParametersContractEntity	ui-label	isManualCorrection	isManualCorrection	isManualCorrection	Ручная корректировка
DataSchema	EconomicParametersContractEntity	field-title	isManualCorrection	isManualCorrection	isManualCorrection	Ручная корректировка
DataSchema	EconomicParametersContractEntity	field-title	productConfNumber	productConfNumber	productConfNumber	Конфигурация продукта
UiSchema	EconomicParametersContractEntity	ui-label	Economic parameters attachments	Economic parameters attachments	Economic parameters attachments	Вложения параметров экономики
UiSchema	EconomicParametersContractEntity	ui-label	EconomicParametersUpdate	EconomicParametersUpdate	EconomicParametersUpdate	Обновить параметры экономики на договоре
DataSchema	EconomicParametersContractEntity	field-title	ruleNum	ruleNum	ruleNum	Номер правила
DataSchema	EconomicParametersContractEntity	field-title	motivationFromMargin	motivationFromMargin	motivationFromMargin	Мотивация из маржи
DataSchema	EconomicParametersContractEntity	field-title	motivationFromProductEconomic	motivationFromProductEconomic	motivationFromProductEconomic	Мотивация из экономики продукта
