ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DataSchema	EnumStringNumbers	enum	enumStringNumbers@1	1	1	1
DataSchema	EnumStringNumbers	enum	enumStringNumbers@2	2	2	2
DataSchema	EnumStringNumbers	enum	enumStringNumbers@3	3	3	3
DataSchema	EnumStringNumbers	enum	enumStringNumbers@4	4	4	4
DataSchema	EnumStringNumbers	enum	enumStringNumbers@5	5	5	5
DataSchema	EnumStringNumbers	enum	enumStringNumbers@6	6	6	6
DataSchema	EnumStringNumbers	enum	enumStringNumbers@7	7	7	7
DataSchema	EnumStringNumbers	enum	enumStringNumbers@8	8	8	8
DataSchema	EnumStringNumbers	enum	enumStringNumbers@9	9	9	9
DataSchema	EnumStringNumbers	enum	enumStringNumbers@10	10	10	10
DataSchema	EnumStringNumbers	enum	enumStringNumbers@11	11	11	11
DataSchema	EnumStringNumbers	enum	enumStringNumbers@12	12	12	12
DataSchema	EnumStringNumbers	enum	enumStringNumbers@13	13	13	13
DataSchema	EnumStringNumbers	enum	enumStringNumbers@14	14	14	14
DataSchema	EnumStringNumbers	enum	enumStringNumbers@15	15	15	15
DataSchema	EnumStringNumbers	enum	enumStringNumbers@16	16	16	16
DataSchema	EnumStringNumbers	enum	enumStringNumbers@17	17	17	17
DataSchema	EnumStringNumbers	enum	enumStringNumbers@18	18	18	18
DataSchema	EnumStringNumbers	enum	enumStringNumbers@19	19	19	19
DataSchema	EnumStringNumbers	enum	enumStringNumbers@20	20	20	20
DataSchema	EnumStringNumbers	enum	enumStringNumbers@21	21	21	21
DataSchema	EnumStringNumbers	enum	enumStringNumbers@22	22	22	22
DataSchema	EnumStringNumbers	enum	enumStringNumbers@23	23	23	23
DataSchema	EnumStringNumbers	enum	enumStringNumbers@24	24	24	24
DataSchema	EnumStringNumbers	enum	enumStringNumbers@25	25	25	25
DataSchema	EnumStringNumbers	enum	enumStringNumbers@26	26	26	26
DataSchema	EnumStringNumbers	enum	enumStringNumbers@27	27	27	27
DataSchema	EnumStringNumbers	enum	enumStringNumbers@28	28	28	28
DataSchema	EnumStringNumbers	enum	enumStringNumbers@29	29	29	29
DataSchema	EnumStringNumbers	enum	enumStringNumbers@30	30	30	30
DataSchema	EnumStringNumbers	enum	enumStringNumbers@31	31	31	31
DataSchema	EnumStringNumbers	enum	enumStringNumbers@32	32	32	32
DataSchema	EnumStringNumbers	enum	enumStringNumbers@33	33	33	33
DataSchema	EnumStringNumbers	enum	enumStringNumbers@34	34	34	34
DataSchema	EnumStringNumbers	enum	enumStringNumbers@35	35	35	35
DataSchema	EnumStringNumbers	enum	enumStringNumbers@36	36	36	36
DataSchema	EnumStringNumbers	enum	enumStringNumbers@37	37	37	37
DataSchema	EnumStringNumbers	enum	enumStringNumbers@38	38	38	38
DataSchema	EnumStringNumbers	enum	enumStringNumbers@39	39	39	39
DataSchema	EnumStringNumbers	enum	enumStringNumbers@40	40	40	40
DataSchema	EnumStringNumbers	enum	enumStringNumbers@41	41	41	41
DataSchema	EnumStringNumbers	enum	enumStringNumbers@42	42	42	42
DataSchema	EnumStringNumbers	enum	enumStringNumbers@43	43	43	43
DataSchema	EnumStringNumbers	enum	enumStringNumbers@44	44	44	44
DataSchema	EnumStringNumbers	enum	enumStringNumbers@45	45	45	45
DataSchema	EnumStringNumbers	enum	enumStringNumbers@46	46	46	46
DataSchema	EnumStringNumbers	enum	enumStringNumbers@47	47	47	47
DataSchema	EnumStringNumbers	enum	enumStringNumbers@48	48	48	48
DataSchema	EnumStringNumbers	enum	enumStringNumbers@49	49	49	49
DataSchema	EnumStringNumbers	enum	enumStringNumbers@50	50	50	50
DataSchema	EnumStringNumbers	enum	enumStringNumbers@51	51	51	51
DataSchema	EnumStringNumbers	enum	enumStringNumbers@52	52	52	52
DataSchema	EnumStringNumbers	enum	enumStringNumbers@53	53	53	53
DataSchema	EnumStringNumbers	enum	enumStringNumbers@54	54	54	54
