ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	EquityDidPayment	field-title	investmentAccountValue	investmentAccountValue	Стоимость инвестиционного счета	investmentAccountValue
DataSchema	EquityDidPayment	field-title	availableSum	availableSum	Доступная сумма к выводу	availableSum
DataSchema	EquityDidPayment	field-title	requiredSum	requiredSum	Требуемая сумма	requiredSum
DataSchema	EquityDidPayment	field-title	pit	pit	НДФЛ	pit
DataSchema	EquityDidPayment	field-title	investmentAccountShare	investmentAccountShare	Доля от инвестиционного счета	investmentAccountShare
DataSchema	EquityDidPayment	field-title	finalSum	finalSum	Сумма к выводу со счета	finalSum
UiSchema	EquityDidPayment	ui-label	Equity DID Payment	Equity DID Payment	Частичная выплата ДИД	Equity DID Payment
UiSchema	EquityDidPayment	ui-label	investmentAccountValue	investmentAccountValue	Стоимость инвестиционного счета	investmentAccountValue
UiSchema	EquityDidPayment	ui-label	availableSum	availableSum	Доступная сумма к выводу	availableSum
UiSchema	EquityDidPayment	ui-label	requiredSum	requiredSum	Требуемая сумма	requiredSum
UiSchema	EquityDidPayment	ui-label	pit	pit	НДФЛ	pit
UiSchema	EquityDidPayment	ui-label	investmentAccountShare	investmentAccountShare	Доля от инвестиционного счета	investmentAccountShare
UiSchema	EquityDidPayment	ui-label	finalSum	finalSum	Сумма к выводу со счета	finalSum
Rule	EquityDidPaymentValidateEquityDidPayment	rule	validation@availableSumLessThanRequiredSum	validateEquityDidPayment	Е: Доступная сумма к выводу меньше требуемой суммы	E: validation@availableSumLessThanRequiredSum
