ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	EquityStrategy	field-title	strategyCode	strategyCode	Код стратегии	strategyCode
DataSchema	EquityStrategy	field-title	strategyName	strategyName	Общий поиск	strategyName
DataSchema	EquityStrategy	field-title	payOffDescription	payOffDescription	Описание pay-off	payOffDescription
DataSchema	EquityStrategy	field-title	pipCategory	pipCategory	Категория ПИП	pipCategory
DataSchema	EquityStrategy	field-title	share	share	Доля суммы размещения в стратегии	share
DataSchema	EquityStrategy	field-title	sum	sum	Сумма размещения в стратегии	sum
UiSchema	EquityStrategy	ui-label	strategyName	strategyName	Общий поиск	strategyName
UiSchema	EquityStrategy	ui-label	share	share	Доля суммы размещения в стратегии	share
UiSchema	EquityStrategy	ui-label	sum	sum	Сумма размещения в стратегии	sum
DataSchema	EquityStrategy	field-title	payOffType	payOffType	Тип актива	payOffType
DataSchema	EquityStrategy	field-title	isin	isin	ISIN	isin
UiSchema	EquityStrategy	ui-label	payOffType	payOffType	Тип актива	payOffType
UiSchema	EquityStrategy	ui-label	isin	isin	ISIN	isin
DataSchema	EquityStrategy	field-title	couponRate	couponRate	Ставка купона	couponRate
DataSchema	EquityStrategy	field-title	repaymentDate	repaymentDate	Дата погашения	repaymentDate
DataSchema	EquityStrategy	field-title	emitent	emitent	Эмитент	emitent
Rule	EquityStrategyValidateEquityStrategy	rule	validation@shareLessMin	validateEquityStrategy	Е: Доля суммы размещения в стратегии не должна быть меньше ${ entity.preEquityMinShareText }	E: shareLessMin
