ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	Inquiry	field-title	department	department	Подразделение	department
DataSchema	Inquiry	field-title	textOfInquiry	textOfInquiry	Текст запроса	textOfInquiry
DataSchema	Inquiry	field-title	quoteNumber	quoteNumber	Номер заяки	quoteNumber
DataSchema	Inquiry	field-title	quoteId	quoteId	ID заявки	quoteId
DataSchema	Inquiry	field-title	configurationCodeName	configurationCodeName	configurationCodeName	configurationCodeName
UiSchema	Inquiry	ui-label	Basic Conditions	Basic Conditions	Основные параметры	Basic Conditions
UiSchema	Inquiry	ui-label	department	department	Подразделение	department
UiSchema	Inquiry	ui-label	textOfInquiry	textOfInquiry	Текст запроса	textOfInquiry
UiSchema	Inquiry	ui-label	Quote Number	Quote Number	Номер заявки	Quote Number
DataSchema	Inquiry	field-title	holder	holder	Страхователь по договору	Contract holder
DataSchema	Inquiry	field-title	textOfAnswer	textOfAnswer	Текст ответа	textOfAnswer
DataSchema	Inquiry	field-title	textOfComment	textOfComment	Комментарий	textOfComment
UiSchema	Inquiry	ui-label	textOfAnswer	textOfAnswer	Текст ответа	textOfAnswer
UiSchema	Inquiry	ui-label	textOfComment	textOfComment	Комментарий	textOfComment
DataSchema	Inquiry	field-title	insuredPerson	insuredPerson	Застрахованный	insuredPerson
DataSchema	Inquiry	field-title	riskPremium	riskPremium	Премия по риску	riskPremium
DataSchema	Inquiry	field-title	currencyDesc	currencyDesc	Наименование валюты	currencyDesc
