ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@byClientCoolOff	byClientCoolOff	Период охлаждения	byClientCoolOff
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@byClientNonCoolOff	byClientNonCoolOff	После периода охлаждения	byClientNonCoolOff
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@partialRepayment	partialRepayment	Частичный возврат взноса	partialRepayment
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@byCompany	byCompany	Неуплата очередного взноса	byCompany
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@byCourt	byCourt	По решению суда	byCourt
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@creditRepayment	creditRepayment	Полное досрочное погашение кредита	creditRepayment
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@individualCommission	individualCommission	По решению ИК	individualCommission
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@holderDeath	holderDeath	Смерть	holderDeath
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@partiesAgreement	partiesAgreement	По соглашению сторон	partiesAgreement
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@101	101	Травма в быту	101
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@102	102	Спортивная травма	102
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@103	103	Несчастный случай на производстве	103
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@104	104	ДТП	104
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@105	105	Нападение	105
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@106	106	Самоубийство	106
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@107	107	Авиакатастрофа	107
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@108	108	ЖД катастрофа	108
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@109	109	Утопление	109
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@110	110	Пожар	110
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@111	111	Убийство	111
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@112	112	Отравление	112
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@201	201	Заболевания органов зрения и слуха	201
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@202	202	Заболевания органов дыхания	202
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@203	203	Заболевания пищеварительной системы	203
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@204	204	Заболевания эндокринной системы	204
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@205	205	Заболевания мочеполовой системы	205
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@206	206	Заболевания сердечно-сосудистой системы	206
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@207	207	Заболевания крови и кроветворных органов	207
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@208	208	Заболевания нервной системы	208
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@209	209	Заболевания костно-мышечной системы	209
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@210	210	Онкология	210
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@301	301	Аннуитет/Гарантированный купон	301
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@302	302	Окончание срока действия договора	302
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@401	401	Начало периода выплат	401
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@501	501	Ликвидация организации	501
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@502	502	Сокращение штата	502
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@503	503	Отказ от перевода на другую работу по медицинской рекомендации	503
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@504	504	Отказ от перевода на другую работу в другую местность	504
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@505	505	Несоответствие работника занимаемой должности	505
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@506	506	Смена собственника имущества организации	506
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@507	507	Восстановление на работе работника, выполнявшего данную работу	507
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@508	508	Неизбрание на должность	508
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@509	509	Признание работника полностью неспособным к трудовой деятельности	509
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@510	510	Смерть работодателя	510
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@511	511	Соглашение сторон с предоставлением выходного пособия	511
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@601	601	Оперативное лечение онкологических заболеваний	601
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@602	602	Аортокоронарное шунтирование (кровоснабжения миокарда)	602
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@603	603	Протезирование клапанов сердца	603
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@604	604	Нейрохирургия	604
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@605	605	Трансплантация жизненно важных органов	605
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@606	606	Химиотерапия и радиоволновая терапия	606
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@607	607	Постоперационная реабилитация в России	607
DataSchema	InquiryReasonCode	enum	inquiryReasonCode@701	701	Не гарантированный купон	701
