ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	IssueForm	ui-label	issueForm	issueForm	Форма выпуска	Issue form
UiSchema	IssueForm	ui-label	phoneNumber	phoneNumber	Номер телефона	Phone number
UiSchema	IssueForm	ui-label	email	email	E-mail	E-mail
DataSchema	IssueForm	field-title	issueForm	issueForm	Форма выпуска	Issue form
DataSchema	IssueForm	field-title	issueFormCode	issueFormCode	Форма выпуска Код	Issue form code
DataSchema	IssueForm	field-title	issueFormDescription	issueFormDescription	Форма выпуска Наименование	Issue form description
Rule	IssueFormValidateFields	rule	validation@codeAbsent	validateFields	E: Не выбрана форма выпуска	E: Issue form required
Rule	IssueFormValidateFields	rule	validation@phoneNumberAbsent	validateFields	E: Отсутствует номер	E: Phone number absent
Rule	IssueFormValidateFields	rule	validation@emailAbsent	validateFields	E: Отсутствует e-mail	E: Email absent
DataSchema	IssueForm	field-title	polciyHolderIsPayer	polciyHolderIsPayer	Страхователь является плательщиком по договору	polciyHolderIsPayer
UiSchema	IssueForm	ui-label	polciyHolderIsPayer	polciyHolderIsPayer	Страхователь является плательщиком по договору	polciyHolderIsPayer
Rule	IssueFormValidateFields	rule	validation@issueFormIsNotAvailableForProduct	validateFields	E: Форма выпуска недопустима для продукта	E: issueFormIsNotAvailableForProduct
UiSchema	IssueForm	ui-label	futureContractNumber	futureContractNumber	Будущий номер договора	futureContractNumber
