ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	LifeInsurancePaymentCalculation	ui-label	LifeInsurancePaymentCalculation	LifeInsurancePaymentCalculation	Life Insurance Payment Calculation	Расчет выплаты ДСЖ
UiSchema	LifeInsurancePaymentCalculation	ui-label	paymentType	paymentType	Payment Type	Тип выплаты
UiSchema	LifeInsurancePaymentCalculation	ui-label	paymentSum	paymentSum	Payment Sum	Сумма выплаты
UiSchema	LifeInsurancePaymentCalculation	ui-label	total	total	Total	Итого
UiSchema	LifeInsurancePaymentCalculation	ui-label	paymentLinesManualCorrection	paymentLinesManualCorrection	Manual Correction	Ручная корректировка
DataSchema	LifeInsurancePaymentCalculation	field-title	paymentLinesManualCorrection	paymentLinesManualCorrection	Manual Correction	Ручная корректировка
DataSchema	LifeInsurancePaymentCalculation	field-title	paymentLineType	paymentLineType	Payment Type	Тип выплаты
DataSchema	LifeInsurancePaymentCalculation	enum	paymentLineType@Account	Account	Account	Стоимость инвестиционного счета
DataSchema	LifeInsurancePaymentCalculation	enum	paymentLineType@Penalty	Penalty	Penalty	Сумма штрафа за досрочное расторжение
DataSchema	LifeInsurancePaymentCalculation	enum	paymentLineType@Buyer	Buyer	Buyer	Выкупная сумма
DataSchema	LifeInsurancePaymentCalculation	enum	paymentLineType@DID	DID	DID	Выплата ДИД
DataSchema	LifeInsurancePaymentCalculation	enum	paymentLineType@Tax	Tax	Tax	НДФЛ
DataSchema	LifeInsurancePaymentCalculation	field-title	paymentLineSum	paymentLineSum	Payment Sum	Сумма выплаты
