ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	MainInsuranceConditions	field-title	insuranceProduct	insuranceProduct	Страховой продукт	insuranceProduct
UiSchema	MainInsuranceConditions	ui-label	Main Insurance Conditions	Main Insurance Conditions	Основные условия страхования	Main Insurance Conditions
UiSchema	MainInsuranceConditions	ui-label	partner	partner	Партнёр	partner
DataSchema	MainInsuranceConditions	field-title	productCode	productCode	Код продукта	productCode
DataSchema	MainInsuranceConditions	field-title	productDescription	productDescription	Продукт	productDescription
DataSchema	MainInsuranceConditions	field-title	productGroup	productGroup	Группа продуктов	productGroup
UiSchema	MainInsuranceConditions	ui-label	insuranceProduct	insuranceProduct	Страховой продукт	insuranceProduct
DataSchema	MainInsuranceConditions	field-title	partnerCode	partnerCode	Код партнёра	partnerCode
DataSchema	MainInsuranceConditions	field-title	partnerDescription	partnerDescription	Описание партнёра	partnerDescription
Rule	MainInsuranceConditionsValidateMainInsuranceConditions	rule	validation@partnerIsRequired	validateMainInsuranceConditions	E: Необходимо указать партнера	E: validation@partnerIsRequired
Rule	MainInsuranceConditionsValidateMainInsuranceConditions	rule	validation@productIsRequired	validateMainInsuranceConditions	E: Необходимо указать страховой продукт	E: validation@productIsRequired
Rule	MainInsuranceConditionsValidateAttachment	rule	validation@ePolicy_contractAttachment_bankNotificationForBFKOPartner	validateAttachment	N: Проверьте, что приложено обязательное вложение 'Дополнительные документы банка' либо 'Согласие на обработку персональных данных' и 'Уведомление о финансовой услуге'	N: validation@ePolicy_contractAttachment_bankNotificationForBFKOPartner
Rule	MainInsuranceConditionsValidateAttachment	rule	validation@ePolicy_insuredPersonAttachment_passport	validateAttachment	N: Проверьте, что приложено обязательное вложение 'Документ, удостоверяющий личность' на карточке застрахованного	N: validation@ePolicy_insuredPersonAttachment_passport
Rule	MainInsuranceConditionsValidateAttachment	rule	validation@ePolicy_policyHolderAttachment_passport	validateAttachment	N: Проверьте, что приложено обязательное вложение 'Документ, удостоверяющий личность' на карточке страхователя	N: validation@ePolicy_policyHolderAttachment_passport
Rule	MainInsuranceConditionsValidateAttachment	rule	validation@ePolicy_policyHolderAttachment_financialQuestionary	validateAttachment	N: Проверьте, что приложено обязательное вложение 'Анкета о наличии финансовых знаний' на карточке страхователя	N: validation@ePolicy_policyHolderAttachment_financialQuestionary
Rule	MainInsuranceConditionsValidateAttachment	rule	validation@ePolicy_policyHolderAttachment_financialQuestionary_wrongDate	validateAttachment	N: Дата прикрепления документа с типом «Анкета фин. грамотности» не может быть раньше даты актуализации анкеты	N: validation@ePolicy_policyHolderAttachment_financialQuestionary_wrongDate
Rule	MainInsuranceConditionsValidateAttachment	rule	validation@AttachmentFormSeventyPlusShouldBeAdded	validateAttachment	E: Необходимо добавить вложение с типом 'Анкета 70 +'	E: validation@AttachmentFormSeventyPlusShouldBeAdded
Rule	MainInsuranceConditionsValidateAttachment	rule	validation@AttachmentManagingDirectorDRPKShouldBeAdded	validateAttachment	E: Необходимо добавить вложение с типом 'Согласование с управляющим директором - УД ДРПК'	E: validation@AttachmentManagingDirectorDRPKShouldBeAdded
Rule	MainInsuranceConditionsValidateAttachment	rule	validation@AttachmentManagingDirectorUPIPShouldBeAdded	validateAttachment	E: Необходимо добавить вложение с типом 'Согласование с управляющим директором - УД УПИП'	E: validation@AttachmentManagingDirectorUPIPShouldBeAdded
Rule	MainInsuranceConditionsValidateAttachment	rule	validation@ePolicy_policyHolderAttachment_passport_error	validateAttachment	E: Необходимо добавить вложение с типом 'Документ, удостоверяющий личность' на карточке страхователя	E: validation@ePolicy_policyHolderAttachment_passport_error
