ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	PaymentAmendmentConditions	field-title	paymentLinesManualCorrection	paymentLinesManualCorrection	Ручная корректировка	paymentLinesManualCorrection
DataSchema	PaymentAmendmentConditions	field-title	paymentLineType	paymentLineType	Тип выплаты	paymentLineType
DataSchema	PaymentAmendmentConditions	enum	paymentLineType@surrenderValue	surrenderValue	Выкупная сумма	surrenderValue
DataSchema	PaymentAmendmentConditions	enum	paymentLineType@investProfit	investProfit	ДИД	investProfit
DataSchema	PaymentAmendmentConditions	enum	paymentLineType@PIT	PIT	НДФЛ	PIT
DataSchema	PaymentAmendmentConditions	enum	paymentLineType@paymentRefund	paymentRefund	Возврат платежей	paymentRefund
DataSchema	PaymentAmendmentConditions	field-title	paymentLineSum	paymentLineSum	Сумма выплаты	paymentLineSum
UiSchema	PaymentAmendmentConditions	ui-label	PaymentAmendmentConditions	PaymentAmendmentConditions	Информация о выплате	PaymentAmendmentConditions
UiSchema	PaymentAmendmentConditions	ui-label	paymentLines	paymentLines	Составляющие выплаты	paymentLines
UiSchema	PaymentAmendmentConditions	ui-label	paymentLinesManualCorrection	paymentLinesManualCorrection	Ручная корректировка	paymentLinesManualCorrection
UiSchema	PaymentAmendmentConditions	ui-label	paymentLineType	paymentLineType	Тип выплаты	paymentLineType
UiSchema	PaymentAmendmentConditions	ui-label	paymentLineSum	paymentLineSum	Сумма выплаты	paymentLineSum
UiSchema	PaymentAmendmentConditions	ui-label	total	total	ИТОГО	total
Rule	PaymentAmendmentConditionsValidatePaymentAmendmentConditions	rule	validation@noBankAccountNumber	validatePaymentAmendmentConditions	N: Банковский счет не указан, не будет автоматически заполнен в РНВ.	N: validation@noBankAccountNumber
Rule	PaymentAmendmentConditionsValidatePaymentAmendmentConditions	rule	validation@paymentOrderIsInWork	validatePaymentAmendmentConditions	N: РНВ на выплату не будет создано автоматически, функционал в работе.	N: validation@paymentOrderIsInWork
DataSchema	PaymentAmendmentConditions	enum	paymentLineType@creditRefund	creditRefund	Переплата	creditRefund
DataSchema	PaymentAmendmentConditions	enum	paymentLineType@debt	debt	Задолженность	debt
