ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DataSchema	PersonalDataChangeTypes	enum	personalDataChangeTypes@registrationAddress	registrationAddress	registrationAddress	Адрес регистрации
DataSchema	PersonalDataChangeTypes	enum	personalDataChangeTypes@correspondenceAddress	correspondenceAddress	correspondenceAddress	Адрес корреспонденции
DataSchema	PersonalDataChangeTypes	enum	personalDataChangeTypes@actualAddress	actualAddress	actualAddress	Адрес фактический
DataSchema	PersonalDataChangeTypes	enum	personalDataChangeTypes@email	email	email	e-mail
DataSchema	PersonalDataChangeTypes	enum	personalDataChangeTypes@dateOfBirth	dateOfBirth	dateOfBirth	Дата рождения
DataSchema	PersonalDataChangeTypes	enum	personalDataChangeTypes@placeOfBirth	placeOfBirth	placeOfBirth	Место рождения
DataSchema	PersonalDataChangeTypes	enum	personalDataChangeTypes@passport	passport	passport	ДУЛ
DataSchema	PersonalDataChangeTypes	enum	personalDataChangeTypes@gender	gender	gender	Пол
DataSchema	PersonalDataChangeTypes	enum	personalDataChangeTypes@fullName	fullName	fullName	ФИО
DataSchema	PersonalDataChangeTypes	enum	personalDataChangeTypes@phone	phone	phone	Телефон
DataSchema	PersonalDataChangeTypes	enum	personalDataChangeTypes@sitizenship	sitizenship	sitizenship	Гражданство
