ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	PolicyChangeAmendmenTypes	enum	policyChangeAmendmenTypes@policyHolderPersonalDataEdit	policyHolderPersonalDataEdit	Изменение перс. данных Страхователя	policyHolderPersonalDataEdit
DataSchema	PolicyChangeAmendmenTypes	enum	policyChangeAmendmenTypes@insuredPersonPersonalDataEdit	insuredPersonPersonalDataEdit	Изменение перс. данных ЗЛ	insuredPersonPersonalDataEdit
DataSchema	PolicyChangeAmendmenTypes	enum	policyChangeAmendmenTypes@beneficiaryEdit	beneficiaryEdit	Изменение перс. данных ВП	beneficiaryEdit
DataSchema	PolicyChangeAmendmenTypes	enum	policyChangeAmendmenTypes@beneficiarySelection	beneficiarySelection	Замена/назначение ВП	beneficiarySelection
DataSchema	PolicyChangeAmendmenTypes	enum	policyChangeAmendmenTypes@insuredSumAndPaymentEdit	insuredSumAndPaymentEdit	Изменение СС/взноса	insuredSumAndPaymentEdit
DataSchema	PolicyChangeAmendmenTypes	enum	policyChangeAmendmenTypes@insuranceTermEdit	insuranceTermEdit	Изменение срока страхования	insuranceTermEdit
DataSchema	PolicyChangeAmendmenTypes	enum	policyChangeAmendmenTypes@riskEdit	riskEdit	Изменения состава рисков (добавление/удаление рисков)	riskEdit
DataSchema	PolicyChangeAmendmenTypes	enum	policyChangeAmendmenTypes@paymentPeriodTypeEdit	paymentPeriodTypeEdit	Изменение периодичности оплаты	paymentPeriodTypeEdit
DataSchema	PolicyChangeAmendmenTypes	enum	policyChangeAmendmenTypes@reduction	reduction	Редукция	reduction
DataSchema	PolicyChangeAmendmenTypes	enum	policyChangeAmendmenTypes@noteEdit	noteEdit	Пополнение Ноты	noteEdit
DataSchema	PolicyChangeAmendmenTypes	enum	policyChangeAmendmenTypes@allowPaymentStateChange	allowPaymentStateChange	Перевод в оплаченный	allowPaymentStateChange
DataSchema	PolicyChangeAmendmenTypes	enum	policyChangeAmendmenTypes@policyHolderChange	policyHolderChange	Замена Страхователя	policyHolderChange
DataSchema	PolicyChangeAmendmenTypes	enum	policyChangeAmendmenTypes@financialVacations	financialVacations	Финансовые каникулы	financialVacations
DataSchema	PolicyChangeAmendmenTypes	enum	policyChangeAmendmenTypes@paymentPlanEdit	paymentPlanEdit	Изменения графика платежей	paymentPlanEdit
DataSchema	PolicyChangeAmendmenTypes	enum	policyChangeAmendmenTypes@removeOrAddInsuredPerson	removeOrAddInsuredPerson	Исключение/включение ЗЛ (только по коллективным договорам)	removeOrAddInsuredPerson
DataSchema	PolicyChangeAmendmenTypes	enum	policyChangeAmendmenTypes@paymentGraceDateProlongation	paymentGraceDateProlongation	Продление льготного периода	paymentGraceDateProlongation
DataSchema	PolicyChangeAmendmenTypes	enum	policyChangeAmendmenTypes@commissionRateEdit	commissionRateEdit	Изменение условий КВ	commissionRateEdit
DataSchema	PolicyChangeAmendmenTypes	enum	policyChangeAmendmenTypes@investmentParametersEdit	investmentParametersEdit	Изменение параметров инвестирования	investmentParametersEdit
DataSchema	PolicyChangeAmendmenTypes	enum	policyChangeAmendmenTypes@didPayment	didPayment	Выплата ДИД	didPayment
DataSchema	PolicyChangeAmendmenTypes	enum	policyChangeAmendmenTypes@additionalIncome	additionalIncome	Доп. взнос	additionalIncome
