ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	PolicyChangeAmendmentInfo	ui-label	requestInfo	requestInfo	Запросы	requestInfo
UiSchema	PolicyChangeAmendmentInfo	ui-label	rejectionReason	rejectionReason	Причина отказа	rejectionReason
UiSchema	PolicyChangeAmendmentInfo	ui-label	insuranceMethodologyRequest	insuranceMethodologyRequest	Запрос в Направление методологии страхования	insuranceMethodologyRequest
UiSchema	PolicyChangeAmendmentInfo	ui-label	insuranceMethodologyConclusion	insuranceMethodologyConclusion	Заключение в Направления методологии страхования	insuranceMethodologyConclusion
UiSchema	PolicyChangeAmendmentInfo	ui-label	actuaryRequest	actuaryRequest	Запрос в Направление актуарных расчётов	actuaryRequest
UiSchema	PolicyChangeAmendmentInfo	ui-label	actuaryConclusion	actuaryConclusion	Заключение Направления актуарных расчётов	actuaryConclusion
UiSchema	PolicyChangeAmendmentInfo	ui-label	legalRequest	legalRequest	Запрос в Юридическое управление	legalRequest
UiSchema	PolicyChangeAmendmentInfo	ui-label	legalConclusion	legalConclusion	Заключение Юридического управления	legalConclusion
UiSchema	PolicyChangeAmendmentInfo	ui-label	securityRequest	securityRequest	Запрос в Направление экономической безопасности	securityRequest
UiSchema	PolicyChangeAmendmentInfo	ui-label	securityConclusion	securityConclusion	Заключение в Направления экономической безопасности	securityConclusion
UiSchema	PolicyChangeAmendmentInfo	ui-label	undrwriterRequest	undrwriterRequest	Запрос в Центр андеррайтинга	undrwriterRequest
UiSchema	PolicyChangeAmendmentInfo	ui-label	underwriterConclusion	underwriterConclusion	Заключение Центра андеррайтинга	underwriterConclusion
UiSchema	PolicyChangeAmendmentInfo	ui-label	requestToClient	requestToClient	Запрос клиенту	requestToClient
UiSchema	PolicyChangeAmendmentInfo	ui-label	responseFromClient	responseFromClient	Ответ на запрос клиенту	responseFromClient
