ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	PolicyFinChangeAmendmentApplicationInfo	ui-label	applicationInfo	applicationInfo	Информация о заявлении	applicationInfo
UiSchema	PolicyFinChangeAmendmentApplicationInfo	ui-label	applicant	applicant	Заявитель	applicant
UiSchema	PolicyFinChangeAmendmentApplicationInfo	ui-label	receiveMethod	receiveMethod	Способ подачи заявления	receiveMethod
UiSchema	PolicyFinChangeAmendmentApplicationInfo	ui-label	applicationDate	applicationDate	Дата поступления заявления в СК	applicationDate
UiSchema	PolicyFinChangeAmendmentApplicationInfo	ui-label	requestIssueDate	requestIssueDate	Дата подписания заявления	requestIssueDate
UiSchema	PolicyFinChangeAmendmentApplicationInfo	ui-label	documentsReceivedDate	documentsReceivedDate	Дата получения полного комплекта документов	documentsReceivedDate
UiSchema	PolicyFinChangeAmendmentApplicationInfo	ui-label	registrationDate	registrationDate	Дата регистрации	registrationDate
Rule	PolicyFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@ApplicantIsRequired	applicationInfoValidation	E: Заявитель обязателен для заполнения	E: validation@ApplicantIsRequired
Rule	PolicyFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@ReceiveMethodIsRequired	applicationInfoValidation	E: Способ подачи заявления обязателен для заполнения	E: validation@ReceiveMethodIsRequired
Rule	PolicyFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@ApplicationDateIsRequired	applicationInfoValidation	E: Дата поступления заявления в СК обязательна для заполнения	E: validation@ApplicationDateIsRequired
Rule	PolicyFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@ApplicationDateMustBeLessOrEqualToCurrentDate	applicationInfoValidation	E: Дата поступления заявления в СК должна быть меньше или равна текущей дате	E: validation@ApplicationDateMustBeLessOrEqualToCurrentDate
Rule	PolicyFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@ApplicationDateMustBeLessOrEqualToRequestDate	applicationInfoValidation	E: Дата поступления заявления в СК должна быть меньше или равна дате подписания заявления	E: validation@ApplicationDateMustBeLessOrEqualToRequestDate
Rule	PolicyFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@DocumentsReceivedDateIsRequired	applicationInfoValidation	E: Дата получения полного комплекта документов обязательна для заполнения	E: validation@DocumentsReceivedDateIsRequired
Rule	PolicyFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@RegistrationDateIsRequired	applicationInfoValidation	E: Дата регистрации обязательна для заполнения	E: validation@RegistrationDateIsRequired
Rule	PolicyFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@RegistrationDateMustBeLessOrEqualToCurrentDate	applicationInfoValidation	E: Дата регистрации должна быть меньше или равна текущей дате	E: validation@RegistrationDateMustBeLessOrEqualToCurrentDate
Rule	PolicyFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@RequestIssueDateIsRequired	applicationInfoValidation	E: Дата подписания заявления обязательна для заполнения	E: validation@RequestIssueDateIsRequired
Rule	PolicyFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@RequestIssueDateMustBeLessOrEqualToCurrentDate	applicationInfoValidation	E: Дата подписания заявления должна быть меньше или равна текущей дате	E: validation@RequestIssueDateMustBeLessOrEqualToCurrentDate
Rule	PolicyFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@RegistrationDateMustBeAfterPolicyIssueDate	applicationInfoValidation	E: Дата дополнительного соглашения, не входит в период действия договора	E: validation@RegistrationDateMustBeAfterPolicyIssueDate
Rule	PolicyFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@RequestIssueDateMustBeAfterPolicyIssueDate	applicationInfoValidation	E: Дата дополнительного соглашения, не входит в период действия договора	E: validation@RequestIssueDateMustBeAfterPolicyIssueDate
