ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	PolicyFinChangeAmendmentMainAttrs	ui-label	Main attributes	Main attributes	Основная информация	Main attributes
UiSchema	PolicyFinChangeAmendmentMainAttrs	ui-label	amendmentIssueDate	amendmentIssueDate	Дата выпуска изменения	amendmentIssueDate
UiSchema	PolicyFinChangeAmendmentMainAttrs	ui-label	effectiveDate	effectiveDate	Дата, с которой изменения вступают в силу	effectiveDate
UiSchema	PolicyFinChangeAmendmentMainAttrs	ui-label	acceptDate	acceptDate	Дата акцепта	acceptDate
Rule	PolicyFinChangeAmendmentMainAttrsMainAttributesValidation	rule	validation@ChangeTypeIsRequired	mainAttributesValidation	E: Класс изменения обязателен для заполнения	E: validation@ChangeTypeIsRequired
Rule	PolicyFinChangeAmendmentMainAttrsMainAttributesValidation	rule	validation@insuredPersonPesonalDataChangeTypeIsRequired	mainAttributesValidation	E: Необходимо указать класс Изменение перс данных ЗЛ	E: validation@insuredPersonPesonalDataChangeTypeIsRequired
Rule	PolicyFinChangeAmendmentMainAttrsMainAttributesValidation	rule	validation@policyHolderPesonalDataChangeTypeIsRequired	mainAttributesValidation	E: Необходимо указать класс Изменение перс данных Страхователя	E: validation@policyHolderPesonalDataChangeTypeIsRequired
Rule	PolicyFinChangeAmendmentMainAttrsMainAttributesValidation	rule	validation@AmendmentIssueDateIsRequired	mainAttributesValidation	E: Дата выпуска изменения обязательна для заполнения	E: validation@AmendmentIssueDateIsRequired
Rule	PolicyFinChangeAmendmentMainAttrsMainAttributesValidation	rule	validation@AmendmentEffectiveDateIsRequired	mainAttributesValidation	E: Дата, с которой изменения вступают в силу обязательна для заполнения	E: validation@AmendmentEffectiveDateIsRequired
Rule	PolicyFinChangeAmendmentMainAttrsMainAttributesValidation	rule	validation@AcceptDateIsRequired	mainAttributesValidation	E: Дата акцепта обязательна для заполнения	E: validation@AcceptDateIsRequired
Rule	PolicyFinChangeAmendmentMainAttrsMainAttributesValidation	rule	validation@BeneficiaryEditChangeTypeIsNotAllowedWhenHeritorsAreAvailable	mainAttributesValidation	E: Изменение перс. данных ВП не разрешено, так как ВП не назначены	E: validation@BeneficiaryEditChangeTypeIsNotAllowedWhenHeritorsAreAvailable
DataSchema	PolicyFinChangeAmendmentMainAttrs	enum	initiator@insurer	insurer	Страховщик	insurer
DataSchema	PolicyFinChangeAmendmentMainAttrs	enum	initiator@applicant	applicant	Заявитель	applicant
DataSchema	PolicyFinChangeAmendmentMainAttrs	enum	changeReason@bugFix	bugFix	Исправление ошибки	bugFix
DataSchema	PolicyFinChangeAmendmentMainAttrs	enum	changeReason@decision	decision	Решение ИК	decision
DataSchema	PolicyFinChangeAmendmentMainAttrs	enum	changeReason@other	other	Иное	other
UiSchema	PolicyFinChangeAmendmentMainAttrs	ui-label	changeReason	changeReason	Причина изменений	changeReason
UiSchema	PolicyFinChangeAmendmentMainAttrs	ui-label	initiator	initiator	Инициатор	initiator
UiSchema	PolicyFinChangeAmendmentMainAttrs	ui-label	productConfOnAmendmentDate	productConfOnAmendmentDate	Конфигурация продукта на дату выпуска изменения	Use amendment issue date for product conf
Rule	PolicyFinChangeAmendmentMainAttrsMainAttributesValidation	rule	validation@amendmentEffectiveDateMustBeEqualToAnyPeriodStartDate	mainAttributesValidation	E: Дата вступления изменений в силу должна быть равна одной из дат согласно по графику платежей	E: amendmentEffectiveDateMustBeEqualToAnyPeriodStartDate
UiSchema	PolicyFinChangeAmendmentMainAttrs	ui-label	changeType	changeType	Тип изменения	changeType
Rule	PolicyFinChangeAmendmentMainAttrsMainAttributesValidation	rule	validation@amendmentEffectiveDateMustBeAnniversary	mainAttributesValidation	E: Дата вступления изменений в силу должна быть годовщиной относительно графика платежей	validation@amendmentEffectiveDateMustBeAnniversary
Rule	PolicyFinChangeAmendmentMainAttrsMainAttributesValidation	rule	validation@atLeastOneChangedCommission	mainAttributesValidation	E: Должно быть изменено хотя бы одно условие КВ	E: atLeastOneChangedCommission
Rule	PolicyFinChangeAmendmentMainAttrsMainAttributesValidation	rule	validation@atLeastOneChangedCommissionNotInEffectivePeriodAmendment	mainAttributesValidation	E: Среди выбранных периодов есть такие, у которых дата начала более ранняя, чем дата вступления в силу документа.	E: atLeastOneChangedCommissionNotInEffectivePeriodAmendment
