ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	PolicyHolder	ui-label	Policy Holder	Policy Holder	Страхователь	Policy Holder
Rule	PolicyHolderValidatePolicyHolder	rule	validation@isEmptyDataByPolicyHolder	validatePolicyHolder	E: Дополните информацию о страхователе	E: validation@isEmptyDataByPolicyHolder
DataSchema	PolicyHolder	field-title	policyHolderObj	policyHolderObj	Страхователь Обьект	Policy Holder Object
Rule	PolicyHolderValidatePolicyHolder	rule	validation@policyHolderIsRequired	validatePolicyHolder	E: Необходимо указать страхователя	E: validation@policyHolderIsRequired
Rule	PolicyHolderValidatePolicyHolder	rule	validation@noFinKnowledgeQuestionnaire2023	validatePolicyHolder	E: Необходимо заполнить анкету фин. грамотности	E: validation@noFinKnowledgeQuestionnaire2023
Rule	PolicyHolderValidatePolicyHolder	rule	validation@noFinKnowledgeQuestionnaireConfirmation2023	validatePolicyHolder	E: Необходимо указать подтверждение к анкете фин. грамотности	E: validation@noFinKnowledgeQuestionnaireConfirmation2023
Rule	PolicyHolderValidatePolicyHolder	rule	validation@noFinKnowledgeQuestionnaireLastUpdate2023	validatePolicyHolder	E: Необходимо актуализировать анкету фин. грамотности	E: validation@noFinKnowledgeQuestionnaireLastUpdate2023
Rule	PolicyHolderValidatePolicyHolder	rule	validation@noFinKnowledgeQuestionnaire	validatePolicyHolder	E: Необходимо заполнить анкету фин. грамотности до 2023	E: validation@noFinKnowledgeQuestionnaire
Rule	PolicyHolderValidatePolicyHolder	rule	validation@noFinKnowledgeQuestionnaireConfirmation	validatePolicyHolder	E: Необходимо указать подтверждение к анкете фин. грамотности до 2023	E: validation@noFinKnowledgeQuestionnaireConfirmation
Rule	PolicyHolderValidatePolicyHolder	rule	validation@noFinKnowledgeQuestionnaireLastUpdate	validatePolicyHolder	E: Необходимо актуализировать анкету фин. грамотности до 2023	E: validation@noFinKnowledgeQuestionnaireLastUpdate
Rule	PolicyHolderValidatePolicyHolder	rule	validation@dateOfBirthEmpty	validatePolicyHolder	E: Необходимо указать дату рождения	E: validation@dateOfBirthEmpty
Rule	PolicyHolderValidatePolicyHolder	rule	validation@personGenderEmpty	validatePolicyHolder	E: Необходимо указать пол	E: validation@personGenderEmpty
Rule	PolicyHolderValidatePolicyHolder	rule	validation@policyHolderAge	validatePolicyHolder	E: Возраст страхователя не соответствует ограничениям продукта.  Минимально допустимый возраст на дату заключения ${entity.policyHolderAgeMin}.	E: validation@policyHolderAge
Rule	PolicyHolderValidatePolicyHolder	rule	validation@policyHolderAgeMax	validatePolicyHolder	E: Возраст страхователя не соответствует ограничениям продукта.  Максимально допустимый возраст на дату заключения ${entity.policyHolderAgeMax}.	E: validation@policyHolderAgeMax
Rule	PolicyHolderValidatePolicyHolder	rule	validation@policyHolderAgeEndMax	validatePolicyHolder	E: Возраст страхователя не соответствует ограничениям продукта.  Максимально допустимый возраст на дату окончания ${entity.policyHolderAgeEndMax}.	E: validation@policyHolderAgeEndMax
Rule	PolicyHolderValidatePolicyHolder	rule	validation@policyHolderNotResident	validatePolicyHolder	E: Страхователь не является резидентом РФ	E: validation@policyHolderNotResident
Rule	PolicyHolderValidatePolicyHolder	rule	validation@noFinKnowledgeQuestionnaire2024	validatePolicyHolder	E: Необходимо заполнить анкету фин. грамотности	E: validation@noFinKnowledgeQuestionnaire2024
Rule	PolicyHolderValidatePolicyHolder	rule	validation@noFinKnowledgeQuestionnaireConfirmation2024	validatePolicyHolder	E: Необходимо указать подтверждение к анкете фин. грамотности	E: validation@noFinKnowledgeQuestionnaireConfirmation2024
Rule	PolicyHolderValidatePolicyHolder	rule	validation@noFinKnowledgeQuestionnaireLastUpdate2024	validatePolicyHolder	E: Необходимо актуализировать анкету фин. грамотности	E: validation@noFinKnowledgeQuestionnaireLastUpdate2024
Rule	PolicyHolderValidatePolicyHolder	rule	validation@policyHolderTaxResidenceNotRus	validatePolicyHolder	E: Страхователь не является налоговым резидентом РФ	E: validation@policyHolderTaxResidenceNotRus
Rule	PolicyHolderValidatePolicyHolder	rule	validation@policyHolderNotRusCitizenship	validatePolicyHolder	E: Страхователь имеет гражданство, отличное от РФ	E: validation@policyHolderNotRusCitizenship
Rule	PolicyHolderValidatePolicyHolder	rule	validation@policyHolderUSAPhone	validatePolicyHolder	E: Номер телефона Страхователя на территории США	E: validation@policyHolderUSAPhone
Rule	PolicyHolderValidatePolicyHolder	rule	validation@policyHolderNotRusPhone	validatePolicyHolder	E: Номер телефона Страхователя в иностранном государстве, отсутствует номер телефона в РФ	E: validation@policyHolderNotRusPhone
Rule	PolicyHolderValidatePolicyHolder	rule	validation@policyHolderForeignAddress	validatePolicyHolder	E: Иностранный адрес регистрации, места фактического проживания или почтового адреса Страхователя	E: validation@policyHolderForeignAddress
Rule	PolicyHolderValidatePolicyHolder	rule	validation@policyHolderPlaceUSA	validatePolicyHolder	E: Страна рождения Страхователя США	E: validation@policyHolderPlaceUSA
Rule	PolicyHolderValidatePolicyHolder	rule	validation@policyHolderForeignCitPassport	validatePolicyHolder	E: Паспорт иностранного гражданина для Страхователя	E: validation@policyHolderForeignCitPassport
Rule	PolicyHolderValidatePolicyHolder	rule	validation@policyHolderManualAddress	validatePolicyHolder	E: Ручной адрес регистрации, места фактического проживания или почтового адреса Страхователя	E: validation@policyHolderManualAddress
Rule	PolicyHolderValidatePolicyHolder	rule	validation@policyHolderStatelessPerson	validatePolicyHolder	E: Лицо без гражданства	E: validation@policyHolderStatelessPerson
Rule	PolicyHolderValidatePolicyHolder	rule	validation@policyHolderAgePaymentPeriodEndMax	validatePolicyHolder	E: Возраст страхователя не соответствует ограничениям продукта.  Максимально допустимый возраст на дату окончания периода оплаты ${entity.policyHolderAgePaymentPeriodEndMax}.	E: validation@policyHolderAgePaymentPeriodEndMax
