ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	PolicyHolderLookUpSearch	field-title	partyId	partyId	partyId	partyId
DataSchema	PolicyHolderLookUpSearch	field-title	partyCode	partyCode	partyCode	partyCode
DataSchema	PolicyHolderLookUpSearch	field-title	partyType	partyType	partyType	partyType
DataSchema	PolicyHolderLookUpSearch	field-title	partyFullName	partyFullName	ФИО	partyFullName
DataSchema	PolicyHolderLookUpSearch	enum	personGender@Male	Male	Мужской	Male
DataSchema	PolicyHolderLookUpSearch	enum	personGender@Female	Female	Женский	Female
UiSchema	PolicyHolderLookUpSearch	ui-label	fullName	fullName	ФИО	fullName
UiSchema	PolicyHolderLookUpSearch	ui-label	dateOfBirth	dateOfBirth	Дата рождения	dateOfBirth
UiSchema	PolicyHolderLookUpSearch	ui-label	personGender	personGender	Пол	personGender
UiSchema	PolicyHolderLookUpSearch	ui-label	organisationFullName	organisationFullName	Полное наименование	organisationFullName
UiSchema	PolicyHolderLookUpSearch	ui-label	personOrganisationFullName	personOrganisationFullName	ФИО/Полное наименование	personOrganisationFullName
