ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	PolicyNonFinChangeAmendmentApplicationInfo	ui-label	applicationInfo	applicationInfo	Информация о заявлении	applicationInfo
UiSchema	PolicyNonFinChangeAmendmentApplicationInfo	ui-label	applicant	applicant	Заявитель	applicant
UiSchema	PolicyNonFinChangeAmendmentApplicationInfo	ui-label	receiveMethod	receiveMethod	Способ подачи заявления	receiveMethod
UiSchema	PolicyNonFinChangeAmendmentApplicationInfo	ui-label	applicationDate	applicationDate	Дата поступления заявления в СК	applicationDate
UiSchema	PolicyNonFinChangeAmendmentApplicationInfo	ui-label	requestIssueDate	requestIssueDate	Дата подписания заявления	requestIssueDate
UiSchema	PolicyNonFinChangeAmendmentApplicationInfo	ui-label	registrationDate	registrationDate	Дата регистрации	registrationDate
Rule	PolicyNonFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@ApplicantIsRequired	applicationInfoValidation	E: Заявитель обязателен для заполнения	E: validation@ApplicantIsRequired
Rule	PolicyNonFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@ReceiveMethodIsRequired	applicationInfoValidation	E: Способ подачи заявления обязателен для заполнения	E: validation@ReceiveMethodIsRequired
Rule	PolicyNonFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@ApplicationDateIsRequired	applicationInfoValidation	E: Дата поступления заявления в СК обязательна для заполнения	E: validation@ApplicationDateIsRequired
Rule	PolicyNonFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@ApplicationDateMustBeLessOrEqualToCurrentDate	applicationInfoValidation	E: Дата поступления заявления в СК должна быть меньше или равна текущей дате	E: validation@ApplicationDateMustBeLessOrEqualToCurrentDate
Rule	PolicyNonFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@ApplicationDateMustBeLessOrEqualToRequestDate	applicationInfoValidation	E: Дата поступления зявления в СК должна быть меньше или равна дате подписания заявления	E: validation@ApplicationDateMustBeLessOrEqualToRequestDate
Rule	PolicyNonFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@ApplicationDateMustBeLessOrEqualToRegistrationDate	applicationInfoValidation	E: Дата поступления заявления в СК не должна быть больше даты регистрации	E: validation@ApplicationDateMustBeLessOrEqualToRegistrationDate
Rule	PolicyNonFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@RegistrationDateIsRequired	applicationInfoValidation	E: Дата регистрации обязательна для заполнения	E: validation@RegistrationDateIsRequired
Rule	PolicyNonFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@RegistrationDateMustBeLessOrEqualToCurrentDate	applicationInfoValidation	E: Дата регистрации должна быть меньше или равна текущей дате	E: validation@RegistrationDateMustBeLessOrEqualToCurrentDate
Rule	PolicyNonFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@RequestIssueDateIsRequired	applicationInfoValidation	E: Дата подписания заявления обязательна для заполнения	E: validation@RequestIssueDateIsRequired
Rule	PolicyNonFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@RequestIssueDateMustBeLessOrEqualToCurrentDate	applicationInfoValidation	E: Дата подписания заявления должна быть меньше или равна текущей дате	E: validation@RequestIssueDateMustBeLessOrEqualToCurrentDate
Rule	PolicyNonFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@RequestIssueDateMustBeLessOrEqualToRegistrationDate	applicationInfoValidation	E: Дата подписания заявления в СК не должна быть больше даты регистрации	E: validation@RequestIssueDateMustBeLessOrEqualToRegistrationDate
Rule	PolicyNonFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@RegistrationDateMustBeAfterPolicyIssueDate	applicationInfoValidation	E: Дата дополнительного соглашения, не входит в период действия договора	E: validation@RegistrationDateMustBeAfterPolicyIssueDate
Rule	PolicyNonFinChangeAmendmentApplicationInfoApplicationInfoValidation	rule	validation@RequestIssueDateMustBeAfterPolicyIssueDate	applicationInfoValidation	E: Дата дополнительного соглашения, не входит в период действия договора	E: validation@RequestIssueDateMustBeAfterPolicyIssueDate
