ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	PolicyNonFinChangeAmendmentMainAttrs	ui-label	Main attributes	Main attributes	Основная информация	Main attributes
UiSchema	PolicyNonFinChangeAmendmentMainAttrs	ui-label	changeType	changeType	Класс изменения	changeType
UiSchema	PolicyNonFinChangeAmendmentMainAttrs	ui-label	amendmentIssueDate	amendmentIssueDate	Дата выпуска изменения	amendmentIssueDate
UiSchema	PolicyNonFinChangeAmendmentMainAttrs	ui-label	effectiveDate	effectiveDate	Дата, с которой изменения вступают в силу	effectiveDate
Rule	PolicyNonFinChangeAmendmentMainAttrsMainAttributesValidation	rule	validation@ChangeTypeIsRequired	mainAttributesValidation	E: Класс изменения обязателен для заполнения	E: validation@ChangeTypeIsRequired
Rule	PolicyNonFinChangeAmendmentMainAttrsMainAttributesValidation	rule	validation@insuredPersonPesonalDataChangeTypeIsRequired	mainAttributesValidation	E: Необходимо указать класс Изменение перс данных ЗЛ	E: validation@insuredPersonPesonalDataChangeTypeIsRequired
Rule	PolicyNonFinChangeAmendmentMainAttrsMainAttributesValidation	rule	validation@policyHolderPesonalDataChangeTypeIsRequired	mainAttributesValidation	E: Необходимо указать класс Изменение перс данных Страхователя	E: validation@policyHolderPesonalDataChangeTypeIsRequired
Rule	PolicyNonFinChangeAmendmentMainAttrsMainAttributesValidation	rule	validation@AmendmentEffectiveDateIsRequired	mainAttributesValidation	E: Дата, с которой изменения вступают в силу обязательна для заполнения	E: validation@AmendmentEffectiveDateIsRequired
Rule	PolicyNonFinChangeAmendmentMainAttrsMainAttributesValidation	rule	validation@BeneficiaryEditChangeTypeIsNotAllowedWhenHeritorsAreAvailable	mainAttributesValidation	E: Изменение перс. данных ВП не разрешено, так как ВП не назначены	E: validation@BeneficiaryEditChangeTypeIsNotAllowedWhenHeritorsAreAvailable
DataSchema	PolicyNonFinChangeAmendmentMainAttrs	enum	initiator@insurer	insurer	Страховщик	insurer
DataSchema	PolicyNonFinChangeAmendmentMainAttrs	enum	initiator@applicant	applicant	Заявитель	applicant
DataSchema	PolicyNonFinChangeAmendmentMainAttrs	enum	changeReason@bugFix	bugFix	Исправление ошибки	bugFix
DataSchema	PolicyNonFinChangeAmendmentMainAttrs	enum	changeReason@decision	decision	Решение ИК	decision
DataSchema	PolicyNonFinChangeAmendmentMainAttrs	enum	changeReason@other	other	Иное	other
UiSchema	PolicyNonFinChangeAmendmentMainAttrs	ui-label	changeReason	changeReason	Причина изменений	changeReason
UiSchema	PolicyNonFinChangeAmendmentMainAttrs	ui-label	initiator	initiator	Инициатор	initiator
Rule	PolicyNonFinChangeAmendmentMainAttrsMainAttributesValidation	rule	validation@FinancialAttributesChanged	mainAttributesValidation	W: Изменены атрибуты, участвующие в определении тарифа. В ДС на НФИ не производится пересчет финансовых атрибутов. В случае влияния изменений на тариф требуется дополнительно выпустить ДС на ФИ	W: PolicyNonFinChangeAmendmentMainAttrsMainAttributesValidation
UiSchema	PolicyNonFinChangeAmendmentMainAttrs	ui-label	personalDataChangeType	personalDataChangeType	Тип изменений	personalDataChangeType
Rule	PolicyNonFinChangeAmendmentMainAttrsMainAttributesValidation	rule	validation@changeReasonIsRequired	mainAttributesValidation	E: Причина изменений обязательна для заполнения	E: validation@changeReasonIsRequired
Rule	PolicyNonFinChangeAmendmentMainAttrsMainAttributesValidation	rule	validation@personalDataChangeTypeIsRequired	mainAttributesValidation	E: Тип изменений обязателен для заполнения	E: validation@personalDataChangeTypeIsRequired
