ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	PolicyPortfolioMovementAmendmentApplicationInfo	ui-label	applicationInfo	applicationInfo	applicationInfo	Информация о заявлении
UiSchema	PolicyPortfolioMovementAmendmentApplicationInfo	ui-label	applicant	applicant	applicant	Заявитель
UiSchema	PolicyPortfolioMovementAmendmentApplicationInfo	ui-label	receiveMethod	receiveMethod	receiveMethod	Способ подачи заявления
UiSchema	PolicyPortfolioMovementAmendmentApplicationInfo	ui-label	applicationDate	applicationDate	applicationDate	Дата написания заявления
UiSchema	PolicyPortfolioMovementAmendmentApplicationInfo	ui-label	requestIssueDate	requestIssueDate	requestIssueDate	Дата подписания заявления
UiSchema	PolicyPortfolioMovementAmendmentApplicationInfo	ui-label	documentsReceivedDate	documentsReceivedDate	documentsReceivedDate	Дата получения полного комплекта документов
UiSchema	PolicyPortfolioMovementAmendmentApplicationInfo	ui-label	registrationDate	registrationDate	registrationDate	Дата регистрации
Rule	PolicyPortfolioMovementAmendmentApplicationInfoApplicationInfoValidation	rule	validation@ApplicantIsRequired	applicationInfoValidation	E: ApplicantIsRequired	E: Заявитель обязателен для заполнения
Rule	PolicyPortfolioMovementAmendmentApplicationInfoApplicationInfoValidation	rule	validation@ReceiveMethodIsRequired	applicationInfoValidation	E: ReceiveMethodIsRequired	E: Способ подачи заявления обязателен для заполнения
Rule	PolicyPortfolioMovementAmendmentApplicationInfoApplicationInfoValidation	rule	validation@ApplicationDateIsRequired	applicationInfoValidation	E: ApplicationDateIsRequired	E: Дата поступления заявления в СК обязательна для заполнения
Rule	PolicyPortfolioMovementAmendmentApplicationInfoApplicationInfoValidation	rule	validation@ApplicationDateMustBeLessOrEqualToCurrentDate	applicationInfoValidation	E: ApplicationDateMustBeLessOrEqualToCurrentDate	E: Дата поступления заявления в СК должна быть меньше или равна текущей дате
Rule	PolicyPortfolioMovementAmendmentApplicationInfoApplicationInfoValidation	rule	validation@ApplicationDateMustBeLessOrEqualToRequestDate	applicationInfoValidation	E: ApplicationDateMustBeLessOrEqualToRequestDate	E: Дата поступления заявления в СК должна быть меньше или равна дате подписания заявления
Rule	PolicyPortfolioMovementAmendmentApplicationInfoApplicationInfoValidation	rule	validation@DocumentsReceivedDateIsRequired	applicationInfoValidation	E: DocumentsReceivedDateIsRequired	E: Дата получения полного комплекта документов обязательна для заполнения
Rule	PolicyPortfolioMovementAmendmentApplicationInfoApplicationInfoValidation	rule	validation@RegistrationDateIsRequired	applicationInfoValidation	E: RegistrationDateIsRequired	E: Дата регистрации обязательна для заполнения
Rule	PolicyPortfolioMovementAmendmentApplicationInfoApplicationInfoValidation	rule	validation@RegistrationDateMustBeLessOrEqualToCurrentDate	applicationInfoValidation	E: RegistrationDateMustBeLessOrEqualToCurrentDate	E: Дата регистрации должна быть меньше или равна текущей дате
Rule	PolicyPortfolioMovementAmendmentApplicationInfoApplicationInfoValidation	rule	validation@RegistrationDateMustBeAfterPolicyIssueDate	applicationInfoValidation	E: RegistrationDateMustBeAfterPolicyIssueDate	E: Дата дополнительного соглашения не входит в период действия договора
Rule	PolicyPortfolioMovementAmendmentApplicationInfoApplicationInfoValidation	rule	validation@RequestIssueDateIsRequired	applicationInfoValidation	E: RequestIssueDateIsRequired	E: Дата подписания заявления обязательна для заполнения
Rule	PolicyPortfolioMovementAmendmentApplicationInfoApplicationInfoValidation	rule	validation@RequestIssueDateMustBeLessOrEqualToCurrentDate	applicationInfoValidation	E: RequestIssueDateMustBeLessOrEqualToCurrentDate	E: Дата подписания заявления должна быть меньше или равна текущей дате
Rule	PolicyPortfolioMovementAmendmentApplicationInfoApplicationInfoValidation	rule	validation@RequestIssueDateMustBeAfterPolicyIssueDate	applicationInfoValidation	E: RequestIssueDateMustBeAfterPolicyIssueDate	E: Дата дополнительного соглашения не входит в период действия договора
