ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DataSchema	ReceivedDocumentsContractEntity	field-title	hasAmendment	hasAmendment	hasAmendment	Получено дополнительное соглашение
DataSchema	ReceivedDocumentsContractEntity	field-title	hasPaymentIntermediateApplication	hasPaymentIntermediateApplication	hasPaymentIntermediateApplication	Заявление на промежуточную выплату
DataSchema	ReceivedDocumentsContractEntity	field-title	paymentIntermediateApplicationDate	paymentIntermediateApplicationDate	paymentIntermediateApplicationDate	Дата получения заявления
UiSchema	ReceivedDocumentsContractEntity	ui-label	hasAmendment	hasAmendment	hasAmendment	Получено дополнительное соглашение
UiSchema	ReceivedDocumentsContractEntity	ui-label	hasPaymentIntermediateApplication	hasPaymentIntermediateApplication	hasPaymentIntermediateApplication	Заявление на промежуточную выплату
UiSchema	ReceivedDocumentsContractEntity	ui-label	paymentIntermediateApplicationDate	paymentIntermediateApplicationDate	paymentIntermediateApplicationDate	Дата получения заявления
UiSchema	ReceivedDocumentsContractEntity	ui-label	Amendment data	Amendment data	Amendment data	ДС по дивидендам
UiSchema	ReceivedDocumentsContractEntity	ui-label	Payment intermediate application	Payment intermediate application	Payment intermediate application	Промежуточная выплата
Rule	ReceivedDocumentsContractEntityValidationReceivedDocuments	rule	validation@paymentIntermediateApplicationDateIsEmpty	validationReceivedDocuments	E: paymentIntermediateApplicationDateIsEmpty	E: Необходимо заполнить дату получения заявления
DataSchema	ReceivedDocumentsContractEntity	field-title	hasAmendmentDate	hasAmendmentDate	hasAmendmentDate	Дата проставления признака "Получено дополнительное соглашение"
Rule	ReceivedDocumentsContractEntityValidationReceivedDocuments	rule	validation@paymentIntermediateApplicationDateLessIssueDate	validationReceivedDocuments	E: paymentIntermediateApplicationDateLessIssueDate	E: Дата получения заявления не может быть меньше даты заключения договора
DataSchema	ReceivedDocumentsContractEntity	field-title	originalReceiptDate	originalReceiptDate	originalReceiptDate	Дата получения оригинала договора
UiSchema	ReceivedDocumentsContractEntity	ui-label	Contract data	Contract data	Contract data	Договор
UiSchema	ReceivedDocumentsContractEntity	ui-label	originalReceiptDate	originalReceiptDate	originalReceiptDate	Дата получения оригинала договора
Rule	ReceivedDocumentsContractEntityValidationReceivedDocuments	rule	validation@paymentIntermediateApplicationDateMoreCurrentDate	validationReceivedDocuments	E: paymentIntermediateApplicationDateMoreCurrentDate	E: Дата получения заявления не может быть в будущем
