ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	RequestState	enum	requestState@Draft	Draft	Проект	Draft
DataSchema	RequestState	enum	requestState@Issued	Issued	Согласовано	Issued
DataSchema	RequestState	enum	requestState@Cancelled	Cancelled	Отменено	Cancelled
DataSchema	RequestState	enum	requestState@Correction	Correction	Требуется доработка	Correction
DataSchema	RequestState	enum	requestState@CancelWithoutPayment	CancelWithoutPayment	Расторжение без выплаты	CancelWithoutPayment
DataSchema	RequestState	enum	requestState@RefusalToTerminateByPolicyholder	RefusalToTerminateByPolicyholder	Отказ от расторжения по инициативе страхователя	RefusalToTerminateByPolicyholder
DataSchema	RequestState	enum	requestState@OnReview	OnReview	На рассмотрении СК	OnReview
DataSchema	RequestState	enum	requestState@CreateAmendment	CreateAmendment	Оформить ДС	CreateAmendment
DataSchema	RequestState	enum	requestState@CreateFinancialAmendment	CreateFinancialAmendment	Оформить ДС на финансовые изменения	CreateFinancialAmendment
DataSchema	RequestState	enum	requestState@CreateFinancialPolicyHolderChangeAmendment	CreateFinancialPolicyHolderChangeAmendment	Оформить ДС на финансовые изменения - замена страхователя	CreateFinancialPolicyHolderChangeAmendment
DataSchema	RequestState	enum	requestState@CreateNonFinancialAmendment	CreateNonFinancialAmendment	Оформить ДС на нефинансовые изменения	CreateNonFinancialAmendment
DataSchema	RequestState	enum	requestState@AmendmentsCreated	AmendmentsCreated	ДС созданы	AmendmentsCreated
DataSchema	RequestState	enum	requestState@AmendmentsCancelled	AmendmentsCancelled	ДС отменено	AmendmentsCancelled
