ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DataSchema	Risk	field-title	riskInsuredSum	riskInsuredSum	riskInsuredSum	Страховая сумма
DataSchema	Risk	field-title	riskPremium	riskPremium	riskPremium	Премия по риску
DataSchema	Risk	field-title	startDate	startDate	startDate	Дата начала
DataSchema	Risk	field-title	endDate	endDate	endDate	Дата окончания
UiSchema	Risk	ui-label	riskInsuredSum	riskInsuredSum	riskInsuredSum	Страховая сумма
UiSchema	Risk	ui-label	riskPremium	riskPremium	riskPremium	Премия по риску
DataSchema	Risk	field-title	riskCode	riskCode	riskCode	Код риска
DataSchema	Risk	field-title	riskType	riskType	riskType	Тип риска
DataSchema	Risk	field-title	riskShortDescription	riskShortDescription	riskShortDescription	Краткое наименование риска
DataSchema	Risk	field-title	riskFullDescription	riskFullDescription	riskFullDescription	Полное наименование риска
UiSchema	Risk	ui-label	additionalRisks	additionalRisks	additionalRisks	Дополнительные риски
UiSchema	Risk	ui-label	replacementRisks	replacementRisks	replacementRisks	Замена риска
DataSchema	Risk	field-title	conditionsFunction	conditionsFunction	conditionsFunction	Условия для риска
DataSchema	Risk	field-title	replacementInfo	replacementInfo	replacementInfo	Данные о замене
DataSchema	Risk	field-title	isReplaceable	isReplaceable	isReplaceable	Заменяемый риск
DataSchema	Risk	field-title	parentRiskCode	parentRiskCode	parentRiskCode	Родительский риск
UiSchema	Risk	ui-label	riskInsuredSumByPeriod	riskInsuredSumByPeriod	riskInsuredSumByPeriod	Страховая сумма по периодам
UiSchema	Risk	ui-label	periodNumber	periodNumber	periodNumber	Номер
UiSchema	Risk	ui-label	periodStartDate	periodStartDate	periodStartDate	Дата начала
UiSchema	Risk	ui-label	periodEndDate	periodEndDate	periodEndDate	Дата окончания
UiSchema	Risk	ui-label	insuredSum	insuredSum	insuredSum	Сумма
DataSchema	Risk	field-title	risk	risk	risk	Риск
DataSchema	Risk	enum	riskProgram@main	main	main	Основная
DataSchema	Risk	enum	riskProgram@additional	additional	additional	Дополнительная
DataSchema	Risk	enum	riskPerson@insuredPerson	insuredPerson	insuredPerson	Застрахованный
DataSchema	Risk	enum	riskPerson@policyHolder	policyHolder	policyHolder	Страхователь
DataSchema	Risk	field-title	isUnifiedInsuranceAmount	isUnifiedInsuranceAmount	isUnifiedInsuranceAmount	Единая страховая сумма
DataSchema	Risk	field-title	isLimitedInsuranceAmount	isLimitedInsuranceAmount	isLimitedInsuranceAmount	Ограничение страховой суммы
UiSchema	Risk	ui-label	isUnifiedInsuranceAmount	isUnifiedInsuranceAmount	isUnifiedInsuranceAmount	Единая страховая сумма
UiSchema	Risk	ui-label	isLimitedInsuranceAmount	isLimitedInsuranceAmount	isLimitedInsuranceAmount	Ограничение страховой суммы
DataSchema	Risk	field-title	underwriterRatio	underwriterRatio	underwriterRatio	Коэффициент андеррайтера
DataSchema	Risk	field-title	underwriterPremium	underwriterPremium	underwriterPremium	Надбавка андеррайтера, ‰
UiSchema	Risk	ui-label	underwriterRatio	underwriterRatio	underwriterRatio	Коэффициент андеррайтера
UiSchema	Risk	ui-label	underwriterPremium	underwriterPremium	underwriterPremium	Надбавка андеррайтера, ‰
Rule	RiskValidateRisk	rule	validation@underwriterRatioWrong	validateRisk	E: underwriterRatioWrong	E: Коэффициент андеррайтера должен быть в диапазоне от 1 до 10
Rule	RiskValidateRisk	rule	validation@underwriterPremiumWrong	validateRisk	E: underwriterPremiumWrong	E: Надбавка андеррайтера должна быть в диапазоне от 0 до 100
DataSchema	Risk	field-title	underwriterRatioWithoutTariffication	underwriterRatioWithoutTariffication	underwriterRatioWithoutTariffication	Коэффициент андеррайтера (без расчета)
DataSchema	Risk	field-title	underwriterPremiumWithoutTariffication	underwriterPremiumWithoutTariffication	underwriterPremiumWithoutTariffication	Надбавка андеррайтера, ‰ (без расчета)
UiSchema	Risk	ui-label	underwriterRatioWithoutTariffication	underwriterRatioWithoutTariffication	underwriterRatioWithoutTariffication	Коэффициент андеррайтера (без расчета)
UiSchema	Risk	ui-label	underwriterPremiumWithoutTariffication	underwriterPremiumWithoutTariffication	underwriterPremiumWithoutTariffication	Надбавка андеррайтера, ‰ (без расчета)
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@1	1	1	1
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@1.25	1.25	1.25	1.25
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@1.5	1.5	1.5	1.5
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@1.75	1.75	1.75	1.75
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@2	2	2	2
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@2.25	2.25	2.25	2.25
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@2.5	2.5	2.5	2.5
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@2.75	2.75	2.75	2.75
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@3	3	3	3
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@3.25	3.25	3.25	3.25
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@3.5	3.5	3.5	3.5
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@3.75	3.75	3.75	3.75
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@4	4	4	4
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@4.25	4.25	4.25	4.25
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@4.5	4.5	4.5	4.5
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@4.75	4.75	4.75	4.75
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@5	5	5	5
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@5.25	5.25	5.25	5.25
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@5.5	5.5	5.5	5.5
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@5.75	5.75	5.75	5.75
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@6	6	6	6
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@6.25	6.25	6.25	6.25
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@6.5	6.5	6.5	6.5
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@6.75	6.75	6.75	6.75
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@7	7	7	7
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@7.25	7.25	7.25	7.25
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@7.5	7.5	7.5	7.5
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@7.75	7.75	7.75	7.75
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@8	8	8	8
DataSchema	Risk	enum	underwriterRatioWithoutTariffication@8.25	8.25	8.25	8.25
