ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	Risks	ui-label	Risks	Risks	Риски	Risks
UiSchema	Risks	ui-label	riskShortDescription	riskShortDescription	Краткое наименование	riskShortDescription
UiSchema	Risks	ui-label	riskInsuredSum	riskInsuredSum	Страховая сумма	riskInsuredSum
UiSchema	Risks	ui-label	riskPremium	riskPremium	Премия по риску	riskPremium
UiSchema	Risks	ui-label	startDate	startDate	Дата начала	startDate
UiSchema	Risks	ui-label	endDate	endDate	Дата окончания	endDate
UiSchema	Risks	ui-label	riskFullDescription	riskFullDescription	Инфо	info
UiSchema	Risks	ui-label	total	total	ИТОГО	total
Rule	RisksValidateRisks	rule	validation@existsIncorrectPremium	validateRisks	E: Премия по рискам не должна быть меньше нуля	E: validation@existsIncorrectPremium
Rule	RisksValidateRisks	rule	validation@existsIncorrectInsuredSum	validateRisks	E: Страховая сумма по рискам не должна быть меньше нуля	E: validation@existsIncorrectInsuredSum
Rule	RisksValidateRisks	rule	validation@riskPremiumIsNotEqualToRiskPremiumSum	validateRisks	E: Сумма премии по рискам должна совпадать с размером взноса	E: validation@riskPremiumIsNotEqualToRiskPremiumSum
Rule	RisksValidateRisks	rule	validation@riskInsuredSumCACB	validateRisks	E: Превышен максимально допустимый размер страховой суммы	E: validation@riskInsuredSumCACB
UiSchema	Risks	ui-label	riskProgram	riskProgram	Программа	riskProgram
UiSchema	Risks	ui-label	riskPerson	riskPerson	Кто застрахован	riskPerson
Rule	RisksValidateRisks	rule	validation@riskInsuredSumCAPCLCHILDOASIH36404	validateRisks	E: Минимально допустимый размер страховой суммы по риску «Травма НС» 90 000.	E: validation@riskInsuredSumCAPCLCHILDOASIH36404
Rule	RisksValidateRisks	rule	validation@riskInsuredSumCAPCLRELOASDLP36404	validateRisks	E: Максимально допустимый размер страховой суммы по риску «Смерть ЛП» 3 000 000.	E: validation@riskInsuredSumCAPCLRELOASDLP36404
Rule	RisksValidateRisks	rule	validation@riskInsuredSumCAPCLRELOASDNS36404	validateRisks	E: Минимально допустимый размер страховой суммы по риску «Смерть НС» 90 000.	E: validation@riskInsuredSumCAPCLRELOASDNS36404
Rule	RisksValidateRisks	rule	validation@riskInsuredSumCAPCLRELOASDDTP36404	validateRisks	E: Минимально допустимый размер страховой суммы по риску «Смерть ДТП» 90 000.	E: validation@riskInsuredSumCAPCLRELOASDDTP36404
Rule	RisksValidateRisks	rule	validation@riskInsuredSumCAPCLRELOASDSS36404	validateRisks	E: Минимально допустимый размер страховой суммы по риску «ИЛП 1,2» 90 000.	E: validation@riskInsuredSumCAPCLRELOASDSS36404
Rule	RisksValidateRisks	rule	validation@riskInsuredSumCAPCLRELOASCD36404	validateRisks	E: Минимально допустимый размер страховой суммы по риску «Критические заболевания» 90 000.	E: validation@riskInsuredSumCAPCLRELOASCD36404
Rule	RisksValidateRisks	rule	validation@riskInsuredSumCAPCLRELOASHI36404	validateRisks	E: Минимально допустимый размер страховой суммы по риску «Тяжелая травма» 90 000.	E: validation@riskInsuredSumCAPCLRELOASHI36404
Rule	RisksValidateRisks	rule	validation@riskInsuredSumCAPCLRELOASIH36404	validateRisks	E: Минимально допустимый размер страховой суммы по риску «Травма НС» 90 000.	E: validation@riskInsuredSumCAPCLRELOASIH36404
UiSchema	Risks	ui-label	Restore risk conditions	Restore risk conditions	Вернуть первоначальные условия	Restore risk conditions
Rule	RisksValidateRisks	rule	validation@riskInsuredSumECATFPVTBDLPDPE36404	validateRisks	"E: Страховая сумма по риску ""Смерть ЛП ОтлВ"" не должна превышать 5 000 000."	E: validation@riskInsuredSumECATFPVTBDLPDPE36404
Rule	RisksValidateRisks	rule	validation@riskInsuredSumECATFPVTBD36404	validateRisks	"E: Страховая сумма по риску ""Инвалидность 1,2 ЛП ОУСВ"" не должна превышать 5 000 000."	E: validation@riskInsuredSumECATFPVTBD36404
Rule	RisksValidateRisks	rule	validation@riskInsuredSumECATFPVTBDA36404	validateRisks	"E: Страховая сумма по риску ""Инвалидность 1,2 ЛП ОУСВ"" не должна превышать 5 000 000."	E: validation@riskInsuredSumECATFPVTBDA36404
