ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DataSchema	RisksCorrection	field-title	manualCorrection	manualCorrection	manualCorrection	Использовать ручную корректировку
UiSchema	RisksCorrection	ui-label	RisksCorrection	RisksCorrection	RisksCorrection	Корректировка рисков
UiSchema	RisksCorrection	ui-label	manualCorrection	manualCorrection	manualCorrection	Использовать ручную корректировку
DataSchema	RisksCorrection	field-title	manualRiskDeletion	manualRiskDeletion	manualRiskDeletion	Ручное удаление рисков
UiSchema	RisksCorrection	ui-label	manualRiskDeletion	manualRiskDeletion	manualRiskDeletion	Ручное удаление рисков
DataSchema	RisksCorrection	field-title	replaceDisabilityAnyReason	replaceDisabilityAnyReason	replaceDisabilityAnyReason	Заменить ИЛП ОУСВ
UiSchema	RisksCorrection	ui-label	replaceDisabilityAnyReason	replaceDisabilityAnyReason	replaceDisabilityAnyReason	Заменить ИЛП ОУСВ
DataSchema	RisksCorrection	field-title	replaceDisabilityECOF	replaceDisabilityECOF	replaceDisabilityECOF	Заменить ИЛП ВВ
UiSchema	RisksCorrection	ui-label	replaceDisabilityECOF	replaceDisabilityECOF	replaceDisabilityECOF	Заменить ИЛП ВВ
DataSchema	RisksCorrection	field-title	correctionWithoutCalc	correctionWithoutCalc	correctionWithoutCalc	Ручная корректировка без перерасчета
UiSchema	RisksCorrection	ui-label	correctionWithoutCalc	correctionWithoutCalc	correctionWithoutCalc	Ручная корректировка без перерасчета
