ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	RisksPackages	ui-label	RisksPackages	RisksPackages	Дополнительные риски	RisksPackages
UiSchema	RisksPackages	ui-label	selectedPackages	selectedPackages	Выбранные риски	selectedPackages
Rule	RisksPackagesValidateRisksPackages	rule	validation@packageInsuredAge	validateRisksPackages	E: Риск ${entity.packageName} не подходит для застрахованного. Максимально допустимый возраст на дату оформления ${entity.insuredAgeOnIssueDateMax}, а возраст застрахованного ${entity.insredAgeOnIssueDate}.	E: validation@packageInsuredAge
Rule	RisksPackagesValidateRisksPackages	rule	validation@packageInsuredAgeEnd	validateRisksPackages	E: Риск ${entity.packageName} не подходит для застрахованного. Максимально допустимый возраст на дату окончания ${entity.insuredAgeOnEndDateMax}, а возраст застрахованного ${entity.insredAgeOnEndDate}.	E: validation@packageInsuredAgeEnd
Rule	RisksPackagesValidateRisksPackages	rule	validation@packageIsPolicyHolder	validateRisksPackages	E: Риск ${entity.packageName} можно подключить только при совпадении страхователя с застрахованным	E: validation@packageIsPolicyHolder
Rule	RisksPackagesValidateRisksPackages	rule	validation@packagePaymentFrequencyOneTime	validateRisksPackages	E: Риск ${entity.packageName} можно подключить только при рассроченной уплате взносов. Периодичность оплаты в текущем документе: ${entity.paymentFrequencyDescription}.	E: validation@packagePaymentFrequencyOneTime
Rule	RisksPackagesValidateRisksPackages	rule	validation@doubleCDCAPCLRELOAS	validateRisksPackages	E: Требуется выбрать только один из двух рисков Критические заболевания	E: validation@doubleCDCAPCLRELOAS
Rule	RisksPackagesValidateRisksPackages	rule	validation@packageInsuredAgePH	validateRisksPackages	E: Риск ${entity.packageName} не подходит для страхователя. Максимально допустимый возраст на дату оформления ${entity.phAgeOnIssueDateMax}, а возраст страхователя ${entity.phAgeOnIssueDate}.	E: validation@packageInsuredAgePH
Rule	RisksPackagesValidateRisksPackages	rule	validation@packageInsuredAgeEndPH	validateRisksPackages	E: Риск ${entity.packageName} не подходит для страхователя. Максимально допустимый возраст на дату окончания ${entity.phAgeOnEndDateMax}, а возраст страхователя ${entity.phAgeOnEndDate}.	E: validation@packageInsuredAgeEndPH
Rule	RisksPackagesValidateRisksPackages	rule	validation@packageCantBeTogether	validateRisksPackages	E: Риски КЗ лечение РФ и КЗ лечение весь мир не могут быть одновременно подключены	E: validation@packageCantBeTogether
