ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	UWTriggers	ui-label	UW Triggers	UW Triggers	Триггеры	UW Triggers
UiSchema	UWTriggers	ui-label	objectName	objectName	Наименование объекта	objectName
UiSchema	UWTriggers	ui-label	triggerName	triggerName	Наименование триггера	triggerName
UiSchema	UWTriggers	ui-label	confirmationDepartment	confirmationDepartment	Согласующее подразделение	confirmationDepartment
DataSchema	UWTriggers	field-title	objectName	objectName	Наименование объекта	objectName
DataSchema	UWTriggers	field-title	triggerName	triggerName	Наименование триггера	triggerName
DataSchema	UWTriggers	field-title	confirmationDepartment	confirmationDepartment	Согласующее подразделение	confirmationDepartment
DataSchema	UWTriggers	field-title	departaments	departaments	departaments	departaments
Rule	UWTriggersValidateUWTriggers	rule	validation@existsBlockTrigger	validateUWTriggers	N: Заявка не может быть согласована, см. причины на закладке СОГЛАСОВАНИЕ СК	N: validation@existsBlockTrigger
Rule	UWTriggersValidateUWTriggers	rule	validation@existsTrigger	validateUWTriggers	N: Необходимо отправить заявку на согласование СК, см. причины на закладке СОГЛАСОВАНИЕ СК	N: validation@existsTrigger
Rule	UWTriggersValidateUWTriggers	rule	validation@medo	validateUWTriggers	N: Для запрошенной страховой суммы Застрахованному потребуется пройти медицинское обследование. Необходимо заполнить все поля на вкладке «Участники», сформировать номер договора на вкладке «Условия страхования», оплатить первый взнос и приложить чек об оплате на вкладке «Вложения» с типом документа «Подтверждение оплаты» до отправки заявки в СК	N: validation@medo
Rule	UWTriggersValidateUWTriggers	rule	validation@finDocuments	validateUWTriggers	N: При запрошенной страховой сумме требуется предоставить финансовую анкету и подтверждение доходов от трудовой деятельности за последние 3 года (справки 2НДФЛ или налоговые декларации).	N: validation@finDocuments
Rule	UWTriggersValidateUWTriggers	rule	validation@medCheck	validateUWTriggers	N: Для запрошенной страховой суммы Застрахованному потребуется пройти медицинское обследование.	N: validation@medCheck
