ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	LifeInsuranceRequestDataSourceInputSchema	field-title	amount	amount	Страховой взнос	amount
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	requestId	requestId	Id заявки	requestId
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	requestState	requestState	Код статуса заявки	requestState
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	requestNumber	requestNumber	Номер заявки	requestNumber
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	requestConfName	requestConfName	Конфигурация заявки	requestConfName
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	requestStateDescription	requestStateDescription	Статус заявки	requestStateDescription
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	requestType	requestType	Код типа обращения	requestType
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	requestTypeDescription	requestTypeDescription	Тип обращения	requestTypeDescription
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	requestAmendmentReason	requestAmendmentReason	Код причины расторжения	requestAmendmentReason
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	requestAmendmentReasonDescription	requestAmendmentReasonDescription	Причина расторжения	requestAmendmentReasonDescription
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	requestApplicant	requestApplicant	Заявитель заявки	requestApplicant
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	requestIssueDate	requestIssueDate	Дата подписания заявления	requestIssueDate
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	requestBankName	requestBankName	Наименование банка	requestBankName
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	requestBankNumber	requestBankNumber	Банковские реквизиты	requestBankNumber
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	contractNumber	contractNumber	Номер договора	contractNumber
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	contractState	contractState	Код статуса договора	contractState
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	contractStateDescription	contractStateDescription	Статус договора	contractStateDescription
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	contractConfName	contractConfName	Конфигурация договора	contractConfName
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	contractHolderName	contractHolderName	Страхователь по договору	contractHolderName
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	contractProductCode	contractProductCode	Код продукта	contractProductCode
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	contractProductGroup	contractProductGroup	Код группы продукта	contractProductGroup
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	contractProductGroupDescription	contractProductGroupDescription	Группа продукта	contractProductGroupDescription
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	contractIssueDate	contractIssueDate	Дата заключения договора	contractIssueDate
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	contractStartDate	contractStartDate	Дата начала договора	contractStartDate
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	contractRiskPremium	contractRiskPremium	Страховой взнос	contractRiskPremium
DataSchema	LifeInsuranceRequestDataSourceResultSchema	field-title	contractPartnerName	contractPartnerName	Агент	contractPartnerName
