ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DataSchema	RelatedAccountingEntriesDataSourceResultSchema	field-title	pairNo	pairNo	Pair no	Номер
DataSchema	RelatedAccountingEntriesDataSourceResultSchema	field-title	sourceLineId	sourceLineId	Source line id	Код риска
DataSchema	RelatedAccountingEntriesDataSourceResultSchema	field-title	documentNo	documentNo	DocumentNo	Код риска
DataSchema	RelatedAccountingEntriesDataSourceResultSchema	field-title	entryDate	entryDate	Entry date	Дата проводки
DataSchema	RelatedAccountingEntriesDataSourceResultSchema	field-title	storno	storno	storno	Признак сторно
DataSchema	RelatedAccountingEntriesDataSourceResultSchema	field-title	debitCredit	debitCredit	Debit/Credit	Дебит/Кредит
DataSchema	RelatedAccountingEntriesDataSourceResultSchema	field-title	epsAccount	epsAccount	ESP account	Счёт ЕПС
DataSchema	RelatedAccountingEntriesDataSourceResultSchema	field-title	epsAccount20	epsAccount20	ESP account 20	Счёт ЕПС 20-изначный
DataSchema	RelatedAccountingEntriesDataSourceResultSchema	field-title	glAccount	glAccount	GL account	GL счёт
DataSchema	RelatedAccountingEntriesDataSourceResultSchema	field-title	postingAmount	postingAmount	Postingamount	Сумма проводки
DataSchema	RelatedAccountingEntriesDataSourceResultSchema	field-title	llob	llob	LLOB	ЛЛОБ
DataSchema	RelatedAccountingEntriesDataSourceResultSchema	field-title	ksp	ksp	KSP	КСП
