ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	ReportRequestDataSourceInputSchema	enum	requestState@Draft	Draft	Проект	Draft
DataSchema	ReportRequestDataSourceInputSchema	enum	requestState@OnReview	OnReview	На рассмотрении СК	OnReview
DataSchema	ReportRequestDataSourceInputSchema	enum	requestState@Issued	Issued	Согласовано	Issued
DataSchema	ReportRequestDataSourceInputSchema	enum	requestState@Correction	Correction	Требуется доработка	Correction
DataSchema	ReportRequestDataSourceInputSchema	enum	requestState@CancelWithoutPayment	CancelWithoutPayment	Расторжение без выплаты	CancelWithoutPayment
DataSchema	ReportRequestDataSourceInputSchema	enum	requestState@RefusalToTerminateByPolicyholder	RefusalToTerminateByPolicyholder	Отказ от расторжения по инициативе страхователя	RefusalToTerminateByPolicyholder
DataSchema	ReportRequestDataSourceInputSchema	enum	requestState@Cancelled	Cancelled	Отменено	Cancelled
DataSchema	ReportRequestDataSourceInputSchema	enum	typeOfRequest@Cancellation	Cancellation	Расторжение	Cancellation
DataSchema	ReportRequestDataSourceInputSchema	enum	typeOfRequest@Modification	Modification	Внесение изменений	Modification
DataSchema	ReportRequestDataSourceInputSchema	enum	amendmentReason@byClientCoolOff	byClientCoolOff	Период охлаждения	byClientCoolOff
DataSchema	ReportRequestDataSourceInputSchema	enum	amendmentReason@byClientNonCoolOff	byClientNonCoolOff	После периода охлаждения	byClientNonCoolOff
DataSchema	ReportRequestDataSourceInputSchema	enum	amendmentReason@creditRepayment	creditRepayment	Полное досрочное погашение кредита	creditRepayment
DataSchema	ReportRequestDataSourceResultSchema	field-title	requestNumber	requestNumber	Номер заявки	requestNumber
DataSchema	ReportRequestDataSourceResultSchema	field-title	requestState	requestState	Статус заявки	requestState
DataSchema	ReportRequestDataSourceResultSchema	field-title	requestIssueDate	requestIssueDate	Дата подписания заявления	requestIssueDate
DataSchema	ReportRequestDataSourceResultSchema	field-title	typeOfRequest	typeOfRequest	Тип обращения	typeOfRequest
DataSchema	ReportRequestDataSourceResultSchema	field-title	amendmentReason	amendmentReason	Причина расторжения	amendmentReason
DataSchema	ReportRequestDataSourceResultSchema	field-title	contractNumber	contractNumber	Номер договора	contractNumber
DataSchema	ReportRequestDataSourceResultSchema	field-title	productCode	productCode	Продукт	productCode
DataSchema	ReportRequestDataSourceResultSchema	field-title	productGroup	productGroup	Группа продуктов	productGroup
DataSchema	ReportRequestDataSourceResultSchema	field-title	contractIssueDate	contractIssueDate	Дата заключения договора	contractIssueDate
DataSchema	ReportRequestDataSourceResultSchema	field-title	policyHolderName	policyHolderName	Страхователь	policyHolderName
DataSchema	ReportRequestDataSourceResultSchema	field-title	applicantName	applicantName	Заявитель	applicantName
DataSchema	ReportRequestDataSourceInputSchema	field-title	partner	partner	Агент	partner
DataSchema	ReportRequestDataSourceInputSchema	field-title	amount	amount	Страховой взнос	amount
DataSchema	ReportRequestDataSourceResultSchema	field-title	partner	partner	Агент	partner
DataSchema	ReportRequestDataSourceResultSchema	field-title	amount	amount	Страховой взнос	amount
DataSchema	ReportRequestDataSourceResultSchema	field-title	bankName	bankName	Наименование Банка	bankName
DataSchema	ReportRequestDataSourceResultSchema	field-title	bankNumber	bankNumber	Банковские реквизиты	bankNumber
DataSchema	ReportRequestDataSourceInputSchema	enum	contractStateCode@Draft	Draft	Проект	Draft
DataSchema	ReportRequestDataSourceInputSchema	enum	contractStateCode@Active	Active	Подписан	Active
DataSchema	ReportRequestDataSourceInputSchema	enum	contractStateCode@Activated	Activated	Действует	Activated
DataSchema	ReportRequestDataSourceInputSchema	enum	contractStateCode@Cancelled	Cancelled	Отменен	Cancelled
DataSchema	ReportRequestDataSourceInputSchema	enum	contractStateCode@CancelledByAmendment	CancelledByAmendment	Расторгнут	CancelledByAmendment
DataSchema	ReportRequestDataSourceResultSchema	field-title	contractStateCode	contractStateCode	Статус договора	contractStateCode
