ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentFlowDefinition	AgentVerificationFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	AgentVerificationFlow	states	states@Draft	Draft	Draft	Черновик
DocumentConfiguration	AgentVerification	rootConfiguration	AgentVerification@Title	AgentVerification	AgentVerification	Создать проверку
DataSchema	AgentVerification	field-title	listDate	listDate	listDate	Дата перечня
DataSchema	AgentVerification	field-title	creationDate	creationDate	creationDate	Дата создания
DocumentFlowDefinition	AgentVerificationFlow	states	states@Executed	Executed	Executed	Выполнено
DocumentFlowDefinition	AgentVerificationFlow	states	states@Cancelled	Cancelled	Cancelled	Отменено
UiSchema	AgentVerificationMainContent	ui-label	listDate	listDate	listDate	Дата перечня
UiSchema	AgentVerificationMainContent	ui-label	creationDate	creationDate	creationDate	Дата создания
Rule	AgentVerificationRootLevelValidation	rule	validation@AllFieldsAreRequired	rootLevelValidation	validation@AllFieldsAreRequired	Необходимо заполнить все поля
DocumentFlowDefinition	AgentVerificationFlow	transitions	transitions@Draft_to_Executed@Title	Draft_to_Executed	Draft_to_Executed	Выполнить
DataSchema	AgentVerification	field-title	partyCodes	partyCodes	partyCodes	ID контрагентов
UiSchema	AgentVerificationMainContent	ui-label	partyCodes	partyCodes	partyCodes	ID контрагентов
Rule	AgentVerificationRootLevelValidation	rule	validation@NotFoundCodes	rootLevelValidation	E: validation@NotFoundCodes	E: Контрагенты '${agents}' не найдены
DocumentFlowDefinition	AgentVerificationFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	transitions@Draft_to_Cancelled@Title	Отменить
DataSchema	AgentVerification	field-title	ListName	ListName	ListName	Наименование перечня
UiSchema	AgentVerificationMainContent	ui-label	AgentVerification	AgentVerification	AgentVerification	Параметры проверки
DocumentConfiguration	AgentVerification	actors	AgentVerificationEditor	AgentVerificationEditor	AgentVerificationEditor	Редактирование документа Проверка
DocumentConfiguration	AgentVerification	actors	AgentVerificationViewer	AgentVerificationViewer	AgentVerificationViewer	Просмотр Проверок
DocumentFlowDefinition	AgentVerificationFlow	transitions	transitions@Executed_to_Cancelled@Title	Executed_to_Cancelled	Executed_to_Cancelled	Отменить
UiSchema	AgentVerificationMainContent	ui-label	listName	listName	listName	Наименование перечня
UiSchema	AgentVerificationMainContent	ui-label	listNumber	listNumber	listNumber	Номер перечня
DataSchema	AgentVerification	field-title	listNumber	listNumber	listNumber	Номер перечня
