ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	AmendmentInquiries	actors	InquiryManager	InquiryManager	Ответственный	InquiryManager
DataSchema	AmendmentInquiries	field-title	department	department	Подразделение	department
DataSchema	AmendmentInquiries	field-title	textOfInquiry	textOfInquiry	Текст запроса	textOfInquiry
DataSchema	AmendmentInquiries	field-title	textOfAnswer	textOfAnswer	Текст ответа	textOfAnswer
DataSchema	AmendmentInquiries	field-title	textOfComment	textOfComment	Текст комментария	textOfComment
DataSchema	AmendmentInquiries	field-title	cancellationNumber	cancellationNumber	Номер ДС	cancellationNumber
DataSchema	AmendmentInquiries	field-title	cancellationId	cancellationId	Идентификатор ДС	cancellationId
DataSchema	AmendmentInquiries	field-title	configurationCodeName	configurationCodeName	Группа продуктов	configurationCodeName
DataSchema	AmendmentInquiries	field-title	holder	holder	Страхователь	holder
DataSchema	AmendmentInquiries	field-title	contractNumber	contractNumber	Номер договора	contractNumber
DataSchema	AmendmentInquiries	field-title	contractConfigurationCodeName	contractConfigurationCodeName	Группа продуктов	contractConfigurationCodeName
DocumentFlowDefinition	AmendmentInquiriesFlow	transitions	transitions@DraftIssued@Title	DraftIssued	Согласовано	DraftIssued
DocumentFlowDefinition	AmendmentInquiriesFlow	transitions	transitions@DraftRejected@Title	DraftRejected	Не согласовано	DraftRejected
DocumentFlowDefinition	AmendmentInquiriesFlow	transitions	transitions@DraftCancelled@Title	DraftCancelled	Отменить	DraftCancelled
DocumentFlowDefinition	AmendmentInquiriesFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	AmendmentInquiriesFlow	states	states@Draft	Draft	Создан	Draft
DocumentFlowDefinition	AmendmentInquiriesFlow	states	states@Issued	Issued	Согласовано	Issued
DocumentFlowDefinition	AmendmentInquiriesFlow	states	states@Rejected	Rejected	Не согласовано	Rejected
DocumentFlowDefinition	AmendmentInquiriesFlow	states	states@Cancelled	Cancelled	Отменен	Cancelled
UiSchema	AmendmentInquiriesMainContent	ui-label	Basic Conditions	Basic Conditions	Основные параметры	Basic Conditions
UiSchema	AmendmentInquiriesMainContent	ui-label	department	department	Подразделение	department
UiSchema	AmendmentInquiriesMainContent	ui-label	cancellationNumber	cancellationNumber	Номер ДС	cancellationNumber
UiSchema	AmendmentInquiriesMainContent	ui-label	inquiryReasonDescription	inquiryReasonDescription	Причина запроса	inquiryReasonDescription
UiSchema	AmendmentInquiriesMainContent	ui-label	textOfInquiry	textOfInquiry	Текст запроса	textOfInquiry
UiSchema	AmendmentInquiriesMainContent	ui-label	textOfAnswer	textOfAnswer	Текст ответа	textOfAnswer
UiSchema	AmendmentInquiriesMainContent	ui-label	textOfComment	textOfComment	Комментарий	textOfComment
Rule	AmendmentInquiriesDraftCancelledTransitionRule	rule	validation@DraftCancelledOnlyCreator	DraftCancelled	E: Отмена доступна только создавшему запрос пользователю	E: validation@DraftCancelledOnlyCreator
Rule	AmendmentInquiriesDraftCancelledTransitionRule	rule	validation@DraftCancelledTextOfComment	DraftCancelled	E: Комментарий обязателен для заполнения	E: validation@DraftCancelledTextOfComment
Rule	AmendmentInquiriesDraftIssuedTransitionRule	rule	validation@DraftCancelledTextOfanswer	DraftIssued	E: Необходимо указать текст ответа	E: validation@DraftCancelledTextOfanswer
Rule	AmendmentInquiriesDraftRejectedTransitionRule	rule	validation@DraftCancelledTextOfanswer	DraftRejected	E: Необходимо указать текст ответа	E: validation@DraftCancelledTextOfanswer
DocumentConfiguration	AmendmentInquiries	rootConfiguration	AmendmentInquiries@Title	AmendmentInquiries	Запрос в Смежные Подразделения	AmendmentInquiries
