ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	ContractEntityAttributesImportDraft	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	ContractEntityAttributesImportDraft	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	ContractEntityAttributesImportImporting	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	ContractEntityAttributesImportImporting	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	ContractEntityAttributesImportImporting	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	ContractEntityAttributesImportImporting	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	ContractEntityAttributesImportLoading	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	ContractEntityAttributesImportLoading	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	ContractEntityAttributesImportLoading	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	ContractEntityAttributesImportLoading	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	ContractEntityAttributesImportReloading	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	ContractEntityAttributesImportReloading	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	ContractEntityAttributesImportReloading	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	ContractEntityAttributesImportReloading	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	ContractEntityAttributesImportLoading	ui-label	LoadData	LoadData	Load Data	Загруженная Информация
DocumentFlowDefinition	ContractEntityAttributesImportFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	ContractEntityAttributesImportFlow	transitions	transitions@StartLoading@Title	StartLoading	Start Loading	Начать Загрузку
DocumentFlowDefinition	ContractEntityAttributesImportFlow	transitions	transitions@FinishLoading@Title	FinishLoading	Finish Loading	Закончить Загрузку
DocumentFlowDefinition	ContractEntityAttributesImportFlow	transitions	transitions@StartReloading@Title	StartReloading	Start Reloading	Начать Перезапуск
DocumentFlowDefinition	ContractEntityAttributesImportFlow	transitions	transitions@StartImporting@Title	StartImporting	Start Importing	Начать Импорт
DocumentFlowDefinition	ContractEntityAttributesImportFlow	transitions	transitions@FinishImporting@Title	FinishImporting	Finish Importing	Закончить Импорт
DocumentFlowDefinition	ContractEntityAttributesImportFlow	states	states@Draft	Draft	Draft	Черновик
DocumentFlowDefinition	ContractEntityAttributesImportFlow	states	states@Loading	Loading	Loading	Загрузка
DocumentFlowDefinition	ContractEntityAttributesImportFlow	states	states@ReloadSetup	ReloadSetup	Reload Setup	Перезагрузить Установку
DocumentFlowDefinition	ContractEntityAttributesImportFlow	states	states@Loaded	Loaded	Loaded	Загружено
DocumentFlowDefinition	ContractEntityAttributesImportFlow	states	states@Importing	Importing	Importing	Импорт
DocumentFlowDefinition	ContractEntityAttributesImportFlow	states	states@Imported	Imported	Imported	Импортировано
DocumentConfiguration	ContractEntityAttributesImport	rootConfiguration	ContractEntityAttributesImport@Title	ContractEntityAttributesImport	OriginalReceiptDate Import	Импорт атрибутов
DocumentConfiguration	ContractEntityAttributesImport	actors	System	System	System	Система
UiSchema	ContractEntityAttributesImportDraft	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	ContractEntityAttributesImportImporting	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	ContractEntityAttributesImportLoading	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	ContractEntityAttributesImportReloading	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	ContractEntityAttributesImportDraft	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	ContractEntityAttributesImportImporting	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	ContractEntityAttributesImportLoading	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	ContractEntityAttributesImportReloading	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	ContractEntityAttributesImportImporting	ui-label	LoadData	LoadData	LoadData	Загруженная информация
DocumentConfiguration	ContractEntityAttributesImport	actors	Administrator	Administrator	Administrator	Администратор
UiSchema	ContractEntityAttributesImportImporting	ui-label	ImportedData	ImportedData	ImportedData	Импортированная Информация
UiSchema	ContractEntityAttributesImportImporting	ui-label	FailedImportedData	FailedImportedData	FailedImportedData	Неудачно Импортированная Информация
DocumentFlowDefinition	ContractEntityAttributesImportFlow	transitions	transitions@StartValidating@Title	StartValidating	StartValidating	Начать валидацию
DocumentFlowDefinition	ContractEntityAttributesImportFlow	transitions	transitions@FinishValidatingWithError@Title	FinishValidatingWithError	FinishValidatingWithError	Завершить валидацию с ошибками
DocumentFlowDefinition	ContractEntityAttributesImportFlow	states	states@Validating	Validating	Validating	Валидация
DocumentFlowDefinition	ContractEntityAttributesImportFlow	states	states@ValidationError	ValidationError	ValidationError	Ошибка валидации
