ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	DeduplicationDocument	actors	Administrator	Administrator	Администратор	Administrator
DocumentConfiguration	DeduplicationDocument	actors	GeneralBackOffice	GeneralBackOffice	БО	GeneralBackOffice
DocumentFlowDefinition	DeduplicationDocumentFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	DeduplicationDocumentFlow	states	states@Draft	Draft	Черновик	Draft
DocumentFlowDefinition	DeduplicationDocumentFlow	states	states@Issued	Issued	Дедуплицирован	Draft
DocumentFlowDefinition	DeduplicationDocumentFlow	transitions	transitions@Draft_to_Issued@Title	Draft_to_Issued	Дедуплицировать	Draft_to_Issued
UiSchema	DeduplicationDocumentMainContent	ui-label	tabDeduplicationConditions	tabDeduplicationConditions	Параметры	tabDeduplicationConditions
UiSchema	DeduplicationDocumentMainContent	ui-label	masterPartyFullName	masterPartyFullName	Мастер контрагент	masterPartyFullName
UiSchema	DeduplicationDocumentMainContent	ui-label	masterPartyPartyCode	masterPartyPartyCode	Мастер контрагент код	masterPartyPartyCode
UiSchema	DeduplicationDocumentMainContent	ui-label	duplicatePartyFullName	duplicatePartyFullName	Дубль контрагент	duplicatePartyFullName
UiSchema	DeduplicationDocumentMainContent	ui-label	duplicatePartyPartyCode	duplicatePartyPartyCode	Дубль контрагент код	duplicatePartyPartyCode
UiSchema	DeduplicationDocumentMainContent	ui-label	executeDeduplication	executeDeduplication	Запустить дедупликацию	executeDeduplication
UiSchema	DeduplicationDocumentMainContent	ui-label	DocumentNumber	DocumentNumber	Номер обновленного документа	DocumentNumber
UiSchema	DeduplicationDocumentMainContent	ui-label	DocumentConfigurationCodeName	DocumentConfigurationCodeName	Тип документа	DocumentConfigurationCodeName
DocumentConfiguration	DeduplicationDocument	rootConfiguration	DeduplicationDocument@Title	DeduplicationDocument	Дедупликация	DeduplicationDocument
