ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	FundAssetsImportDraft	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	FundAssetsImportDraft	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	FundAssetsImportDraft	ui-label	SourceFileFormat	SourceFileFormat	Source File Format	Формат Файла
UiSchema	FundAssetsImportImporting	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	FundAssetsImportImporting	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	FundAssetsImportImporting	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	FundAssetsImportImporting	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	FundAssetsImportImporting	ui-label	ImportedData	ImportedData	Imported Data	Импортированная Информация
UiSchema	FundAssetsImportImporting	ui-label	FailedImportedData	FailedImportedData	Failed Imported Data	Неудачно Импортированная Информация
UiSchema	FundAssetsImportLoading	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	FundAssetsImportLoading	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	FundAssetsImportLoading	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	FundAssetsImportLoading	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	FundAssetsImportReloading	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	FundAssetsImportReloading	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	FundAssetsImportReloading	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	FundAssetsImportReloading	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	FundAssetsImportLoading	ui-label	LoadData	LoadData	Load Data	Загруженная Информация
DocumentFlowDefinition	FundAssetsImportFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	FundAssetsImportFlow	transitions	transitions@StartLoading@Title	StartLoading	Start Loading	Начать Загрузку
DocumentFlowDefinition	FundAssetsImportFlow	transitions	transitions@FinishLoading@Title	FinishLoading	Finish Loading	Закончить Загрузку
DocumentFlowDefinition	FundAssetsImportFlow	transitions	transitions@StartReloading@Title	StartReloading	Start Reloading	Начать Перезапуск
DocumentFlowDefinition	FundAssetsImportFlow	transitions	transitions@StartImporting@Title	StartImporting	Start Importing	Начать Импорт
DocumentFlowDefinition	FundAssetsImportFlow	transitions	transitions@FinishImporting@Title	FinishImporting	Finish Importing	Закончить Импорт
DocumentFlowDefinition	FundAssetsImportFlow	states	states@Draft	Draft	Draft	Черновик
DocumentFlowDefinition	FundAssetsImportFlow	states	states@Loading	Loading	Loading	Загрузка
DocumentFlowDefinition	FundAssetsImportFlow	states	states@ReloadSetup	ReloadSetup	Reload Setup	Перезагрузить Установку
DocumentFlowDefinition	FundAssetsImportFlow	states	states@Loaded	Loaded	Loaded	Загружено
DocumentFlowDefinition	FundAssetsImportFlow	states	states@Importing	Importing	Importing	Импорт
DocumentFlowDefinition	FundAssetsImportFlow	states	states@Imported	Imported	Imported	Импортировано
DocumentConfiguration	FundAssetsImport	rootConfiguration	FundAssetsImport@Title	FundAssetsImport	FundAssets Import	Импорт данных об активах в фондах
DocumentConfiguration	FundAssetsImport	actors	System	System	System	Система
UiSchema	FundAssetsImportDraft	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	FundAssetsImportDraft	ui-label	Date	Date	Date	Дата
UiSchema	FundAssetsImportImporting	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	FundAssetsImportImporting	ui-label	Date	Date	Date	Дата
UiSchema	FundAssetsImportLoading	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	FundAssetsImportLoading	ui-label	Date	Date	Date	Дата
UiSchema	FundAssetsImportReloading	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	FundAssetsImportReloading	ui-label	Date	Date	Date	Дата
UiSchema	FundAssetsImportDraft	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
