ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	FundImportDraft	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	FundImportDraft	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	FundImportDraft	ui-label	SourceFileFormat	SourceFileFormat	Source File Format	Формат Файла
UiSchema	FundImportImporting	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	FundImportImporting	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	FundImportImporting	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	FundImportImporting	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	FundImportImporting	ui-label	ImportedData	ImportedData	Imported Data	Импортированная Информация
UiSchema	FundImportImporting	ui-label	FailedImportedData	FailedImportedData	Failed Imported Data	Неудачно Импортированная Информация
UiSchema	FundImportLoading	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	FundImportLoading	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	FundImportLoading	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	FundImportLoading	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	FundImportReloading	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	FundImportReloading	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	FundImportReloading	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	FundImportReloading	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	FundImportLoading	ui-label	LoadData	LoadData	Load Data	Загруженная Информация
DocumentFlowDefinition	FundImportFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	FundImportFlow	transitions	transitions@StartLoading@Title	StartLoading	Start Loading	Начать Загрузку
DocumentFlowDefinition	FundImportFlow	transitions	transitions@FinishLoading@Title	FinishLoading	Finish Loading	Закончить Загрузку
DocumentFlowDefinition	FundImportFlow	transitions	transitions@StartReloading@Title	StartReloading	Start Reloading	Начать Перезапуск
DocumentFlowDefinition	FundImportFlow	transitions	transitions@StartImporting@Title	StartImporting	Start Importing	Начать Импорт
DocumentFlowDefinition	FundImportFlow	transitions	transitions@FinishImporting@Title	FinishImporting	Finish Importing	Закончить Импорт
DocumentFlowDefinition	FundImportFlow	states	states@Draft	Draft	Draft	Черновик
DocumentFlowDefinition	FundImportFlow	states	states@Loading	Loading	Loading	Загрузка
DocumentFlowDefinition	FundImportFlow	states	states@ReloadSetup	ReloadSetup	Reload Setup	Перезагрузить Установку
DocumentFlowDefinition	FundImportFlow	states	states@Loaded	Loaded	Loaded	Загружено
DocumentFlowDefinition	FundImportFlow	states	states@Importing	Importing	Importing	Импорт
DocumentFlowDefinition	FundImportFlow	states	states@Imported	Imported	Imported	Импортировано
DocumentConfiguration	FundImport	rootConfiguration	FundImport@Title	FundImport	Fund Import	Импорт данных о фондах
DocumentConfiguration	FundImport	actors	System	System	System	Система
UiSchema	FundImportDraft	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	FundImportDraft	ui-label	Date	Date	Date	Дата
UiSchema	FundImportImporting	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	FundImportImporting	ui-label	Date	Date	Date	Дата
UiSchema	FundImportLoading	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	FundImportLoading	ui-label	Date	Date	Date	Дата
UiSchema	FundImportReloading	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	FundImportReloading	ui-label	Date	Date	Date	Дата
UiSchema	FundImportDraft	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	FundImportImporting	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	FundImportLoading	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	FundImportReloading	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	FundImportImporting	ui-label	Fund document number	Fund document number	Fund document number	Номер документа загрузки
UiSchema	FundImportDraft	ui-label	Fund document number	Fund document number	Fund document number	Номер документа загрузки
UiSchema	FundImportLoading	ui-label	Fund document number	Fund document number	Fund document number	Номер документа загрузки
UiSchema	FundImportImporting	ui-label	LoadData	LoadData	LoadData	Загруженная информация
UiSchema	FundImportReloading	ui-label	Fund document number	Fund document number	Fund document number	Номер документа данных о фондах
DocumentConfiguration	FundImport	actors	FundImportSpecialist	FundImportSpecialist	FundImportSpecialist	Импорт данных о фондах
DocumentConfiguration	FundImport	actors	Administrator	Administrator	Administrator	Администратор
UiSchema	FundImportDraft	ui-label	ReportDate	ReportDate	Report date	Дата отчета
UiSchema	FundImportDraft	ui-label	ReportDateDescription	ReportDateDescription	Report date description	Описание даты отчета
DataSchema	FundImport	field-title	reportDate	reportDate	Report date	Дата отчета
UiSchema	FundImportImporting	ui-label	ReportDate	ReportDate	Report date	Дата отчета
UiSchema	FundImportImporting	ui-label	ReportDateDescription	ReportDateDescription	Report date description	Описание даты отчета
UiSchema	FundImportImporting	ui-label	SourceFileFormat	SourceFileFormat	Source File Format	Формат Файла
UiSchema	FundImportLoading	ui-label	ReportDate	ReportDate	Report date	Дата отчета
