ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentConfiguration	InsuranceRulesImport	actors	General	General	General	Общий
DocumentConfiguration	InsuranceRulesImport	actors	Administrator	Administrator	Administrator	Администратор
DocumentConfiguration	InsuranceRulesImport	actors	System	System	System	Система
DocumentFlowDefinition	InsuranceRulesImportFlow	transitions	transitions@StartLoading@Title	StartLoading	StartLoading	Начать загрузку
DocumentFlowDefinition	InsuranceRulesImportFlow	transitions	transitions@FinishLoading@Title	FinishLoading	FinishLoading	Закончить загрузку
DocumentFlowDefinition	InsuranceRulesImportFlow	transitions	transitions@StartReloading@Title	StartReloading	StartReloading	Перезагрузить
DocumentFlowDefinition	InsuranceRulesImportFlow	transitions	transitions@StartImporting@Title	StartImporting	StartImporting	Начать импорт
DocumentFlowDefinition	InsuranceRulesImportFlow	transitions	transitions@FinishImporting@Title	FinishImporting	FinishImporting	Закончить импорт
DocumentFlowDefinition	InsuranceRulesImportFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	InsuranceRulesImportFlow	states	states@Draft	Draft	Draft	Черновик
DocumentFlowDefinition	InsuranceRulesImportFlow	states	states@Loading	Loading	Loading	Загрузка
DocumentFlowDefinition	InsuranceRulesImportFlow	states	states@ReloadSetup	ReloadSetup	ReloadSetup	Подготовка к загрузке
DocumentFlowDefinition	InsuranceRulesImportFlow	states	states@Loaded	Loaded	Loaded	Загружено
DocumentFlowDefinition	InsuranceRulesImportFlow	states	states@Importing	Importing	Importing	Импорт
DocumentFlowDefinition	InsuranceRulesImportFlow	states	states@Imported	Imported	Imported	Импортировано
UiSchema	InsuranceRulesImportDraft	ui-label	Upload data	Upload data	Upload data	Загрузить данные
UiSchema	InsuranceRulesImportDraft	ui-label	ImportInfo	ImportInfo	ImportInfo	Файл
UiSchema	InsuranceRulesImportDraft	ui-label	FileSelection	FileSelection	FileSelection	Выбор файла
UiSchema	InsuranceRulesImportDraft	ui-label	FileSelectionDescription	FileSelectionDescription	FileSelectionDescription	Описание выбора файла
UiSchema	InsuranceRulesImportDraft	ui-label	SourceFileFormat	SourceFileFormat	SourceFileFormat	Расширение файла-источника
UiSchema	InsuranceRulesImportDraft	ui-label	InsuranceRules document number	InsuranceRules document number	InsuranceRules document number	Номер документа
UiSchema	InsuranceRulesImportDraft	ui-label	Date	Date	Date	Дата
UiSchema	InsuranceRulesImportImporting	ui-label	Upload data	Upload data	Upload data	Загруженные данные
UiSchema	InsuranceRulesImportImporting	ui-label	ImportInfo	ImportInfo	ImportInfo	Информация об импорте
UiSchema	InsuranceRulesImportImporting	ui-label	FileSelection	FileSelection	FileSelection	Выбор файла
UiSchema	InsuranceRulesImportImporting	ui-label	FileSelectionDescription	FileSelectionDescription	FileSelectionDescription	Описание выбора файла
UiSchema	InsuranceRulesImportImporting	ui-label	LoadedData	LoadedData	LoadedData	Загруженныые данные
UiSchema	InsuranceRulesImportImporting	ui-label	LoadData	LoadData	LoadData	Загрузить данные
UiSchema	InsuranceRulesImportImporting	ui-label	LoadDataErrors	LoadDataErrors	LoadDataErrors	Ошибки
UiSchema	InsuranceRulesImportImporting	ui-label	ImportedData	ImportedData	ImportedData	Импортированные данные
UiSchema	InsuranceRulesImportImporting	ui-label	FailedImportedData	FailedImportedData	FailedImportedData	Ошибки импорта
UiSchema	InsuranceRulesImportImporting	ui-label	InsuranceRules document number	InsuranceRules document number	InsuranceRules document number	Номер документа
UiSchema	InsuranceRulesImportImporting	ui-label	Date	Date	Date	Дата
UiSchema	InsuranceRulesImportLoading	ui-label	Upload data	Upload data	Upload data	Загруженные данные
UiSchema	InsuranceRulesImportLoading	ui-label	ImportInfo	ImportInfo	ImportInfo	Информация об импорте
UiSchema	InsuranceRulesImportLoading	ui-label	FileSelection	FileSelection	FileSelection	Выбор файла
UiSchema	InsuranceRulesImportLoading	ui-label	FileSelectionDescription	FileSelectionDescription	FileSelectionDescription	Описание выбора файла
