ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	InvestmentProfitImportDraft	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	InvestmentProfitImportDraft	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	InvestmentProfitImportDraft	ui-label	SourceFileFormat	SourceFileFormat	Source File Format	Формат Файла
UiSchema	InvestmentProfitImportImporting	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	InvestmentProfitImportImporting	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	InvestmentProfitImportImporting	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	InvestmentProfitImportImporting	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	InvestmentProfitImportImporting	ui-label	ImportedData	ImportedData	Imported Data	Импортированная Информация
UiSchema	InvestmentProfitImportImporting	ui-label	FailedImportedData	FailedImportedData	Failed Imported Data	Неудачно Импортированная Информация
UiSchema	InvestmentProfitImportLoading	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	InvestmentProfitImportLoading	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	InvestmentProfitImportLoading	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	InvestmentProfitImportLoading	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	InvestmentProfitImportReloading	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	InvestmentProfitImportReloading	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	InvestmentProfitImportReloading	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	InvestmentProfitImportReloading	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	InvestmentProfitImportLoading	ui-label	LoadData	LoadData	Load Data	Загруженная Информация
DocumentFlowDefinition	InvestmentProfitImportFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	InvestmentProfitImportFlow	transitions	transitions@StartLoading@Title	StartLoading	Start Loading	Начать Загрузку
DocumentFlowDefinition	InvestmentProfitImportFlow	transitions	transitions@FinishLoading@Title	FinishLoading	Finish Loading	Закончить Загрузку
DocumentFlowDefinition	InvestmentProfitImportFlow	transitions	transitions@StartReloading@Title	StartReloading	Start Reloading	Начать Перезапуск
DocumentFlowDefinition	InvestmentProfitImportFlow	transitions	transitions@StartImporting@Title	StartImporting	Start Importing	Начать Импорт
DocumentFlowDefinition	InvestmentProfitImportFlow	transitions	transitions@FinishImporting@Title	FinishImporting	Finish Importing	Закончить Импорт
DocumentFlowDefinition	InvestmentProfitImportFlow	states	states@Draft	Draft	Draft	Черновик
DocumentFlowDefinition	InvestmentProfitImportFlow	states	states@Loading	Loading	Loading	Загрузка
DocumentFlowDefinition	InvestmentProfitImportFlow	states	states@ReloadSetup	ReloadSetup	Reload Setup	Перезагрузить Установку
DocumentFlowDefinition	InvestmentProfitImportFlow	states	states@Loaded	Loaded	Loaded	Загружено
DocumentFlowDefinition	InvestmentProfitImportFlow	states	states@Importing	Importing	Importing	Импорт
DocumentFlowDefinition	InvestmentProfitImportFlow	states	states@Imported	Imported	Imported	Импортировано
DocumentConfiguration	InvestmentProfitImport	rootConfiguration	InvestmentProfitImport@Title	InvestmentProfitImport	InvestmentProfit Import	Импорт атрибутов ДИД
DocumentConfiguration	InvestmentProfitImport	actors	System	System	System	Система
UiSchema	InvestmentProfitImportDraft	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	InvestmentProfitImportDraft	ui-label	Date	Date	Date	Дата
UiSchema	InvestmentProfitImportImporting	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	InvestmentProfitImportImporting	ui-label	Date	Date	Date	Дата
UiSchema	InvestmentProfitImportLoading	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	InvestmentProfitImportLoading	ui-label	Date	Date	Date	Дата
UiSchema	InvestmentProfitImportReloading	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	InvestmentProfitImportReloading	ui-label	Date	Date	Date	Дата
UiSchema	InvestmentProfitImportDraft	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	InvestmentProfitImportImporting	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	InvestmentProfitImportLoading	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	InvestmentProfitImportReloading	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	InvestmentProfitImportImporting	ui-label	InvestmentProfit document number	InvestmentProfit document number	InvestmentProfit document number	Номер документа загрузки
UiSchema	InvestmentProfitImportDraft	ui-label	InvestmentProfit document number	InvestmentProfit document number	InvestmentProfit document number	Номер документа загрузки
UiSchema	InvestmentProfitImportLoading	ui-label	InvestmentProfit document number	InvestmentProfit document number	InvestmentProfit document number	Номер документа загрузки
UiSchema	InvestmentProfitImportImporting	ui-label	LoadData	LoadData	LoadData	Загруженная информация
UiSchema	InvestmentProfitImportReloading	ui-label	InvestmentProfit document number	InvestmentProfit document number	InvestmentProfit document number	Номер документа перестрахования
DocumentConfiguration	InvestmentProfitImport	actors	Administrator	Administrator	Administrator	Администратор
DocumentConfiguration	InvestmentProfitImport	actors	InvestmentProfitSpecialist	InvestmentProfitSpecialist	InvestmentProfitSpecialist	Специалист ДИД
Rule	InvestmentProfitImportStartImportingTransitionRule	rule	validation@excelLoadErrors	StartImporting	E: Fix errors in excel file	E: Импорт документа заблокирован, исправьте ошибки и перезагрузите файл импорта
