ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentFlowDefinition	LifeInsuranceInquiryFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	LifeInsuranceInquiryFlow	states	states@Draft	Draft	Создан	Draft
DocumentFlowDefinition	LifeInsuranceInquiryFlow	states	states@Issued	Issued	Закрыт	Issued
DocumentFlowDefinition	LifeInsuranceInquiryFlow	states	states@Cancelled	Cancelled	Отменен	Cancelled
DocumentConfiguration	LifeInsuranceInquiry	rootConfiguration	LifeInsuranceInquiry@Title	LifeInsuranceInquiry	Запрос в Смежные Подразделения	LifeInsuranceInquiry
DocumentFlowDefinition	LifeInsuranceInquiryFlow	transitions	transitions@DraftIssued@Title	DraftIssued	Закрыт	DraftIssued
DocumentFlowDefinition	LifeInsuranceInquiryFlow	transitions	transitions@DraftCancelled@Title	DraftCancelled	Отменен	DraftCancelled
DocumentConfiguration	LifeInsuranceInquiry	actors	GeneralBackOffice	GeneralBackOffice	БО	GeneralBackOffice
Rule	LifeInsuranceInquiryDraftCancelledTransitionRule	rule	validation@DraftCancelledOnlyCreator	DraftCancelled	E: Отмена доступна только создавшему запрос пользователю	E: validation@DraftCancelledOnlyCreator
Rule	LifeInsuranceInquiryDraftIssuedTransitionRule	rule	validation@DraftCancelledTextOfanswer	DraftIssued	E: Необходимо указать текст ответа	E: validation@DraftCancelledTextOfanswer
Rule	LifeInsuranceInquiryDraftCancelledTransitionRule	rule	validation@DraftCancelledTextOfCommentIsRequired	DraftCancelled	E: Комментарий обязателен для заполнения	E: validation@DraftCancelledTextOfCommentIsRequired
