ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentFlowDefinition	LifeInsurancePolicyInquiryFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	LifeInsurancePolicyInquiryFlow	states	states@Draft	Draft	Создан	Draft
DocumentFlowDefinition	LifeInsurancePolicyInquiryFlow	states	states@Issued	Issued	Закрыт	Issued
DocumentFlowDefinition	LifeInsurancePolicyInquiryFlow	states	states@Cancelled	Cancelled	Отменен	Cancelled
DocumentConfiguration	LifeInsurancePolicyInquiry	rootConfiguration	LifeInsurancePolicyInquiry@Title	LifeInsurancePolicyInquiry	Запрос в Смежные Подразделения	LifeInsurancePolicyInquiry
DocumentFlowDefinition	LifeInsurancePolicyInquiryFlow	transitions	transitions@DraftIssued@Title	DraftIssued	Согласован	DraftIssued
DocumentFlowDefinition	LifeInsurancePolicyInquiryFlow	transitions	transitions@DraftCancelled@Title	DraftCancelled	Отменен	DraftCancelled
DocumentConfiguration	LifeInsurancePolicyInquiry	actors	GeneralBackOffice	GeneralBackOffice	БО	GeneralBackOffice
Rule	LifeInsurancePolicyInquiryDraftCancelledTransitionRule	rule	validation@DraftCancelledOnlyCreator	DraftCancelled	E: Отмена доступна только создавшему запрос пользователю	E: validation@DraftCancelledOnlyCreator
Rule	LifeInsurancePolicyInquiryDraftIssuedTransitionRule	rule	validation@DraftCancelledTextOfanswer	DraftIssued	E: Необходимо указать текст ответа	E: validation@DraftCancelledTextOfanswer
DocumentFlowDefinition	LifeInsurancePolicyInquiryFlow	transitions	transitions@DraftNotIssued@Title	DraftNotIssued	Не согласован	DraftNotIssued
DocumentFlowDefinition	LifeInsurancePolicyInquiryFlow	states	states@NotIssued	NotIssued	Не согласован	NotIssued
Rule	LifeInsurancePolicyInquiryDraftNotIssuedTransitionRule	rule	validation@DraftCancelledTextOfanswer	DraftNotIssued	E: Необходимо указать текст ответа	E: validation@DraftCancelledTextOfanswer
Rule	LifeInsurancePolicyInquiryDraftCancelledTransitionRule	rule	validation@DraftCancelledTextOfCommentIsRequired	DraftCancelled	E: Комментарий обязателен для заполнения	E: validation@DraftCancelledTextOfCommentIsRequired
