ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentFlowDefinition	ProductConfigurationFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	ProductConfigurationFlow	states	states@Draft	Draft	Draft	Черновик
UiSchema	ProductConfigurationMainContent	ui-label	Economic parameters	Economic parameters	Economic parameters	Параметры экономики НСЖ, ИСЖ
DocumentConfiguration	ProductConfiguration	rootConfiguration	ProductConfiguration@Title	ProductConfiguration	ProductConfiguration	Конфигурация продукта
DataSchema	ProductConfiguration	field-title	commentIsRequired	commentIsRequired	commentIsRequired	commentIsRequired
DataSchema	ProductConfiguration	field-title	commentAuthorIsRequired	commentAuthorIsRequired	commentAuthorIsRequired	commentAuthorIsRequired
UiSchema	ProductConfigurationMainContent	ui-label	Product configuration main conditions	Product configuration main conditions	Product configuration main conditions	Основные условия
DocumentFlowDefinition	ProductConfigurationFlow	transitions	transitions@Draft_to_Activated@Title	Draft_to_Activated	Draft_to_Activated	Проект -> Действует
DocumentFlowDefinition	ProductConfigurationFlow	states	states@Activated	Activated	Activated	Действует
DocumentFlowDefinition	ProductConfigurationFlow	transitions	transitions@Draft_to_Cancelled@Title	Draft_to_Cancelled	Draft_to_Cancelled	Проект -> Отменен
DocumentFlowDefinition	ProductConfigurationFlow	states	states@Cancelled	Cancelled	Cancelled	Отменен
DocumentConfiguration	ProductConfiguration	actors	System	System	System	Система
DocumentConfiguration	ProductConfiguration	actors	ProductConfigurationEditor	ProductConfigurationEditor	ProductConfigurationEditor	Конфигурация продукта (редактирование)
DocumentConfiguration	ProductConfiguration	actors	ProductConfigurationViewer	ProductConfigurationViewer	ProductConfigurationViewer	Конфигурация продукта (просмотр)
DocumentConfiguration	ProductConfiguration	actors	EconomicParametersEditor	EconomicParametersEditor	EconomicParametersEditor	Параметры экономики НСЖ, ИСЖ (редактирование)
DocumentConfiguration	ProductConfiguration	actors	EconomicParametersViewer	EconomicParametersViewer	EconomicParametersViewer	Параметры экономики НСЖ, ИСЖ (просмотр)
DocumentFlowDefinition	ProductConfigurationFlow	transitions	transitions@Activated_to_Updating@Title	Activated_to_Updating	Activated_to_Updating	Обновить параметры экономики
DocumentFlowDefinition	ProductConfigurationFlow	transitions	transitions@Updating_to_Activated@Title	Updating_to_Activated	Updating_to_Activated	Действует
DocumentFlowDefinition	ProductConfigurationFlow	states	states@Updating	Updating	Updating	Обновление параметров экономики
