ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	ProductConfigurationImportDraft	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	ProductConfigurationImportDraft	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	ProductConfigurationImportDraft	ui-label	SourceFileFormat	SourceFileFormat	Source File Format	Формат Файла
UiSchema	ProductConfigurationImportImporting	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	ProductConfigurationImportImporting	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	ProductConfigurationImportImporting	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	ProductConfigurationImportImporting	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	ProductConfigurationImportImporting	ui-label	ImportedData	ImportedData	Imported Data	Импортированная Информация
UiSchema	ProductConfigurationImportImporting	ui-label	FailedImportedData	FailedImportedData	Failed Imported Data	Неудачно Импортированная Информация
UiSchema	ProductConfigurationImportLoading	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	ProductConfigurationImportLoading	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	ProductConfigurationImportLoading	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	ProductConfigurationImportLoading	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	ProductConfigurationImportReloading	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	ProductConfigurationImportReloading	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	ProductConfigurationImportReloading	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	ProductConfigurationImportReloading	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	ProductConfigurationImportLoading	ui-label	LoadData	LoadData	Load Data	Загруженная Информация
DocumentFlowDefinition	ProductConfigurationImportFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	ProductConfigurationImportFlow	transitions	transitions@StartLoading@Title	StartLoading	Start Loading	Начать Загрузку
DocumentFlowDefinition	ProductConfigurationImportFlow	transitions	transitions@FinishLoading@Title	FinishLoading	Finish Loading	Закончить Загрузку
DocumentFlowDefinition	ProductConfigurationImportFlow	transitions	transitions@StartReloading@Title	StartReloading	Start Reloading	Начать Перезапуск
DocumentFlowDefinition	ProductConfigurationImportFlow	transitions	transitions@StartImporting@Title	StartImporting	Start Importing	Начать Импорт
DocumentFlowDefinition	ProductConfigurationImportFlow	transitions	transitions@FinishImporting@Title	FinishImporting	Finish Importing	Закончить Импорт
DocumentFlowDefinition	ProductConfigurationImportFlow	states	states@Draft	Draft	Draft	Черновик
DocumentFlowDefinition	ProductConfigurationImportFlow	states	states@Loading	Loading	Loading	Загрузка
DocumentFlowDefinition	ProductConfigurationImportFlow	states	states@ReloadSetup	ReloadSetup	Reload Setup	Перезагрузить Установку
DocumentFlowDefinition	ProductConfigurationImportFlow	states	states@Loaded	Loaded	Loaded	Загружено
DocumentFlowDefinition	ProductConfigurationImportFlow	states	states@Importing	Importing	Importing	Импорт
DocumentFlowDefinition	ProductConfigurationImportFlow	states	states@Imported	Imported	Imported	Импортировано
DocumentConfiguration	ProductConfigurationImport	rootConfiguration	ProductConfigurationImport@Title	ProductConfigurationImport	ProductConfiguration Import	Импорт атрибутов конфигурации продуктов
DocumentConfiguration	ProductConfigurationImport	actors	System	System	System	Система
UiSchema	ProductConfigurationImportDraft	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	ProductConfigurationImportDraft	ui-label	Date	Date	Date	Дата
UiSchema	ProductConfigurationImportImporting	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	ProductConfigurationImportImporting	ui-label	Date	Date	Date	Дата
UiSchema	ProductConfigurationImportLoading	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	ProductConfigurationImportLoading	ui-label	Date	Date	Date	Дата
UiSchema	ProductConfigurationImportReloading	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	ProductConfigurationImportReloading	ui-label	Date	Date	Date	Дата
UiSchema	ProductConfigurationImportDraft	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	ProductConfigurationImportImporting	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	ProductConfigurationImportLoading	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	ProductConfigurationImportReloading	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	ProductConfigurationImportImporting	ui-label	ProductConfiguration document number	ProductConfiguration document number	ProductConfiguration document number	Номер документа загрузки
UiSchema	ProductConfigurationImportDraft	ui-label	ProductConfiguration document number	ProductConfiguration document number	ProductConfiguration document number	Номер документа загрузки
UiSchema	ProductConfigurationImportLoading	ui-label	ProductConfiguration document number	ProductConfiguration document number	ProductConfiguration document number	Номер документа загрузки
UiSchema	ProductConfigurationImportImporting	ui-label	LoadData	LoadData	LoadData	Загруженная информация
UiSchema	ProductConfigurationImportReloading	ui-label	ProductConfiguration document number	ProductConfiguration document number	ProductConfiguration document number	Номер документа конфигурации продуктов
DocumentConfiguration	ProductConfigurationImport	actors	General	General	General	Импорт атрибутов конфигурации продуктов
DocumentConfiguration	ProductConfigurationImport	actors	Administrator	Administrator	Administrator	Администратор
Rule	ProductConfigurationImportStartImportingTransitionRule	rule	validation@excelLoadErrors	StartImporting	E: Fix errors in excel file	E: Импорт документа заблокирован, исправьте ошибки и перезагрузите файл импорта
