ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	RateOfReturnRulesEquityActivesImportDraft	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	RateOfReturnRulesEquityActivesImportDraft	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	RateOfReturnRulesEquityActivesImportDraft	ui-label	SourceFileFormat	SourceFileFormat	Source File Format	Формат Файла
UiSchema	RateOfReturnRulesEquityActivesImportImporting	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	RateOfReturnRulesEquityActivesImportImporting	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	RateOfReturnRulesEquityActivesImportImporting	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	RateOfReturnRulesEquityActivesImportImporting	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	RateOfReturnRulesEquityActivesImportImporting	ui-label	ImportedData	ImportedData	Imported Data	Импортированная Информация
UiSchema	RateOfReturnRulesEquityActivesImportImporting	ui-label	FailedImportedData	FailedImportedData	Failed Imported Data	Неудачно Импортированная Информация
UiSchema	RateOfReturnRulesEquityActivesImportLoading	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	RateOfReturnRulesEquityActivesImportLoading	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	RateOfReturnRulesEquityActivesImportLoading	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	RateOfReturnRulesEquityActivesImportLoading	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	RateOfReturnRulesEquityActivesImportReloading	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	RateOfReturnRulesEquityActivesImportReloading	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	RateOfReturnRulesEquityActivesImportReloading	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	RateOfReturnRulesEquityActivesImportReloading	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	RateOfReturnRulesEquityActivesImportLoading	ui-label	LoadData	LoadData	Load Data	Загруженная Информация
DocumentFlowDefinition	RateOfReturnRulesEquityActivesImportFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	RateOfReturnRulesEquityActivesImportFlow	transitions	transitions@StartLoading@Title	StartLoading	Start Loading	Начать Загрузку
DocumentFlowDefinition	RateOfReturnRulesEquityActivesImportFlow	transitions	transitions@FinishLoading@Title	FinishLoading	Finish Loading	Закончить Загрузку
DocumentFlowDefinition	RateOfReturnRulesEquityActivesImportFlow	transitions	transitions@StartReloading@Title	StartReloading	Start Reloading	Начать Перезапуск
DocumentFlowDefinition	RateOfReturnRulesEquityActivesImportFlow	transitions	transitions@StartImporting@Title	StartImporting	Start Importing	Начать Импорт
DocumentFlowDefinition	RateOfReturnRulesEquityActivesImportFlow	transitions	transitions@FinishImporting@Title	FinishImporting	Finish Importing	Закончить Импорт
DocumentFlowDefinition	RateOfReturnRulesEquityActivesImportFlow	states	states@Draft	Draft	Draft	Черновик
DocumentFlowDefinition	RateOfReturnRulesEquityActivesImportFlow	states	states@Loading	Loading	Loading	Загрузка
DocumentFlowDefinition	RateOfReturnRulesEquityActivesImportFlow	states	states@ReloadSetup	ReloadSetup	Reload Setup	Перезагрузить Установку
DocumentFlowDefinition	RateOfReturnRulesEquityActivesImportFlow	states	states@Loaded	Loaded	Loaded	Загружено
DocumentFlowDefinition	RateOfReturnRulesEquityActivesImportFlow	states	states@Importing	Importing	Importing	Импорт
DocumentFlowDefinition	RateOfReturnRulesEquityActivesImportFlow	states	states@Imported	Imported	Imported	Импортировано
DocumentConfiguration	RateOfReturnRulesEquityActivesImport	rootConfiguration	RateOfReturnRulesEquityActivesImport@Title	RateOfReturnRulesEquityActivesImport	RateOfReturnRulesEquityActives Import	Импорт атрибутов конфигурации лесенки КВ (ДСЖ и Активы)
DocumentConfiguration	RateOfReturnRulesEquityActivesImport	actors	System	System	System	Система
UiSchema	RateOfReturnRulesEquityActivesImportDraft	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	RateOfReturnRulesEquityActivesImportDraft	ui-label	Date	Date	Date	Дата
UiSchema	RateOfReturnRulesEquityActivesImportImporting	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	RateOfReturnRulesEquityActivesImportImporting	ui-label	Date	Date	Date	Дата
UiSchema	RateOfReturnRulesEquityActivesImportLoading	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	RateOfReturnRulesEquityActivesImportLoading	ui-label	Date	Date	Date	Дата
UiSchema	RateOfReturnRulesEquityActivesImportReloading	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	RateOfReturnRulesEquityActivesImportReloading	ui-label	Date	Date	Date	Дата
UiSchema	RateOfReturnRulesEquityActivesImportDraft	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	RateOfReturnRulesEquityActivesImportImporting	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	RateOfReturnRulesEquityActivesImportLoading	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	RateOfReturnRulesEquityActivesImportReloading	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	RateOfReturnRulesEquityActivesImportImporting	ui-label	RateOfReturnRulesEquityActives document number	RateOfReturnRulesEquityActives document number	RateOfReturnRulesEquityActives document number	Номер документа загрузки
UiSchema	RateOfReturnRulesEquityActivesImportDraft	ui-label	RateOfReturnRulesEquityActives document number	RateOfReturnRulesEquityActives document number	RateOfReturnRulesEquityActives document number	Номер документа загрузки
UiSchema	RateOfReturnRulesEquityActivesImportLoading	ui-label	RateOfReturnRulesEquityActives document number	RateOfReturnRulesEquityActives document number	RateOfReturnRulesEquityActives document number	Номер документа загрузки
UiSchema	RateOfReturnRulesEquityActivesImportImporting	ui-label	LoadData	LoadData	LoadData	Загруженная информация
UiSchema	RateOfReturnRulesEquityActivesImportReloading	ui-label	RateOfReturnRulesEquityActives document number	RateOfReturnRulesEquityActives document number	RateOfReturnRulesEquityActives document number	Номер документа конфигурации лесенки КВ
DocumentConfiguration	RateOfReturnRulesEquityActivesImport	actors	RateOfReturnRulesEquityActivesImportSpecialist	RateOfReturnRulesEquityActivesImportSpecialist	RateOfReturnRulesEquityActivesImportSpecialist	Импорт Лесенка КВ (ДСЖ и Активы)
UiSchema	RateOfReturnRulesEquityActivesImportImporting	ui-label	SourceFileFormat	SourceFileFormat	Source File Format	Формат Файла
UiSchema	RateOfReturnRulesEquityActivesImportLoading	ui-label	SourceFileFormat	SourceFileFormat	Source File Format	Формат Файла
UiSchema	RateOfReturnRulesEquityActivesImportReloading	ui-label	SourceFileFormat	SourceFileFormat	Source File Format	Формат Файла
DocumentFlowDefinition	RateOfReturnRulesEquityActivesImportFlow	transitions	transitions@StartValidating@Title	StartValidating	Start validating	Начать валидацию
DocumentFlowDefinition	RateOfReturnRulesEquityActivesImportFlow	transitions	transitions@FinishValidatingWithError@Title	FinishValidatingWithError	Finish validating with errors	Завершить валидацию с ошибками
DocumentFlowDefinition	RateOfReturnRulesEquityActivesImportFlow	states	states@Validating	Validating	Validating	Валидация
DocumentFlowDefinition	RateOfReturnRulesEquityActivesImportFlow	states	states@ValidationError	ValidationError	ValidationError	Ошибка валидации
