ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	RateOfReturnRulesImportDraft	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	RateOfReturnRulesImportDraft	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	RateOfReturnRulesImportDraft	ui-label	SourceFileFormat	SourceFileFormat	Source File Format	Формат Файла
UiSchema	RateOfReturnRulesImportImporting	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	RateOfReturnRulesImportImporting	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	RateOfReturnRulesImportImporting	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	RateOfReturnRulesImportImporting	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	RateOfReturnRulesImportImporting	ui-label	ImportedData	ImportedData	Imported Data	Импортированная Информация
UiSchema	RateOfReturnRulesImportImporting	ui-label	FailedImportedData	FailedImportedData	Failed Imported Data	Неудачно Импортированная Информация
UiSchema	RateOfReturnRulesImportLoading	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	RateOfReturnRulesImportLoading	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	RateOfReturnRulesImportLoading	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	RateOfReturnRulesImportLoading	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	RateOfReturnRulesImportReloading	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	RateOfReturnRulesImportReloading	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	RateOfReturnRulesImportReloading	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	RateOfReturnRulesImportReloading	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	RateOfReturnRulesImportLoading	ui-label	LoadData	LoadData	Load Data	Загруженная Информация
DocumentFlowDefinition	RateOfReturnRulesImportFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	RateOfReturnRulesImportFlow	transitions	transitions@StartLoading@Title	StartLoading	Start Loading	Начать Загрузку
DocumentFlowDefinition	RateOfReturnRulesImportFlow	transitions	transitions@FinishLoading@Title	FinishLoading	Finish Loading	Закончить Загрузку
