ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DocumentConfiguration	RecalcInsuredSumImport	actors	System	System	Система	System
DocumentFlowDefinition	RecalcInsuredSumImportFlow	transitions	transitions@StartLoading@Title	StartLoading	Начать загрузку	StartLoading
DocumentFlowDefinition	RecalcInsuredSumImportFlow	transitions	transitions@FinishLoading@Title	FinishLoading	Закончить загрузку	FinishLoading
DocumentFlowDefinition	RecalcInsuredSumImportFlow	transitions	transitions@StartImporting@Title	StartImporting	Начать пересчёт	StartImporting
DocumentFlowDefinition	RecalcInsuredSumImportFlow	transitions	transitions@FinishImporting@Title	FinishImporting	Закончить пересчёт	FinishImporting
DocumentFlowDefinition	RecalcInsuredSumImportFlow	operations	operations@Save@Title	Save	Сохранить	Save
DocumentFlowDefinition	RecalcInsuredSumImportFlow	states	states@Draft	Draft	Новый	Draft
DocumentFlowDefinition	RecalcInsuredSumImportFlow	states	states@Loading	Loading	Загружается	Loading
DocumentFlowDefinition	RecalcInsuredSumImportFlow	states	states@Loaded	Loaded	Загружено	Loaded
DocumentFlowDefinition	RecalcInsuredSumImportFlow	states	states@Importing	Importing	Идёт пересчёт	Importing
DocumentFlowDefinition	RecalcInsuredSumImportFlow	states	states@Imported	Imported	Пересчёт закончен	Imported
UiSchema	RecalcInsuredSumImportUiSchemaDraft	ui-label	ImportInfo	ImportInfo	Общая информация	ImportInfo
UiSchema	RecalcInsuredSumImportUiSchemaDraft	ui-label	FileSelection	FileSelection	Выбор файла	FileSelection
UiSchema	RecalcInsuredSumImportUiSchemaDraft	ui-label	FileSelectionDescription	FileSelectionDescription	Выбор файла	FileSelectionDescription
UiSchema	RecalcInsuredSumImportUiSchemaImport	ui-label	RecalcInsuredSumImportFile	RecalcInsuredSumImportFile	Выбор файла	RecalcInsuredSumImportFile
UiSchema	RecalcInsuredSumImportUiSchemaImport	ui-label	ImportInfo	ImportInfo	Общая информация	ImportInfo
UiSchema	RecalcInsuredSumImportUiSchemaImport	ui-label	FileSelection	FileSelection	Выбор файла	FileSelection
UiSchema	RecalcInsuredSumImportUiSchemaImport	ui-label	FileSelectionDescription	FileSelectionDescription	Выбор файла	FileSelectionDescription
UiSchema	RecalcInsuredSumImportUiSchemaImport	ui-label	LoadedData	LoadedData	Загруженные данные	LoadedData
UiSchema	RecalcInsuredSumImportUiSchemaImport	ui-label	LoadDataErrors	LoadDataErrors	Ошибки при загрузке	LoadDataErrors
UiSchema	RecalcInsuredSumImportUiSchemaImport	ui-label	RecalcInsuredSumImportImported	RecalcInsuredSumImportImported	Информация о пересчёте	RecalcInsuredSumImportImported
UiSchema	RecalcInsuredSumImportUiSchemaImport	ui-label	ImportedData	ImportedData	Пересчитанные данные	ImportedData
UiSchema	RecalcInsuredSumImportUiSchemaImport	ui-label	FailedImportedData	FailedImportedData	Ошибки при пересчёте	FailedImportedData
UiSchema	RecalcInsuredSumImportUiSchemaLoad	ui-label	ImportInfo	ImportInfo	Общая информация	ImportInfo
UiSchema	RecalcInsuredSumImportUiSchemaLoad	ui-label	FileSelection	FileSelection	Выбор файла	FileSelection
UiSchema	RecalcInsuredSumImportUiSchemaLoad	ui-label	FileSelectionDescription	FileSelectionDescription	Выбор файла	FileSelectionDescription
UiSchema	RecalcInsuredSumImportUiSchemaLoad	ui-label	RecalcInsuredSumImportLoaded	RecalcInsuredSumImportLoaded	Информация о загрузке	RecalcInsuredSumImportLoaded
UiSchema	RecalcInsuredSumImportUiSchemaLoad	ui-label	LoadedData	LoadedData	Загруженные данные	LoadedData
UiSchema	RecalcInsuredSumImportUiSchemaLoad	ui-label	LoadDataErrors	LoadDataErrors	Ошибки при загрузке	LoadDataErrors
DocumentConfiguration	RecalcInsuredSumImport	rootConfiguration	RecalcInsuredSumImport@Title	RecalcInsuredSumImport	Пересчёт страховых сумм	RecalcInsuredSumImport
UiSchema	RecalcInsuredSumImportUiSchemaImport	ui-label	RecalcInsuredSumImportLoaded	RecalcInsuredSumImportLoaded	Загруженные данные	RecalcInsuredSumImportLoaded
UiSchema	RecalcInsuredSumImportUiSchemaLoad	ui-label	RecalcInsuredSumImportFile	RecalcInsuredSumImportFile	Выбор файла	RecalcInsuredSumImportFile
UiSchema	RecalcInsuredSumImportUiSchemaDraft	ui-label	RecalcInsuredSumImportFile	RecalcInsuredSumImportFile	Выбор файла	RecalcInsuredSumImportFile
DataSchema	RecalcInsuredSumImport	field-title	fileName	fileName	Название файла	File name
DocumentConfiguration	RecalcInsuredSumImport	actors	RecalcInsuredSum	RecalcInsuredSum	RecalcInsuredSum	RecalcInsuredSum
