ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	ReinsuranceImportDraft	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	ReinsuranceImportDraft	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	ReinsuranceImportDraft	ui-label	SourceFileFormat	SourceFileFormat	Source File Format	Формат Файла
UiSchema	ReinsuranceImportImporting	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	ReinsuranceImportImporting	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	ReinsuranceImportImporting	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	ReinsuranceImportImporting	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	ReinsuranceImportImporting	ui-label	ImportedData	ImportedData	Imported Data	Импортированная Информация
UiSchema	ReinsuranceImportImporting	ui-label	FailedImportedData	FailedImportedData	Failed Imported Data	Неудачно Импортированная Информация
UiSchema	ReinsuranceImportLoading	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	ReinsuranceImportLoading	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	ReinsuranceImportLoading	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	ReinsuranceImportLoading	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	ReinsuranceImportReloading	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	ReinsuranceImportReloading	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	ReinsuranceImportReloading	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	ReinsuranceImportReloading	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	ReinsuranceImportLoading	ui-label	LoadData	LoadData	Load Data	Загруженная Информация
DocumentFlowDefinition	ReinsuranceImportFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	ReinsuranceImportFlow	transitions	transitions@StartLoading@Title	StartLoading	Start Loading	Начать Загрузку
DocumentFlowDefinition	ReinsuranceImportFlow	transitions	transitions@FinishLoading@Title	FinishLoading	Finish Loading	Закончить Загрузку
DocumentFlowDefinition	ReinsuranceImportFlow	transitions	transitions@StartReloading@Title	StartReloading	Start Reloading	Начать Перезапуск
DocumentFlowDefinition	ReinsuranceImportFlow	transitions	transitions@StartImporting@Title	StartImporting	Start Importing	Начать Импорт
DocumentFlowDefinition	ReinsuranceImportFlow	transitions	transitions@FinishImporting@Title	FinishImporting	Finish Importing	Закончить Импорт
DocumentFlowDefinition	ReinsuranceImportFlow	states	states@Draft	Draft	Draft	Черновик
DocumentFlowDefinition	ReinsuranceImportFlow	states	states@Loading	Loading	Loading	Загрузка
DocumentFlowDefinition	ReinsuranceImportFlow	states	states@ReloadSetup	ReloadSetup	Reload Setup	Перезагрузить Установку
DocumentFlowDefinition	ReinsuranceImportFlow	states	states@Loaded	Loaded	Loaded	Загружено
DocumentFlowDefinition	ReinsuranceImportFlow	states	states@Importing	Importing	Importing	Импорт
DocumentFlowDefinition	ReinsuranceImportFlow	states	states@Imported	Imported	Imported	Импортировано
DocumentConfiguration	ReinsuranceImport	rootConfiguration	ReinsuranceImport@Title	ReinsuranceImport	Reinsurance Import	Импорт атрибутов перестрахования
DocumentConfiguration	ReinsuranceImport	actors	System	System	System	Система
UiSchema	ReinsuranceImportDraft	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	ReinsuranceImportDraft	ui-label	Date	Date	Date	Дата
UiSchema	ReinsuranceImportImporting	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	ReinsuranceImportImporting	ui-label	Date	Date	Date	Дата
UiSchema	ReinsuranceImportLoading	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	ReinsuranceImportLoading	ui-label	Date	Date	Date	Дата
UiSchema	ReinsuranceImportReloading	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	ReinsuranceImportReloading	ui-label	Date	Date	Date	Дата
UiSchema	ReinsuranceImportDraft	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	ReinsuranceImportImporting	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	ReinsuranceImportLoading	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	ReinsuranceImportReloading	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	ReinsuranceImportImporting	ui-label	Reinsurance document number	Reinsurance document number	Reinsurance document number	Номер документа загрузки
UiSchema	ReinsuranceImportDraft	ui-label	Reinsurance document number	Reinsurance document number	Reinsurance document number	Номер документа загрузки
UiSchema	ReinsuranceImportLoading	ui-label	Reinsurance document number	Reinsurance document number	Reinsurance document number	Номер документа загрузки
UiSchema	ReinsuranceImportImporting	ui-label	LoadData	LoadData	LoadData	Загруженная информация
UiSchema	ReinsuranceImportReloading	ui-label	Reinsurance document number	Reinsurance document number	Reinsurance document number	Номер документа перестрахования
DocumentConfiguration	ReinsuranceImport	actors	General	General	General	Импорт атрибутов перестрахования
DocumentConfiguration	ReinsuranceImport	actors	Administrator	Administrator	Administrator	Администратор
Rule	ReinsuranceImportStartImportingTransitionRule	rule	validation@excelLoadErrors	StartImporting	E: Fix errors in excel file	E: Импорт документа заблокирован, исправьте ошибки и перезагрузите файл импорта
