ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	StrategyConfImportDraft	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	StrategyConfImportDraft	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	StrategyConfImportDraft	ui-label	SourceFileFormat	SourceFileFormat	Source File Format	Формат Файла
UiSchema	StrategyConfImportImporting	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	StrategyConfImportImporting	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	StrategyConfImportImporting	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	StrategyConfImportImporting	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	StrategyConfImportImporting	ui-label	ImportedData	ImportedData	Imported Data	Импортированная Информация
UiSchema	StrategyConfImportImporting	ui-label	FailedImportedData	FailedImportedData	Failed Imported Data	Неудачно Импортированная Информация
UiSchema	StrategyConfImportLoading	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	StrategyConfImportLoading	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	StrategyConfImportLoading	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	StrategyConfImportLoading	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	StrategyConfImportReloading	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	StrategyConfImportReloading	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	StrategyConfImportReloading	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	StrategyConfImportReloading	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	StrategyConfImportLoading	ui-label	LoadData	LoadData	Load Data	Загруженная Информация
DocumentFlowDefinition	StrategyConfImportFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	StrategyConfImportFlow	transitions	transitions@StartLoading@Title	StartLoading	Start Loading	Начать Загрузку
DocumentFlowDefinition	StrategyConfImportFlow	transitions	transitions@FinishLoading@Title	FinishLoading	Finish Loading	Закончить Загрузку
DocumentFlowDefinition	StrategyConfImportFlow	transitions	transitions@StartReloading@Title	StartReloading	Start Reloading	Начать Перезапуск
DocumentFlowDefinition	StrategyConfImportFlow	transitions	transitions@StartImporting@Title	StartImporting	Start Importing	Начать Импорт
DocumentFlowDefinition	StrategyConfImportFlow	transitions	transitions@FinishImporting@Title	FinishImporting	Finish Importing	Закончить Импорт
DocumentFlowDefinition	StrategyConfImportFlow	states	states@Draft	Draft	Draft	Черновик
DocumentFlowDefinition	StrategyConfImportFlow	states	states@Loading	Loading	Loading	Загрузка
DocumentFlowDefinition	StrategyConfImportFlow	states	states@ReloadSetup	ReloadSetup	Reload Setup	Перезагрузить Установку
DocumentFlowDefinition	StrategyConfImportFlow	states	states@Loaded	Loaded	Loaded	Загружено
DocumentFlowDefinition	StrategyConfImportFlow	states	states@Importing	Importing	Importing	Импорт
DocumentFlowDefinition	StrategyConfImportFlow	states	states@Imported	Imported	Imported	Импортировано
UiSchema	StrategyConfImportDraft	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	StrategyConfImportDraft	ui-label	Date	Date	Date	Дата
UiSchema	StrategyConfImportImporting	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	StrategyConfImportImporting	ui-label	Date	Date	Date	Дата
UiSchema	StrategyConfImportLoading	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	StrategyConfImportLoading	ui-label	Date	Date	Date	Дата
UiSchema	StrategyConfImportReloading	ui-label	FileSelectionDescription	FileSelectionDescription	File Selection Description	Описание Выбора Файлов
UiSchema	StrategyConfImportReloading	ui-label	Date	Date	Date	Дата
UiSchema	StrategyConfImportDraft	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	StrategyConfImportImporting	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	StrategyConfImportLoading	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	StrategyConfImportReloading	ui-label	Upload data	Upload data	Upload Data	Загрузить данные
UiSchema	StrategyConfImportImporting	ui-label	StrategyConf document number	StrategyConf document number	StrategyConf document number	Номер документа загрузки
UiSchema	StrategyConfImportDraft	ui-label	StrategyConf document number	StrategyConf document number	StrategyConf document number	Номер документа загрузки
UiSchema	StrategyConfImportLoading	ui-label	StrategyConf document number	StrategyConf document number	StrategyConf document number	Номер документа загрузки
UiSchema	StrategyConfImportImporting	ui-label	LoadData	LoadData	LoadData	Загруженная информация
UiSchema	StrategyConfImportReloading	ui-label	StrategyConf document number	StrategyConf document number	StrategyConf document number	Номер документа конфигурации стратегии
Rule	StrategyConfImportStartImportingTransitionRule	rule	validation@excelLoadErrors	StartImporting	E: Fix errors in excel file	E: Импорт документа заблокирован, исправьте ошибки и перезагрузите файл импорта
DocumentConfiguration	StrategyConfImport	actors	General	General	General	Импорт атрибутов конфигурации стратегии
DocumentConfiguration	StrategyConfImport	actors	Administrator	Administrator	Administrator	Администратор
DocumentConfiguration	StrategyConfImport	actors	System	System	System	System
DocumentConfiguration	StrategyConfImport	rootConfiguration	StrategyConfImport@Title	StrategyConfImport	Strategy configuration import	Импорт атрибутов конфигурации стратегии
