ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	StrategyInstrImportDraft	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	StrategyInstrImportDraft	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	StrategyInstrImportDraft	ui-label	SourceFileFormat	SourceFileFormat	Source File Format	Формат Файла
UiSchema	StrategyInstrImportImporting	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	StrategyInstrImportImporting	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	StrategyInstrImportImporting	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	StrategyInstrImportImporting	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	StrategyInstrImportImporting	ui-label	ImportedData	ImportedData	Imported Data	Импортированная Информация
UiSchema	StrategyInstrImportImporting	ui-label	FailedImportedData	FailedImportedData	Failed Imported Data	Неудачно Импортированная Информация
UiSchema	StrategyInstrImportLoading	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	StrategyInstrImportLoading	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	StrategyInstrImportLoading	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	StrategyInstrImportLoading	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	StrategyInstrImportReloading	ui-label	ImportInfo	ImportInfo	Import Info	Информация об импорте
UiSchema	StrategyInstrImportReloading	ui-label	FileSelection	FileSelection	File Selection	Выбор Файла
UiSchema	StrategyInstrImportReloading	ui-label	LoadedData	LoadedData	Loaded Data	Загруженная Информация
UiSchema	StrategyInstrImportReloading	ui-label	LoadDataErrors	LoadDataErrors	Loaded Data Errors	Ошибки по Загруженной Информации
UiSchema	StrategyInstrImportLoading	ui-label	LoadData	LoadData	Load Data	Загруженная Информация
DocumentFlowDefinition	StrategyInstrImportFlow	operations	operations@Save@Title	Save	Save	Сохранить
DocumentFlowDefinition	StrategyInstrImportFlow	transitions	transitions@StartLoading@Title	StartLoading	Start Loading	Начать Загрузку
DocumentFlowDefinition	StrategyInstrImportFlow	transitions	transitions@FinishLoading@Title	FinishLoading	Finish Loading	Закончить Загрузку
DocumentFlowDefinition	StrategyInstrImportFlow	transitions	transitions@StartReloading@Title	StartReloading	Start Reloading	Начать Перезапуск
DocumentFlowDefinition	StrategyInstrImportFlow	transitions	transitions@StartImporting@Title	StartImporting	Start Importing	Начать Импорт
DocumentFlowDefinition	StrategyInstrImportFlow	transitions	transitions@FinishImporting@Title	FinishImporting	Finish Importing	Закончить Импорт
DocumentFlowDefinition	StrategyInstrImportFlow	states	states@Draft	Draft	Draft	Черновик
DocumentFlowDefinition	StrategyInstrImportFlow	states	states@Loading	Loading	Loading	Загрузка
DocumentFlowDefinition	StrategyInstrImportFlow	states	states@ReloadSetup	ReloadSetup	Reload Setup	Перезагрузить Установку
DocumentFlowDefinition	StrategyInstrImportFlow	states	states@Loaded	Loaded	Loaded	Загружено
DocumentFlowDefinition	StrategyInstrImportFlow	states	states@Importing	Importing	Importing	Импорт
DocumentFlowDefinition	StrategyInstrImportFlow	states	states@Imported	Imported	Imported	Импортировано
