ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
Library	AmendmentValidationHelper	library	validation@ZeroTotalPaymentAmount	amendmentValidationHelper	E: Общий размер выплаты равен 0. Передать ДС на выплату не возможно.	E: validation@ZeroTotalPaymentAmount
Library	AmendmentValidationHelper	library	validation@FullPackageReceiveDateIsRequired	amendmentValidationHelper	E: Дата получения полного комплекта обязательна для заполнения	E: validation@FullPackageReceiveDateIsRequired
Library	AmendmentValidationHelper	library	validation@RequiresAccountingApproval	amendmentValidationHelper	E: Требуется согласование бухгалтерии	E: validation@RequiresAccountingApproval
Library	AmendmentValidationHelper	library	validation@OperationsDirectorApprovalIsRequired	amendmentValidationHelper	E: Требуется согласование руководителя ОПЕРУ	E: validation@OperationsDirectorApprovalIsRequired
Library	AmendmentValidationHelper	library	validation@LegalAndComplianceApprovalIsRequired	amendmentValidationHelper	E: Требуется согласование юристов и комплаенс	E: validation@LegalAndComplianceApprovalIsRequired
Library	FlowRulesHelper	library	validation@Activated_to_Completed_NotBeCompleted	flowRulesHelper	E: Дата окончания действия договора ещё не прошла. Завершение договора невозможно.	E: Activated_to_Completed
Library	PaymentPlanUtils	ui-message	fullPayedYes	paymentPlanUtils	Да	fullPayedYes
Library	PaymentPlanUtils	ui-message	fullPayedNo	paymentPlanUtils	Нет	fullPayedNo
Library	EconomicParametersValidationHelper	library	validation@DuplicateRules	economicParametersValidationHelper	E: Строки с ID ${epDuplicatesRuleNumbers} дублируют друг друга	E: Rules with ID ${epDuplicatesRuleNumbers} duplicate each other
Library	EconomicParametersValidationHelper	library	validation@IntersectPeriods	economicParametersValidationHelper	E: Строки с ID ${intersectingRulesNumbers} имеют пересечение периодов	E: Rules with ID ${intersectingRulesNumbers} have intersected periods
Library	EconomicParametersValidationHelper	library	validation@InsuranceRules	economicParametersValidationHelper	E: Срок страхования с ${insuranceTermFromYearCode} должен быть меньше или равен сроку страхования по ${insuranceTermToYearCode}	E: Insurance terms from ${insuranceTermFromYearCode} should be less or equal that insurance terms to ${insuranceTermToYearCode}
Library	AmendmentUtils	library	validation@ErrorCheckingKPKFor	amendmentUtils	E: Ошибка сервиса КПК при проверке участника ${participant}: ${participantName}	E: Error while checking ${participant}: ${participantName}
Library	AmendmentUtils	library	validation@KPKCheckNotPassedFor	amendmentUtils	E: Проверка КПК не пройдена для участника ${participant}: ${participantName}	E: KPK check failed for ${participant}: ${participantName}
Library	AmendmentUtils	library	validation@invalidAgePassport	amendmentUtils	E: Не действителен паспорт участника ${participant}: ${participantName}	E: Invalid passport ${participant}: ${participantName}
Library	AmendmentUtils	library	validation@unableToValidatePassport	amendmentUtils	E: Не удалось проверить действительность паспорта для участника ${participant}: ${participantName}	E: Unable to check passport validity for ${participant}: ${participantName}
Library	AmendmentUtils	library	validation@banksStatementItemsWithOpenAmountWarning	amendmentUtils	W: На платежах, с которых осуществляется возврат, есть не распределенная сумма. Возврат необходимо осуществить из журнала платежей. ID платежей:: ${items}	W: Bank statement items with open amount: ${items}
Library	AmendmentUtils	library	validation@ComplianceAgreementIsNeeding	amendmentUtils	E: для изменения ${context} необходимо согласование комплаенс	E: Compliance approval required to change ${context}
Library	AmendmentUtils	library	validation@ClientIsPublicOfficial	amendmentUtils	E: клиент является Публичным должностным лицом, необходимо согласование комплаенс	E: The client is a Publicly Exposed Person, compliance approval is required
