ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	AADocumentSearchCommonView	actors	General	General	General	Основное
UiSchema	AADocumentSearchCommonViewFiltersContent	ui-label	externalNumber	externalNumber	externalNumber	Внешний номер
UiSchema	AADocumentSearchCommonViewFiltersContent	ui-label	documentStates	documentStates	documentStates	Статус
UiSchema	AADocumentSearchCommonViewFiltersContent	ui-label	agent	agent	agent	Агент
UiSchema	AADocumentSearchCommonViewFiltersContent	ui-label	documentNumber	documentNumber	documentNumber	Номер документа
UiSchema	AADocumentSearchCommonViewFiltersContent	ui-label	startDate	startDate	startDate	Дата начала
UiSchema	AADocumentSearchCommonViewFiltersContent	ui-label	endDate	endDate	endDate	Дата окончания
UiSchema	AADocumentSearchCommonViewFiltersContent	ui-label	agentPersonalNumber	agentPersonalNumber	agentPersonalNumber	Табельный номер агента
UiSchema	AADocumentSearchCommonViewFiltersContent	ui-label	agentPartyType	agentPartyType	agentPartyType	Тип контрагента
UiSchema	AADocumentSearchCommonViewFiltersContent	ui-label	salesChannel	salesChannel	salesChannel	Канал продаж
UiSchema	AADocumentSearchCommonViewFiltersContent	ui-label	agencyCode	agencyCode	agencyCode	Код агента
UiSchema	AADocumentSearchCommonViewFiltersContent	ui-label	agentTypeCode	agentTypeCode	agentTypeCode	Код типа агента
UiSchema	AADocumentSearchCommonViewFiltersContent	ui-label	orderNumber	orderNumber	orderNumber	Ордер
UiSchema	AADocumentSearchCommonViewFiltersContent	ui-label	mvzNumber	mvzNumber	mvzNumber	КСП
UiSchema	AADocumentSearchCommonViewResultsContent	ui-label	externalNumber	externalNumber	externalNumber	Внешний номер
UiSchema	AADocumentSearchCommonViewResultsContent	ui-label	documentNumber	documentNumber	documentNumber	Номер
UiSchema	AADocumentSearchCommonViewResultsContent	ui-label	agentName	agentName	agentName	Наименование агента
UiSchema	AADocumentSearchCommonViewResultsContent	ui-label	startDate	startDate	startDate	Дата начала
UiSchema	AADocumentSearchCommonViewResultsContent	ui-label	endDate	endDate	endDate	Дата окончания
UiSchema	AADocumentSearchCommonViewResultsContent	ui-label	conclusionDate	conclusionDate	conclusionDate	Дата заключения
UiSchema	AADocumentSearchCommonViewResultsContent	ui-label	documentState	documentState	documentState	Статус
UiSchema	AADocumentSearchCommonViewResultsContent	ui-label	Export Report	Export Report	Export Report	Экспортировать отчет
ViewConfiguration	AADocumentSearchCommonView	rootConfiguration	AADocumentSearchCommonView@Title	AADocumentSearchCommonView	AADocumentSearchCommonView	Поиск агентского договора
