ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	AgentVerificationView	rootConfiguration	AgentVerificationView@Title	AgentVerificationView	AgentVerificationView	Проверки
UiSchema	AgentVerificationViewFiltersContent	ui-label	documentNumber	documentNumber	documentNumber	Номер проверки
UiSchema	AgentVerificationViewFiltersContent	ui-label	creationDate	creationDate	creationDate	Дата проверки
UiSchema	AgentVerificationViewResultsContent	ui-label	documentNumber	documentNumber	documentNumber	Номер проверки
UiSchema	AgentVerificationViewResultsContent	ui-label	creationDate	creationDate	creationDate	Дата проверки
UiSchema	AgentVerificationViewResultsContent	ui-label	listName	listName	listName	Наименование перечня 
UiSchema	AgentVerificationViewResultsContent	ui-label	listDate	listDate	listDate	Дата перечня
UiSchema	AgentVerificationViewFiltersContent	ui-label	listDate	listDate	listDate	Дата перечня
ViewConfiguration	AgentVerificationView	actors	AgentVerificationEditor	AgentVerificationEditor	AgentVerificationEditor	Редактирование документа Проверка
ViewConfiguration	AgentVerificationView	actors	AgentVerificationViewer	AgentVerificationViewer	AgentVerificationViewer	Просмотр Проверок
UiSchema	AgentVerificationViewFiltersContent	ui-label	foundCodes	foundCodes	foundCodes	ID контрагентов
UiSchema	AgentVerificationViewResultsContent	ui-label	foundCodes	foundCodes	foundCodes	ID контрагентов
UiSchema	AgentVerificationViewFiltersContent	ui-label	listName	listName	listName	Наименование перечня
