ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	ContractAdministrationAADocumentSearchViewFiltersContent	ui-label	documentNumber	documentNumber	Номер	documentNumber
UiSchema	ContractAdministrationAADocumentSearchViewFiltersContent	ui-label	startDate	startDate	Дата начала	startDate
UiSchema	ContractAdministrationAADocumentSearchViewFiltersContent	ui-label	endDate	endDate	Дата окончания	endDate
UiSchema	ContractAdministrationAADocumentSearchViewFiltersContent	ui-label	externalNumber	externalNumber	Внешний номер	externalNumber
UiSchema	ContractAdministrationAADocumentSearchViewFiltersContent	ui-label	agentPersonalNumber	agentPersonalNumber	Табельный номер агента	agentPersonalNumber
UiSchema	ContractAdministrationAADocumentSearchViewFiltersContent	ui-label	agentPartyType	agentPartyType	Тип агента	agentPartyType
UiSchema	ContractAdministrationAADocumentSearchViewFiltersContent	ui-label	agent	agent	Агент	agent
UiSchema	ContractAdministrationAADocumentSearchViewFiltersContent	ui-label	salesChannel	salesChannel	Канал продаж	salesChannel
UiSchema	ContractAdministrationAADocumentSearchViewResultsContent	ui-label	externalNumber	externalNumber	Внешний номер	externalNumber
UiSchema	ContractAdministrationAADocumentSearchViewResultsContent	ui-label	documentNumber	documentNumber	Номер	documentNumber
UiSchema	ContractAdministrationAADocumentSearchViewResultsContent	ui-label	agentName	agentName	Агент	agentName
UiSchema	ContractAdministrationAADocumentSearchViewResultsContent	ui-label	startDate	startDate	Дата начала	startDate
UiSchema	ContractAdministrationAADocumentSearchViewResultsContent	ui-label	endDate	endDate	Дата окончания	endDate
UiSchema	ContractAdministrationAADocumentSearchViewResultsContent	ui-label	conclusionDate	conclusionDate	Дата заключения	conclusionDate
UiSchema	ContractAdministrationAADocumentSearchViewResultsContent	ui-label	documentState	documentState	Статус	documentState
ViewConfiguration	ContractAdministrationAADocumentSearchView	rootConfiguration	ContractAdministrationAADocumentSearchView@Title	ContractAdministrationAADocumentSearchView	Поиск агентских договоров	ContractAdministrationAADocumentSearchView@Title
ViewConfiguration	ContractAdministrationAADocumentSearchView	actors	Administrator	Administrator	Администратор	Administrator
UiSchema	ContractAdministrationAADocumentSearchViewFiltersContent	ui-label	documentStates	documentStates	Статус	documentStates
