ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	ContractAdministrationContractSearchView	actors	Administrator	Administrator	Администратор	Administrator
UiSchema	ContractAdministrationContractSearchViewFiltersContent	ui-label	number	number	Номер	number
UiSchema	ContractAdministrationContractSearchViewFiltersContent	ui-label	contractTypeDescription	contractTypeDescription	Тип документа	contractTypeDescription
UiSchema	ContractAdministrationContractSearchViewFiltersContent	ui-label	issueDateFrom	issueDateFrom	Дата заключения от	issueDateFrom
UiSchema	ContractAdministrationContractSearchViewFiltersContent	ui-label	issueDateTo	issueDateTo	Дата заключения до	issueDateTo
UiSchema	ContractAdministrationContractSearchViewFiltersContent	ui-label	productGroupDescription	productGroupDescription	Группа продуктов	productGroupDescription
UiSchema	ContractAdministrationContractSearchViewFiltersContent	ui-label	productName	productName	Продукт	productName
UiSchema	ContractAdministrationContractSearchViewFiltersContent	ui-label	startDateFrom	startDateFrom	Дата начала от	startDateFrom
UiSchema	ContractAdministrationContractSearchViewFiltersContent	ui-label	startDateTo	startDateTo	Дата начала до	startDateTo
UiSchema	ContractAdministrationContractSearchViewFiltersContent	ui-label	policyHolder	policyHolder	Страхователь	policyHolder
UiSchema	ContractAdministrationContractSearchViewFiltersContent	ui-label	endDateFrom	endDateFrom	Дата окончания от	endDateFrom
UiSchema	ContractAdministrationContractSearchViewFiltersContent	ui-label	endDateTo	endDateTo	Дата окончания до	endDateTo
UiSchema	ContractAdministrationContractSearchViewFiltersContent	ui-label	initiator	initiator	Инициатор	initiator
UiSchema	ContractAdministrationContractSearchViewFiltersContent	ui-label	organisationUnit	organisationUnit	Подразделение	organisationUnit
UiSchema	ContractAdministrationContractSearchViewFiltersContent	ui-label	includeChildren	includeChildren	С учетом дочерних	includeChildren
UiSchema	ContractAdministrationContractSearchViewFiltersContent	ui-label	State code	State code	Статус	State code
UiSchema	ContractAdministrationContractSearchViewResultsContent	ui-label	entityId	entityId	Номер	entityId
UiSchema	ContractAdministrationContractSearchViewResultsContent	ui-label	productName	productName	Продукт	productName
UiSchema	ContractAdministrationContractSearchViewResultsContent	ui-label	contractTypeDescription	contractTypeDescription	Тип документа	contractTypeDescription
UiSchema	ContractAdministrationContractSearchViewResultsContent	ui-label	stateCodeDescription	stateCodeDescription	Статус	stateCodeDescription
UiSchema	ContractAdministrationContractSearchViewResultsContent	ui-label	issueDate	issueDate	Дата заключения	issueDate
UiSchema	ContractAdministrationContractSearchViewResultsContent	ui-label	startDate	startDate	Дата начала	startDate
UiSchema	ContractAdministrationContractSearchViewResultsContent	ui-label	endDate	endDate	Дата окончания	endDate
UiSchema	ContractAdministrationContractSearchViewResultsContent	ui-label	policyHolderName	policyHolderName	Страхователь	policyHolderName
UiSchema	ContractAdministrationContractSearchViewResultsContent	ui-label	paymentFrequency	paymentFrequency	Периодичность уплаты взносов	paymentFrequency
UiSchema	ContractAdministrationContractSearchViewResultsContent	ui-label	amount	amount	Размер взноса	amount
UiSchema	ContractAdministrationContractSearchViewResultsContent	ui-label	amountWithAllRisks	amountWithAllRisks	Взнос с учетом доп. рисков	amountWithAllRisks
UiSchema	ContractAdministrationContractSearchViewResultsContent	ui-label	initiatorName	initiatorName	Инициатор	initiatorName
UiSchema	ContractAdministrationContractSearchViewResultsContent	ui-label	initiatorOrganisationUnitName	initiatorOrganisationUnitName	Подразделение	initiatorOrganisationUnitName
ViewConfiguration	ContractAdministrationContractSearchView	rootConfiguration	ContractAdministrationContractSearchView@Title	ContractAdministrationContractSearchView	Поиск договоров	ContractAdministrationContractSearchView
