ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	ContractAdministrationView	actors	Administrator	Administrator	Администратор	Administrator
UiSchema	ContractAdministrationViewUiSchema	ui-label	Modification	Modification	Модификация	Modification
UiSchema	ContractAdministrationViewUiSchema	ui-label	InitiatorModification	InitiatorModification	Изменение инициатора	InitiatorModification
UiSchema	ContractAdministrationViewUiSchema	ui-label	Contract	Contract	Договор	Contract
UiSchema	ContractAdministrationViewUiSchema	ui-label	Contract Number	Contract Number	Номер договора	Contract Number
UiSchema	ContractAdministrationViewUiSchema	ui-label	initiator	initiator	Инициатор	initiator
UiSchema	ContractAdministrationViewUiSchema	ui-label	orgUnit	orgUnit	Подразделение	orgUnit
UiSchema	ContractAdministrationViewUiSchema	ui-label	executeInitiatorUpdate	executeInitiatorUpdate	Выполнить	executeInitiatorUpdate
ViewConfiguration	ContractAdministrationView	rootConfiguration	ContractAdministrationView@Title	ContractAdministrationView	Администрирование договоров страхования	ContractAdministrationView
UiSchema	ContractAdministrationViewUiSchema	ui-label	CommissionRecalculation	CommissionRecalculation	Пересчет комиссии	CommissionRecalculation
UiSchema	ContractAdministrationViewUiSchema	ui-label	executeCommissionRecalculation	executeCommissionRecalculation	Выполнить	executeCommissionRecalculation
UiSchema	ContractAdministrationViewUiSchema	ui-label	agentAgreement	agentAgreement	Агентский договор	agentAgreement
UiSchema	ContractAdministrationViewUiSchema	ui-label	CuratorModification	CuratorModification	Изменение куратора	CuratorModification
UiSchema	ContractAdministrationViewUiSchema	ui-label	Curator	Curator	Куратор	Curator
UiSchema	ContractAdministrationViewUiSchema	ui-label	executeCuratorUpdate	executeCuratorUpdate	Выполнить	executeCuratorUpdate
UiSchema	ContractAdministrationViewUiSchema	ui-label	ProductConfigurationModification	ProductConfigurationModification	Изменение конфигурации продукта	ProductConfigurationModification
UiSchema	ContractAdministrationViewUiSchema	ui-label	executeProductConfigurationUpdate	executeProductConfigurationUpdate	Выполнить	executeProductConfigurationUpdate
UiSchema	ContractAdministrationViewUiSchema	ui-label	ProductConfigurationVersion	ProductConfigurationVersion	Версия конфигурации продуктов	ProductConfigurationVersion
UiSchema	ContractAdministrationViewUiSchema	ui-label	ProductCode	ProductCode	Код продукта	ProductCode
UiSchema	ContractAdministrationViewUiSchema	ui-label	IssueDate	IssueDate	Дата заключения	IssueDate
