ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	ContractEntityAttributesLoadedDataErrorsFromExcelUiSchema	ui-label	SourceId	SourceId	SourceId	ИД источника
UiSchema	ContractEntityAttributesLoadedDataErrorsFromExcelUiSchema	ui-label	ErrorMessage	ErrorMessage	Error message	Текст ошибки
UiSchema	ContractEntityAttributesLoadedDataErrorsFromExcelUiSchema	ui-label	RowNumber	RowNumber	Row number 	Строка
UiSchema	ContractEntityAttributesLoadedDataErrorsFromExcelUiSchema	ui-label	ErrorType	ErrorType	ErrorType	Тип ошибки
ViewConfiguration	ContractEntityAttributesLoadedDataErrorsFromExcel	rootConfiguration	ContractEntityAttributesLoadedDataErrorsFromExcel@Title	ContractEntityAttributesLoadedDataErrorsFromExcel	ContractEntityAttributesLoadedDataErrorsFromExcel	Ошибки по загруженной информации
ViewConfiguration	ContractEntityAttributesLoadedDataErrorsFromExcel	actors	Administrator	Administrator	Administrator	Администратор
UiSchema	ContractEntityAttributesLoadedDataErrorsFromExcelUiSchema	ui-label	Export	Export	Export	Экспорт
ViewConfiguration	ContractEntityAttributesLoadedDataErrorsFromExcel	dataExport	LoadDataErrorsDataSourceExport	LoadDataErrorsDataSourceExport	LoadDataErrorsDataSourceExport	LoadDataErrorsDataSourceExport
ViewConfiguration	ContractEntityAttributesLoadedDataErrorsFromExcel	actors	Operations	Operations	Operations	ОПЕРУ
ViewConfiguration	ContractEntityAttributesLoadedDataErrorsFromExcel	actors	System	System	System	Система
