ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	ContractEntityAttributesLoadedDataFromExcel	actors	Administrator	Administrator	Administrator	Администратор
UiSchema	ContractEntityAttributesLoadedDataFromExcelUiSchema	ui-label	excelRowNumber	excelRowNumber	excelRowNumber	Номер строки
UiSchema	ContractEntityAttributesLoadedDataFromExcelUiSchema	ui-label	contractNumber	contractNumber	contractNumber	Номер договора
UiSchema	ContractEntityAttributesLoadedDataFromExcelUiSchema	ui-label	originalReceiptDate	originalReceiptDate	originalReceiptDate	Дата получения оригинала договора
ViewConfiguration	ContractEntityAttributesLoadedDataFromExcel	rootConfiguration	ContractEntityAttributesLoadedDataFromExcel@Title	ContractEntityAttributesLoadedDataFromExcel	ContractEntityAttributesLoadedDataFromExcel	Загруженные данные
UiSchema	ContractEntityAttributesLoadedDataFromExcelUiSchema	ui-label	hasAmendment	hasAmendment	hasAmendment	Получено дополнительное соглашение
UiSchema	ContractEntityAttributesLoadedDataFromExcelUiSchema	ui-label	hasPaymentIntermediateApplication	hasPaymentIntermediateApplication	hasPaymentIntermediateApplication	Заявление на промежуточную выплату
UiSchema	ContractEntityAttributesLoadedDataFromExcelUiSchema	ui-label	paymentIntermediateApplicationDate	paymentIntermediateApplicationDate	paymentIntermediateApplicationDate	Дата получения заявления на промежуточную выплату
ViewConfiguration	ContractEntityAttributesLoadedDataFromExcel	actors	Operations	Operations	Operations	ОПЕРУ
ViewConfiguration	ContractEntityAttributesLoadedDataFromExcel	actors	System	System	System	Система
