ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	CumulationView	actors	GeneralBackOffice	GeneralBackOffice	БО	GeneralBackOffice
ViewConfiguration	CumulationView	actors	General	General	Общий	General
ViewConfiguration	CumulationView	actors	GeneralSales	GeneralSales	Продажи	GeneralSales
ViewConfiguration	CumulationView	rootConfiguration	CumulationView@Title	CumulationView	Кумуляция	CumulationView
UiSchema	CumulationViewUiSchema	ui-label	riskGroupDescription	riskGroupDescription	Группа рисков	riskGroupDescription
UiSchema	CumulationViewUiSchema	ui-label	cumulationInsuredSum	cumulationInsuredSum	КСС (RUB)	cumulationInsuredSum
UiSchema	CumulationViewUiSchema	ui-label	amountDescription	amountDescription	Лимит заявки (RUB)	amountDescription
UiSchema	CumulationViewUiSchema	ui-label	isLimitExceededDescription	isLimitExceededDescription	Превышен	isLimitExceededDescription
UiSchema	CumulationViewUiSchema	ui-label	documentNumber	documentNumber	Документ	documentNumber
UiSchema	CumulationViewUiSchema	ui-label	documentStateDescription	documentStateDescription	Статус	documentStateDescription
UiSchema	CumulationViewUiSchema	ui-label	documentRiskDescription	documentRiskDescription	Риск	documentRiskDescription
UiSchema	CumulationViewUiSchema	ui-label	documentRiskInsuredSum	documentRiskInsuredSum	Риск (СС)	documentRiskInsuredSum
UiSchema	CumulationViewUiSchema	ui-label	documentCurrencyCode	documentCurrencyCode	Валюта	documentCurrencyCode
UiSchema	CumulationViewUiSchema	ui-label	partyFullName	partyFullName	ФИО	partyFullName
