ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	EconomicParametersHistoryView	actors	EconomicParametersEditor	EconomicParametersEditor	EconomicParametersEditor	Параметры экономики (редактирование)
ViewConfiguration	EconomicParametersHistoryView	actors	EconomicParametersViewer	EconomicParametersViewer	EconomicParametersViewer	Параметры экономики (редактирование)
ViewConfiguration	EconomicParametersHistoryView	actors	ContractEntityEditor	ContractEntityEditor	ContractEntityEditor	ContractEntityEditor
ViewConfiguration	EconomicParametersHistoryView	actors	ContractEntityViewer	ContractEntityViewer	ContractEntityViewer	ContractEntityViewer
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	productConfNumber	productConfNumber	productConfNumber	Конфигурация продукта
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	ruleNum	ruleNum	ruleNum	Номер правила
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	segment	segment	segment	Сегмент
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	isin	isin	isin	ISIN
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	rko	rko	rko	РКО
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	motivationFromMargin	motivationFromMargin	motivationFromMargin	Мотивация из маржи
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	motivationFromProductEconomic	motivationFromProductEconomic	motivationFromProductEconomic	Мотивация из экономики продукта
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	skMargin	skMargin	skMargin	Маржа СК
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	fundingRateSwaps	fundingRateSwaps	fundingRateSwaps	Ставка фондирования / Свопы
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	laps	laps	laps	Лапсы
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	hedge	hedge	hedge	Хедж
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	clientID	clientID	clientID	ИЧ клиента
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	shareRF	shareRF	shareRF	Доля РФ
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	shareGF	shareGF	shareGF	Доля ГФ
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	rvd	rvd	rvd	РВД
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	fundingVersionSubFundID	fundingVersionSubFundID	fundingVersionSubFundID	Версия фандинга/идентификатор субфонда
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	memorandumPkDate	memorandumPkDate	memorandumPkDate	Дата ПК / Служебной записки
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	pkNumber	pkNumber	pkNumber	Номер ПК
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	analyticalAdjustment	analyticalAdjustment	analyticalAdjustment	Аналитическая корректировка
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	expectedReturnPercentAK	expectedReturnPercentAK	expectedReturnPercentAK	% ожидаемого возврата (для АК)
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	insurance	insurance	insurance	Страховка
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	riskTransferProduct	riskTransferProduct	riskTransferProduct	Продукт с передачей риска
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	comments	comments	comments	Комментарий
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	isManualCorrection	isManualCorrection	isManualCorrection	Ручная корректировка
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	triggeredByUsername	triggeredByUsername	triggeredByUsername	Кем изменено
UiSchema	EconomicParametersHistoryViewUiSchema	ui-label	loadDate	loadDate	loadDate	Дата изменения
ViewConfiguration	EconomicParametersHistoryView	rootConfiguration	EconomicParametersHistoryView@Title	EconomicParametersHistoryView	EconomicParametersHistoryView	История изменений параметров экономики
