ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	EconomicParametersSearch	dataExport	PoliciesExport	PoliciesExport	PoliciesExport	PoliciesExport
UiSchema	EconomicParametersSearchFiltersContent	ui-label	documentNumber	documentNumber	documentNumber	Номер документа
UiSchema	EconomicParametersSearchResultsContent	ui-label	Export last economic parameters	Export last economic parameters	Export last economic parameters	Экспорт последней версии Параметров экономики
UiSchema	EconomicParametersSearchResultsContent	ui-label	Export filtered economic parameters	Export filtered economic parameters	Export filtered economic parameters	Экспорт отфильтрованных параметров
ViewConfiguration	EconomicParametersSearch	rootConfiguration	EconomicParametersSearch@Title	EconomicParametersSearch	EconomicParametersSearch	Журнал параметров экономики
ViewConfiguration	EconomicParametersSearch	actors	EconomicParametersSearch	EconomicParametersSearch	EconomicParametersSearch	Поиск параметров экономики
UiSchema	EconomicParametersSearchResultsContent	ui-label	enterValuesDate	enterValuesDate	enterValuesDate	Дата внесения значений
UiSchema	EconomicParametersSearchResultsContent	ui-label	partner	partner	Partner	Партнер
UiSchema	EconomicParametersSearchResultsContent	ui-label	agentAgreement	agentAgreement	agentAgreement	Агентский договор
UiSchema	EconomicParametersSearchResultsContent	ui-label	commRate	commRate	Commission Rate %	Ставка КВ %
UiSchema	EconomicParametersSearchResultsContent	ui-label	insuranceProduct	insuranceProduct	insuranceProduct	Продукт
UiSchema	EconomicParametersSearchResultsContent	ui-label	policyIssueDateStart	policyIssueDateStart	policyIssueDateStart	Дата заключения договора c
UiSchema	EconomicParametersSearchResultsContent	ui-label	policyIssueDateEnd	policyIssueDateEnd	policyIssueDateEnd	Дата заключения договора по
UiSchema	EconomicParametersSearchResultsContent	ui-label	strategyDescription	strategyDescription	strategyDescription	Активы
UiSchema	EconomicParametersSearchResultsContent	ui-label	insuranceTermFrom	insuranceTermFrom	insuranceTermFrom	Срок страхования с
UiSchema	EconomicParametersSearchResultsContent	ui-label	insuranceTermTo	insuranceTermTo	insuranceTermTo	Срок страхования по
UiSchema	EconomicParametersSearchResultsContent	ui-label	currency	currency	currency	Валюта
UiSchema	EconomicParametersSearchResultsContent	ui-label	paymentFrequency	paymentFrequency	paymentFrequency	Периодичность оплаты премии
UiSchema	EconomicParametersSearchResultsContent	ui-label	ratesOfReturn	ratesOfReturn	ratesOfReturn	Ставка доходности
UiSchema	EconomicParametersSearchResultsContent	ui-label	optionPrice	optionPrice	optionPrice	Цена опциона
UiSchema	EconomicParametersSearchResultsContent	ui-label	fixRate	fixRate	fixRate	Ставка купона
UiSchema	EconomicParametersSearchResultsContent	ui-label	participationCoeff	participationCoeff	participationCoeff	КУ
UiSchema	EconomicParametersSearchResultsContent	ui-label	segment	segment	segment	Сегмент
UiSchema	EconomicParametersSearchResultsContent	ui-label	isin	isin	isin	ISIN
UiSchema	EconomicParametersSearchResultsContent	ui-label	rko	rko	rko	РКО
UiSchema	EconomicParametersSearchResultsContent	ui-label	motivationFromMargin	motivationFromMargin	motivationFromMargin	Мотивация из маржи
UiSchema	EconomicParametersSearchResultsContent	ui-label	motivationFromProductEconomic	motivationFromProductEconomic	motivationFromProductEconomic	Мотивация из экономики продукта
UiSchema	EconomicParametersSearchResultsContent	ui-label	skMargin	skMargin	skMargin	Маржа СК
UiSchema	EconomicParametersSearchResultsContent	ui-label	fundingRateSwaps	fundingRateSwaps	fundingRateSwaps	Ставка фондирования / Свопы
UiSchema	EconomicParametersSearchResultsContent	ui-label	laps	laps	laps	Лапсы
UiSchema	EconomicParametersSearchResultsContent	ui-label	hedge	hedge	hedge	Хедж
UiSchema	EconomicParametersSearchResultsContent	ui-label	clientID	clientID	clientID	ИЧ клиента
UiSchema	EconomicParametersSearchResultsContent	ui-label	shareRF	shareRF	shareRF	Доля РФ
UiSchema	EconomicParametersSearchResultsContent	ui-label	shareGF	shareGF	shareGF	Доля ГФ
UiSchema	EconomicParametersSearchResultsContent	ui-label	rvd	rvd	rvd	РВД
UiSchema	EconomicParametersSearchResultsContent	ui-label	fundingVersionSubFundID	fundingVersionSubFundID	fundingVersionSubFundID	Версия фандинга/идентификатор субфонда
UiSchema	EconomicParametersSearchResultsContent	ui-label	memorandumPkDate	memorandumPkDate	memorandumPkDate	Дата ПК / Служебной записки
UiSchema	EconomicParametersSearchResultsContent	ui-label	pkNumber	pkNumber	pkNumber	Номер ПК
UiSchema	EconomicParametersSearchResultsContent	ui-label	analyticalAdjustment	analyticalAdjustment	analyticalAdjustment	Аналитическая корректировка
UiSchema	EconomicParametersSearchResultsContent	ui-label	expectedReturnPercentAK	expectedReturnPercentAK	expectedReturnPercentAK	% ожидаемого возврата (для АК)
UiSchema	EconomicParametersSearchResultsContent	ui-label	insurance	insurance	insurance	Страховка
UiSchema	EconomicParametersSearchResultsContent	ui-label	riskTransferProduct	riskTransferProduct	riskTransferProduct	Продукт с передачей риска
UiSchema	EconomicParametersSearchResultsContent	ui-label	comments	comments	comments	Комментарий
UiSchema	EconomicParametersSearchResultsContent	ui-label	number	number	Number	Номер
UiSchema	EconomicParametersSearchFiltersContent	ui-label	insuranceProduct	insuranceProduct	insuranceProduct	Продукт
UiSchema	EconomicParametersSearchFiltersContent	ui-label	issueDateFrom	issueDateFrom	issueDateFrom	Дата заключения от
UiSchema	EconomicParametersSearchFiltersContent	ui-label	issueDateTo	issueDateTo	issueDateTo	Дата заключения до
