ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	FundAssetsLoadedDataFromExcel	rootConfiguration	FundAssetsLoadedDataFromExcel@Title	FundAssetsLoadedDataFromExcel	FundAssetsLoadedDataFromExcel	БО
ViewConfiguration	FundAssetsLoadedDataFromExcel	actors	Administrator	Administrator	Administrator	Администратор
UiSchema	FundAssetsLoadedDataFromExcelUiSchema	ui-label	excelRowNumber	excelRowNumber	excelRowNumber	Excel №
UiSchema	FundAssetsLoadedDataFromExcelUiSchema	ui-label	rowNumber	rowNumber	rowNumber	№
UiSchema	FundAssetsLoadedDataFromExcelUiSchema	ui-label	documentNumber	documentNumber	documentNumber	Номер договора
UiSchema	FundAssetsLoadedDataFromExcelUiSchema	ui-label	assetType	assetType	assetType	Тип актива
UiSchema	FundAssetsLoadedDataFromExcelUiSchema	ui-label	assetName	assetName	assetName	Наименование актива
UiSchema	FundAssetsLoadedDataFromExcelUiSchema	ui-label	isin	isin	isin	ISIN
UiSchema	FundAssetsLoadedDataFromExcelUiSchema	ui-label	assetCurrentShare	assetCurrentShare	assetCurrentShare	Доля актива (текущая)
UiSchema	FundAssetsLoadedDataFromExcelUiSchema	ui-label	assetPurchasePriceAvg	assetPurchasePriceAvg	assetPurchasePriceAvg	Цена покупки актива (средняя)
UiSchema	FundAssetsLoadedDataFromExcelUiSchema	ui-label	stockPurchasedNumber	stockPurchasedNumber	stockPurchasedNumber	Количество купленных Ценных Бумаг
UiSchema	FundAssetsLoadedDataFromExcelUiSchema	ui-label	assetAmountOnPurchaseTime	assetAmountOnPurchaseTime	assetAmountOnPurchaseTime	Стоимость активов на момент покупки
UiSchema	FundAssetsLoadedDataFromExcelUiSchema	ui-label	assetPriceOnGenerationReportDate	assetPriceOnGenerationReportDate	assetPriceOnGenerationReportDate	Цена актива на дату формирования отчета
UiSchema	FundAssetsLoadedDataFromExcelUiSchema	ui-label	assetsAmountOnGenerationReportDate	assetsAmountOnGenerationReportDate	assetsAmountOnGenerationReportDate	Стоимость активов на дату формирования отчета
UiSchema	FundAssetsLoadedDataFromExcelUiSchema	ui-label	couponRate	couponRate	couponRate	Ставка купона
UiSchema	FundAssetsLoadedDataFromExcelUiSchema	ui-label	accumulatedCouponIncome	accumulatedCouponIncome	accumulatedCouponIncome	Накопленный купонный доход
UiSchema	FundAssetsLoadedDataFromExcelUiSchema	ui-label	reportDate	reportDate	reportDate	Дата отчета
