ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	InquiriesViewUiSchema	ui-label	inquiryNumber	inquiryNumber	inquiryNumber	Номер запроса
UiSchema	InquiriesViewUiSchema	ui-label	createdOn	createdOn	creationDate	Дата создания
UiSchema	InquiriesViewUiSchema	ui-label	updatedOn	updatedOn	responceDate	Дата ответа
UiSchema	InquiriesViewUiSchema	ui-label	state	state	status	Статус
UiSchema	InquiriesViewUiSchema	ui-label	departmentCode	departmentCode	assigny code	Код Подразделения
UiSchema	InquiriesViewUiSchema	ui-label	Text of Inquiry	Text of Inquiry	textOfInquiry	Текст запроса
UiSchema	InquiriesViewUiSchema	ui-label	department	department	assigny	Подразделение
UiSchema	InquiriesViewUiSchema	ui-label	Enter Inquiry	Enter Inquiry	Enter Inquiry	Создать запрос
ViewConfiguration	InquiriesView	rootConfiguration	InquiriesView@Title	InquiriesView	InquiriesView	InquiriesView
ViewConfiguration	InquiriesView	actors	GeneralBackOffice	GeneralBackOffice	GeneralBackOffice	БО
