ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	PolicyChangeAmendmentCommentsView	actors	General	General	Общий	General
ClientAction	PolicyChangeAmendmentCommentsViewArrayPrepareAddOperationHandler	ui-message	NotAllowedToInteractWithComments	arrayPrepareAddOperationHandler	Запрещено редактировать комментарии	NotAllowedToInteractWithComments
ClientAction	PolicyChangeAmendmentCommentsViewArrayPrepareAddOperationHandler	ui-message	SaveFirst	arrayPrepareAddOperationHandler	Пожалуйста, сохраните документ	SaveFirst
ClientAction	PolicyChangeAmendmentCommentsViewPreArrayOperationHandler	ui-message	CommentCannotBeEmpty	preArrayOperationHandler	Комментарий не может быть пустым	CommentCannotBeEmpty
ClientAction	PolicyChangeAmendmentCommentsViewPreArrayOperationHandler	ui-message	CommentLengthTooLong	preArrayOperationHandler	Слишком длинный текст комментария	CommentLengthTooLong
UiSchema	PolicyChangeAmendmentCommentsViewUiSchema	ui-label	Comments	Comments	Комментарии	Comments
UiSchema	PolicyChangeAmendmentCommentsViewUiSchema	ui-label	CommentMessage	CommentMessage	Текст комментария	CommentMessage
UiSchema	PolicyChangeAmendmentCommentsViewUiSchema	ui-label	CommentComment	CommentComment	Комментарий	CommentComment
UiSchema	PolicyChangeAmendmentCommentsViewUiSchema	ui-label	created	created	Создан	created
UiSchema	PolicyChangeAmendmentCommentsViewUiSchema	ui-label	edited	edited	Изменен	edited
ViewConfiguration	PolicyChangeAmendmentCommentsView	rootConfiguration	PolicyChangeAmendmentCommentsView@Title	PolicyChangeAmendmentCommentsView	Комментарии	PolicyChangeAmendmentCommentsView@Title
