ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	ProductConfigurationLoadedDataFromExcel	rootConfiguration	ProductConfigurationLoadedDataFromExcel@Title	ProductConfigurationLoadedDataFromExcel	ProductConfigurationLoadedDataFromExcel	БО
ViewConfiguration	ProductConfigurationLoadedDataFromExcel	actors	General	General	General	Импорт атрибутов конфигурации продуктов
ViewConfiguration	ProductConfigurationLoadedDataFromExcel	actors	Administrator	Administrator	Administrator	Администратор
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	excelRowNumber	excelRowNumber	excelRowNumber	excelRowNumber
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	productCode	productCode	productCode	productCode
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	issueDateFrom	issueDateFrom	issueDateFrom	issueDateFrom
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	issueDateTo	issueDateTo	issueDateTo	issueDateTo
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	issueDateStr	issueDateStr	issueDateStr	issueDateStr
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	productDescription	productDescription	productDescription	productDescription
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	productGroupCode	productGroupCode	productGroupCode	productGroupCode
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	paymentFrequency	paymentFrequency	paymentFrequency	paymentFrequency
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	insuranceTerms	insuranceTerms	insuranceTerms	insuranceTerms
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	insuranceTermsMonths	insuranceTermsMonths	insuranceTermsMonths	insuranceTermsMonths
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	isWholeLife	isWholeLife	isWholeLife	isWholeLife
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	insuredIsPolicyHolder	insuredIsPolicyHolder	insuredIsPolicyHolder	insuredIsPolicyHolder
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	holderAgeOnStartDateMin	holderAgeOnStartDateMin	holderAgeOnStartDateMin	holderAgeOnStartDateMin
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	holderAgeOnStartDateMax	holderAgeOnStartDateMax	holderAgeOnStartDateMax	holderAgeOnStartDateMax
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	holderAgeOnStartDateMaxMandatoryAgreement	holderAgeOnStartDateMaxMandatoryAgreement	holderAgeOnStartDateMaxMandatoryAgreement	holderAgeOnStartDateMaxMandatoryAgreement
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	holderAgeOnEndDateMax	holderAgeOnEndDateMax	holderAgeOnEndDateMax	holderAgeOnEndDateMax
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	insuredAgeOnStartDateMin	insuredAgeOnStartDateMin	insuredAgeOnStartDateMin	insuredAgeOnStartDateMin
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	insuredAgeOnStartDateMax	insuredAgeOnStartDateMax	insuredAgeOnStartDateMax	insuredAgeOnStartDateMax
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	insuredAgeOnStartDateMandatoryAgreement	insuredAgeOnStartDateMandatoryAgreement	insuredAgeOnStartDateMandatoryAgreement	insuredAgeOnStartDateMandatoryAgreement
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	insuredAgeOnEndDateMax	insuredAgeOnEndDateMax	insuredAgeOnEndDateMax	insuredAgeOnEndDateMax
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	insuredAgeOnEndDateMaxMandatoryAgreement	insuredAgeOnEndDateMaxMandatoryAgreement	insuredAgeOnEndDateMaxMandatoryAgreement	insuredAgeOnEndDateMaxMandatoryAgreement
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	strategy	strategy	strategy	strategy
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	additionalServices	additionalServices	additionalServices	additionalServices
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	giftServices	giftServices	giftServices	giftServices
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	giftServicesPremium	giftServicesPremium	giftServicesPremium	giftServicesPremium
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	prefixOld	prefixOld	prefixOld	prefixOld
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	prefix	prefix	prefix	prefix
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	prefixByStrategyOld	prefixByStrategyOld	prefixByStrategyOld	prefixByStrategyOld
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	prefixByStrategy	prefixByStrategy	prefixByStrategy	prefixByStrategy
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	fixedPremiums	fixedPremiums	fixedPremiums	fixedPremiums
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	fixedInsuredSums	fixedInsuredSums	fixedInsuredSums	fixedInsuredSums
UiSchema	ProductConfigurationLoadedDataFromExcelUiSchema	ui-label	setFirstFixedInsuredSum	setFirstFixedInsuredSum	setFirstFixedInsuredSum	setFirstFixedInsuredSum
